Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,1048,153,0.3577,0.2147,132
,Atlanta Braves,1087,160,0.3421,0.1895,120
,Chicago Cubs,1077,149,0.3451,0.2145,123
,Miami Marlins,1023,123,0.3216,0.2023,105
,Houston Astros,1094,144,0.3389,0.1984,118
,Toronto Blue Jays,985,106,0.3077,0.1827,96
,Tampa Bay Rays,1017,128,0.3188,0.1839,103
,Colorado Rockies,1013,112,0.314,0.2507,94
,Detroit Tigers,1051,124,0.3236,0.2112,107
,San Francisco Giants,978,91,0.2888,0.2127,83
,Arizona Diamondbacks,951,120,0.3112,0.2114,97
,Washington Nationals,1110,154,0.32,0.2153,104
,Pittsburgh Pirates,1073,135,0.3126,0.2358,98
,Baltimore Orioles,1030,122,0.3188,0.2427,104
,Athletics,1032,117,0.309,0.2374,95
,Texas Rangers,1014,112,0.3075,0.2446,95
,Kansas City Royals,1008,106,0.303,0.2272,90
,St. Louis Cardinals,1008,123,0.3127,0.2183,100
,New York Yankees,1030,142,0.3327,0.2427,114
,Boston Red Sox,1017,112,0.2967,0.2252,85
,Seattle Mariners,1067,115,0.3116,0.2362,101
,San Diego Padres,974,116,0.3,0.2218,91
,Milwaukee Brewers,1007,127,0.3016,0.2165,91
,Cleveland Guardians,1038,116,0.31,0.21,97
,New York Mets,968,91,0.281,0.2138,77
,Minnesota Twins,1040,130,0.3125,0.2337,98
,Los Angeles Angels,1080,130,0.3171,0.2574,101
,Chicago White Sox,1035,112,0.3083,0.2425,96
,Philadelphia Phillies,1028,100,0.2946,0.213,85
,Cincinnati Reds,1026,115,0.3019,0.2495,89
