Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,1464,199,0.3433,0.2056,123
,Atlanta Braves,1494,214,0.3398,0.2041,120
,Houston Astros,1511,195,0.3372,0.2019,119
,Chicago Cubs,1553,215,0.3414,0.1983,122
,Tampa Bay Rays,1438,167,0.3089,0.1871,97
,Colorado Rockies,1485,172,0.3203,0.2559,99
,Athletics,1468,169,0.3186,0.2262,103
,Toronto Blue Jays,1416,149,0.2996,0.1822,91
,Miami Marlins,1463,163,0.3081,0.2201,96
,Pittsburgh Pirates,1529,187,0.3163,0.2348,102
,Detroit Tigers,1466,168,0.3166,0.2203,103
,Milwaukee Brewers,1402,187,0.3086,0.2011,98
,Washington Nationals,1512,208,0.3148,0.2216,102
,San Francisco Giants,1364,120,0.2803,0.2185,77
,Kansas City Royals,1467,161,0.3114,0.2229,98
,New York Yankees,1475,209,0.3377,0.2292,119
,St. Louis Cardinals,1464,182,0.3153,0.2172,103
,Arizona Diamondbacks,1354,162,0.3045,0.2179,94
,Minnesota Twins,1499,187,0.3153,0.2221,101
,Boston Red Sox,1471,155,0.2972,0.2243,87
,Baltimore Orioles,1472,177,0.3109,0.2425,99
,Cleveland Guardians,1496,168,0.3079,0.2025,97
,Texas Rangers,1428,140,0.3007,0.2353,92
,Seattle Mariners,1473,165,0.3123,0.243,103
,Los Angeles Angels,1489,170,0.3118,0.2565,99
,Philadelphia Phillies,1478,155,0.2998,0.2131,90
,Chicago White Sox,1459,163,0.311,0.2426,99
,New York Mets,1408,137,0.2817,0.2109,79
,San Diego Padres,1399,163,0.2947,0.2216,89
,Cincinnati Reds,1473,156,0.302,0.2478,90
