Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2292,315,0.341,0.2016,122
,Atlanta Braves,2314,320,0.3298,0.2079,113
,Tampa Bay Rays,2227,271,0.3189,0.1877,105
,Pittsburgh Pirates,2375,303,0.3233,0.2341,108
,San Francisco Giants,2249,234,0.3036,0.2116,96
,Athletics,2285,253,0.3173,0.2206,103
,Milwaukee Brewers,2212,287,0.3103,0.2089,100
,Boston Red Sox,2222,233,0.3061,0.221,94
,Colorado Rockies,2300,260,0.3087,0.24,92
,Washington Nationals,2395,329,0.3222,0.2129,108
,Toronto Blue Jays,2266,247,0.3021,0.1915,94
,New York Yankees,2266,309,0.3352,0.2286,118
,Houston Astros,2315,273,0.3168,0.2125,104
,Arizona Diamondbacks,2187,268,0.307,0.2035,96
,Miami Marlins,2309,261,0.3073,0.2187,96
,Chicago Cubs,2372,285,0.3193,0.2112,107
,Baltimore Orioles,2300,279,0.3143,0.237,103
,Chicago White Sox,2293,284,0.3197,0.2412,106
,Minnesota Twins,2332,289,0.3108,0.2307,99
,St. Louis Cardinals,2225,250,0.3068,0.2126,97
,Kansas City Royals,2274,233,0.302,0.2142,92
,Texas Rangers,2253,239,0.3059,0.2299,96
,Seattle Mariners,2303,258,0.3131,0.2319,104
,Detroit Tigers,2326,241,0.3059,0.2274,96
,Cleveland Guardians,2305,254,0.3064,0.2035,97
,Los Angeles Angels,2310,263,0.3085,0.2485,97
,Cincinnati Reds,2272,259,0.3092,0.246,96
,New York Mets,2226,241,0.2862,0.2174,83
,Philadelphia Phillies,2222,233,0.2953,0.2237,88
,San Diego Padres,2139,229,0.2883,0.2333,85
