Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,2.26,4.1
Matt Brash,Seattle Mariners,0,11.3,0.0,0.2105,0.0526,2.5,3.92
Gavin Collyer,Texas Rangers,0,7.7,0.0,0.2333,0.1,3.64,4.17
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.12,4.17
Brandyn Garcia,Arizona Diamondbacks,0,5.0,0.0,0.3333,0.0,1.5,4.02
Brenan Hanifee,Detroit Tigers,0,6.7,0.0,0.16,0.04,2.37,4.04
Tim Herrin,Cleveland Guardians,0,11.7,0.0,0.0943,0.1321,4.32,4.26
Raisel Iglesias,Atlanta Braves,0,9.7,0.0,0.3714,0.0286,1.5,3.81
Ty Madden,Detroit Tigers,0,6.7,0.0,0.3333,0.037,1.5,3.94
Daniel Palencia,Chicago Cubs,0,6.3,0.0,0.25,0.0833,2.17,4.03
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,1.5,4.1
Ethan Roberts,Chicago Cubs,0,3.7,0.0,0.1429,0.0714,4.49,4.26
Tyler Samaniego,Boston Red Sox,0,13.7,0.0,0.2037,0.1111,3.05,3.98
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.92,4.12
Louis Varland,Toronto Blue Jays,0,19.7,0.46,0.3816,0.0921,1.5,3.35
Rico Garcia,Baltimore Orioles,0,17.0,0.53,0.3333,0.1053,2.71,3.81
John King,Miami Marlins,0,16.7,0.54,0.25,0.1,3.54,4.05
Robert Suarez,Atlanta Braves,0,15.7,0.57,0.2712,0.0339,1.5,3.53
Trey Yesavage,Toronto Blue Jays,3,13.3,0.68,0.2632,0.0877,2.22,3.8
Aroldis Chapman,Boston Red Sox,0,12.7,0.71,0.3404,0.0638,1.54,3.68
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.62,3.78
Kyle Hurt,Los Angeles Dodgers,0,10.0,0.9,0.3784,0.027,1.5,3.79
Jacob Latz,Texas Rangers,1,18.7,0.96,0.2424,0.0606,2.75,3.78
Shohei Ohtani,Los Angeles Dodgers,6,37.0,0.97,0.2897,0.0621,2.53,3.19
Dylan Lee,Atlanta Braves,0,17.7,1.02,0.377,0.0328,1.5,3.44
Mason Miller,San Diego Padres,0,17.3,1.04,0.5574,0.0492,1.5,3.46
Bryan Hudson,Chicago White Sox,2,17.0,1.06,0.2778,0.1111,2.36,3.71
Antonio Senzatela,Colorado Rockies,0,24.3,1.11,0.2444,0.0778,2.18,3.41
Tim Hill,New York Yankees,0,16.0,1.13,0.1207,0.0345,3.43,4.03
Tyler Phillips,Miami Marlins,0,23.7,1.14,0.2353,0.1275,3.42,3.92
Matt Gage,San Francisco Giants,0,15.3,1.17,0.1452,0.1613,4.75,4.38
Austin Warren,New York Mets,0,7.7,1.17,0.3,0.1,3.64,4.17
Brooks Raley,New York Mets,0,15.0,1.2,0.3158,0.0877,2.59,3.83
Justin Wrobleski,Los Angeles Dodgers,5,36.0,1.25,0.1049,0.0699,3.2,3.62
Yennier Cano,Baltimore Orioles,0,14.0,1.29,0.2245,0.0204,2.69,3.89
Peyton Gray,Texas Rangers,0,7.0,1.29,0.1818,0.1818,3.98,4.22
Trevor McDonald,San Francisco Giants,1,7.0,1.29,0.3333,0.0,3.12,4.12
Wilber Dotel,Pittsburgh Pirates,0,6.7,1.35,0.16,0.12,5.22,4.36
Brent Headrick,New York Yankees,0,19.7,1.37,0.2561,0.0854,2.05,3.53
Alex Vesia,Los Angeles Dodgers,0,13.0,1.38,0.3265,0.1224,2.04,3.77
Colin Holderman,Cleveland Guardians,0,12.7,1.42,0.25,0.0625,2.96,3.98
Gregory Soto,Pittsburgh Pirates,0,19.0,1.42,0.3571,0.1,2.44,3.68
Cam Schlittler,New York Yankees,9,50.3,1.43,0.2969,0.0469,1.65,2.07
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,3.62,4.19
José Fermin,Los Angeles Angels,0,6.0,1.5,0.3636,0.0,3.62,4.19
Eduard Bazardo,Seattle Mariners,0,17.7,1.53,0.1884,0.0725,2.5,3.73
Huascar Brazobán,New York Mets,1,17.7,1.53,0.2029,0.0725,3.29,3.97
Kyle Finnegan,Detroit Tigers,0,17.7,1.53,0.1757,0.1757,4.59,4.35
Ryan Fernandez,St. Louis Cardinals,0,5.7,1.59,0.3462,0.0769,1.5,3.99
DL Hall,Milwaukee Brewers,1,17.0,1.59,0.2857,0.1571,3.65,4.08
Clay Holmes,New York Mets,8,45.3,1.59,0.1833,0.0833,3.58,3.75
Caleb Kilian,San Francisco Giants,0,17.0,1.59,0.2571,0.1429,4.47,4.31
Jason Adam,San Diego Padres,0,11.0,1.64,0.1136,0.0682,4.49,4.29
Davis Martin,Chicago White Sox,7,44.0,1.64,0.2544,0.0473,2.44,2.92
