Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2813,390,0.3418,0.2041,121
,San Francisco Giants,2716,296,0.3133,0.2058,101
,Tampa Bay Rays,2643,311,0.3173,0.1899,102
,Milwaukee Brewers,2701,370,0.3233,0.2062,107
,Atlanta Braves,2685,359,0.3231,0.2071,107
,Colorado Rockies,2778,333,0.3192,0.2354,97
,Athletics,2787,331,0.3273,0.2199,108
,Pittsburgh Pirates,2860,361,0.3235,0.2364,106
,Toronto Blue Jays,2694,293,0.3073,0.1956,95
,Washington Nationals,2824,399,0.324,0.2118,107
,Boston Red Sox,2588,278,0.3068,0.2199,93
,St. Louis Cardinals,2681,322,0.3161,0.2104,102
,Miami Marlins,2732,310,0.3089,0.2211,96
,Baltimore Orioles,2775,343,0.319,0.235,104
,Houston Astros,2802,336,0.3173,0.2177,103
,New York Yankees,2657,358,0.3312,0.2285,113
,Kansas City Royals,2757,291,0.3047,0.2136,92
,Chicago White Sox,2663,333,0.3222,0.2385,106
,Chicago Cubs,2856,334,0.32,0.2139,105
,Minnesota Twins,2787,342,0.3138,0.2257,99
,Texas Rangers,2691,287,0.3075,0.2256,96
,Arizona Diamondbacks,2674,304,0.3029,0.2019,91
,Los Angeles Angels,2775,326,0.3117,0.2479,98
,Seattle Mariners,2760,311,0.3131,0.225,102
,Detroit Tigers,2712,297,0.3124,0.2305,99
,Cleveland Guardians,2698,289,0.3041,0.2068,93
,New York Mets,2664,288,0.2915,0.2222,85
,Cincinnati Reds,2707,305,0.3111,0.2427,95
,Philadelphia Phillies,2676,293,0.2997,0.2313,89
,San Diego Padres,2586,272,0.2865,0.2309,81
