Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1955,276,0.3337,0.2066,117
,Los Angeles Dodgers,1922,257,0.3368,0.2081,120
,Tampa Bay Rays,1851,232,0.3182,0.1853,105
,Pittsburgh Pirates,1995,249,0.3193,0.2331,106
,Milwaukee Brewers,1844,242,0.3124,0.2017,102
,Athletics,1935,224,0.3177,0.2227,104
,Houston Astros,1966,222,0.3159,0.2141,105
,Arizona Diamondbacks,1815,223,0.3101,0.2066,99
,Miami Marlins,1927,223,0.3072,0.219,97
,Washington Nationals,2013,280,0.3209,0.2136,108
,San Francisco Giants,1843,173,0.2902,0.2122,86
,Colorado Rockies,1904,211,0.3051,0.2479,90
,Boston Red Sox,1859,187,0.3031,0.2216,93
,Toronto Blue Jays,1887,205,0.2955,0.1913,89
,St. Louis Cardinals,1879,219,0.3107,0.2123,101
,Chicago Cubs,2002,248,0.3219,0.2113,110
,Kansas City Royals,1880,194,0.3048,0.2197,94
,Minnesota Twins,1914,233,0.3127,0.2278,101
,Detroit Tigers,1934,200,0.3065,0.2306,97
,Texas Rangers,1840,192,0.3051,0.2288,97
,Chicago White Sox,1859,218,0.3184,0.2453,106
,New York Yankees,1941,251,0.3285,0.2375,114
,Baltimore Orioles,1890,218,0.3091,0.2487,100
,New York Mets,1892,205,0.2874,0.2098,85
,Philadelphia Phillies,1909,209,0.3001,0.2221,92
,Cincinnati Reds,1900,221,0.3097,0.2384,97
,Cleveland Guardians,1990,228,0.3081,0.198,99
,Seattle Mariners,1937,210,0.3073,0.2411,101
,Los Angeles Angels,1923,201,0.3016,0.2574,93
,San Diego Padres,1788,200,0.2887,0.2315,86
