Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2547,347,0.3396,0.203,121
,San Francisco Giants,2525,275,0.3101,0.2099,100
,Atlanta Braves,2512,348,0.3285,0.2066,112
,Tampa Bay Rays,2448,290,0.317,0.1912,103
,Milwaukee Brewers,2509,344,0.3203,0.2057,106
,Pittsburgh Pirates,2615,335,0.3226,0.2348,107
,Toronto Blue Jays,2520,274,0.3054,0.1933,95
,Colorado Rockies,2496,284,0.3094,0.2384,92
,Athletics,2552,287,0.3178,0.2249,103
,Houston Astros,2577,312,0.3184,0.2177,105
,Washington Nationals,2594,356,0.3217,0.2136,107
,Boston Red Sox,2429,251,0.3025,0.2194,91
,Miami Marlins,2486,279,0.3082,0.222,97
,New York Yankees,2479,333,0.3315,0.2311,115
,St. Louis Cardinals,2433,284,0.3115,0.2117,100
,Chicago White Sox,2492,310,0.3229,0.2408,108
,Arizona Diamondbacks,2427,285,0.3046,0.2015,94
,Baltimore Orioles,2567,313,0.3145,0.2353,102
,Chicago Cubs,2586,303,0.3184,0.2127,106
,Seattle Mariners,2560,287,0.3152,0.2289,105
,Texas Rangers,2432,263,0.3081,0.2274,97
,Kansas City Royals,2495,258,0.3019,0.2156,91
,Minnesota Twins,2526,308,0.308,0.2284,96
,Detroit Tigers,2476,260,0.3065,0.2266,96
,Los Angeles Angels,2540,295,0.3087,0.25,97
,Cleveland Guardians,2575,279,0.3045,0.2062,95
,Cincinnati Reds,2475,277,0.3102,0.2448,96
,New York Mets,2430,265,0.29,0.2193,85
,Philadelphia Phillies,2468,268,0.2998,0.2281,90
,San Diego Padres,2354,247,0.2847,0.2324,81
