Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,1434,196,0.3459,0.205,124
,Atlanta Braves,1456,213,0.3413,0.2019,120
,Houston Astros,1471,185,0.3329,0.2046,115
,Chicago Cubs,1511,208,0.3414,0.1999,121
,Tampa Bay Rays,1378,162,0.3101,0.1843,97
,Colorado Rockies,1437,163,0.3189,0.2533,97
,Athletics,1414,163,0.321,0.2242,104
,Miami Marlins,1412,160,0.3114,0.2181,98
,Toronto Blue Jays,1382,147,0.3018,0.1802,92
,Pittsburgh Pirates,1493,185,0.317,0.2351,101
,Detroit Tigers,1427,165,0.3166,0.2221,102
,New York Yankees,1443,209,0.3424,0.2245,122
,Milwaukee Brewers,1368,181,0.309,0.201,97
,Washington Nationals,1475,205,0.3152,0.2231,101
,Arizona Diamondbacks,1316,161,0.3067,0.2166,94
,Kansas City Royals,1431,157,0.3118,0.2243,97
,St. Louis Cardinals,1389,174,0.316,0.2167,103
,San Francisco Giants,1329,115,0.278,0.2205,75
,Boston Red Sox,1415,152,0.3005,0.2247,89
,Texas Rangers,1395,139,0.3041,0.238,93
,Minnesota Twins,1459,183,0.3138,0.2207,100
,Baltimore Orioles,1422,173,0.3134,0.2426,100
,San Diego Padres,1339,162,0.3021,0.2173,93
,Los Angeles Angels,1457,170,0.3145,0.2546,100
,Philadelphia Phillies,1411,148,0.3005,0.2112,90
,Cleveland Guardians,1458,162,0.3076,0.2037,96
,Seattle Mariners,1429,153,0.3083,0.2456,99
,New York Mets,1372,134,0.284,0.2092,80
,Chicago White Sox,1419,155,0.3092,0.2445,97
,Cincinnati Reds,1440,156,0.3051,0.2472,91
