Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Matt Brash,Seattle Mariners,0,7.3,0.0,0.1923,0.0769,2.56,4.04
Huascar Brazobán,New York Mets,0,9.3,0.0,0.2105,0.0526,2.03,3.9
Dylan Dodd,Atlanta Braves,0,3.0,0.0,0.2,0.0,1.77,4.13
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.1,4.17
Kyle Finnegan,Detroit Tigers,0,10.0,0.0,0.1,0.2,4.7,4.33
Rico Garcia,Baltimore Orioles,0,11.0,0.0,0.2973,0.1081,2.19,3.87
Tim Herrin,Cleveland Guardians,0,5.0,0.0,0.125,0.1667,4.3,4.25
Raisel Iglesias,Atlanta Braves,0,8.7,0.0,0.3548,0.0323,1.5,3.85
Craig Kimbrel,New York Mets,0,3.7,0.0,0.2308,0.0769,2.29,4.13
Riley Martin,Chicago Cubs,1,6.3,0.0,0.3182,0.0,1.5,3.96
Mason Miller,San Diego Padres,0,11.3,0.0,0.7105,0.0526,1.5,3.73
Riley O'Brien,St. Louis Cardinals,0,12.3,0.0,0.3415,0.0,1.5,3.68
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.3,4.09
Tyler Samaniego,Boston Red Sox,0,3.7,0.0,0.2857,0.2143,3.38,4.2
Tony Santillan,Cincinnati Reds,0,10.0,0.0,0.3243,0.1622,2.5,3.96
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.9,4.12
Ryan Thompson,Arizona Diamondbacks,0,8.7,0.0,0.1562,0.0938,2.99,4.07
Louis Varland,Toronto Blue Jays,0,12.3,0.0,0.4222,0.0667,1.5,3.68
Alex Vesia,Los Angeles Dodgers,0,8.7,0.0,0.3226,0.0968,1.83,3.9
Brandon Young,Baltimore Orioles,1,5.0,0.0,0.1111,0.1111,3.5,4.19
José Soriano,Los Angeles Angels,5,32.7,0.28,0.325,0.1083,2.31,3.19
Shohei Ohtani,Los Angeles Dodgers,3,18.0,0.5,0.2609,0.087,2.27,3.66
Antonio Senzatela,Colorado Rockies,0,14.3,0.63,0.3269,0.0577,1.5,3.59
Braydon Fisher,Toronto Blue Jays,1,12.7,0.71,0.2791,0.0465,2.95,3.97
Bradgley Rodriguez,San Diego Padres,0,12.3,0.73,0.2449,0.0612,1.89,3.76
Tyler Phillips,Miami Marlins,0,12.0,0.75,0.283,0.1509,2.85,3.97
Gregory Soto,Pittsburgh Pirates,0,11.7,0.77,0.3636,0.1364,3.27,4.06
Tyler Alexander,Texas Rangers,0,11.3,0.79,0.2128,0.0638,2.4,3.9
Tyler Rogers,Toronto Blue Jays,0,11.3,0.79,0.1064,0.0851,3.28,4.07
Dennis Santana,Pittsburgh Pirates,0,11.0,0.82,0.1667,0.119,3.47,4.11
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.6,3.78
Gordon Graceffo,St. Louis Cardinals,0,10.7,0.84,0.15,0.15,3.95,4.2
Brock Burke,Cincinnati Reds,0,10.3,0.87,0.3095,0.0952,1.75,3.82
Caleb Kilian,San Francisco Giants,0,10.0,0.9,0.3684,0.1579,3.7,4.16
Tyler Kinley,Atlanta Braves,0,10.0,0.9,0.2432,0.0811,2.5,3.96
Dylan Lee,Atlanta Braves,0,10.0,0.9,0.2432,0.0541,1.9,3.86
Robert Suarez,Atlanta Braves,0,9.7,0.93,0.3056,0.0278,1.5,3.81
Chad Patrick,Milwaukee Brewers,3,19.0,0.95,0.12,0.0933,3.95,4.15
Eduard Bazardo,Seattle Mariners,0,9.3,0.96,0.2105,0.1316,3.0,4.05
Jalen Beeks,Texas Rangers,0,9.3,0.96,0.2105,0.0789,2.35,3.95
Brennan Bernardino,Colorado Rockies,1,9.3,0.96,0.2162,0.0811,2.67,4.0
Tim Hill,New York Yankees,0,9.0,1.0,0.1,0.0,2.44,3.98
Daniel Lynch IV,Kansas City Royals,0,9.0,1.0,0.3529,0.0882,1.77,3.88
Michael Wacha,Kansas City Royals,4,27.0,1.0,0.2347,0.0816,3.36,3.85
Jaden Hill,Colorado Rockies,0,8.7,1.04,0.2105,0.1579,3.33,4.12
John King,Miami Marlins,0,8.7,1.04,0.2647,0.1176,4.6,4.3
Tanner Scott,Los Angeles Dodgers,0,8.7,1.04,0.2667,0.0,2.76,4.03
Parker Messick,Cleveland Guardians,4,25.7,1.05,0.2688,0.0753,2.48,3.49
Eli Morgan,Kansas City Royals,0,8.0,1.13,0.2286,0.1714,4.98,4.35
Seth Lugo,Kansas City Royals,5,31.3,1.15,0.2414,0.0862,2.27,3.22
Aroldis Chapman,Boston Red Sox,0,7.7,1.17,0.2667,0.1,2.58,4.04
Enyel De Los Santos,Houston Astros,0,7.7,1.17,0.2414,0.0345,3.36,4.14
Yennier Cano,Baltimore Orioles,0,7.3,1.23,0.3333,0.037,1.5,3.91
Joel Kuhnel,Athletics,0,7.0,1.29,0.12,0.0,2.25,4.02
Isaac Mattson,Pittsburgh Pirates,0,13.7,1.32,0.1754,0.1053,2.96,3.96
Jhoan Duran,Philadelphia Phillies,0,6.7,1.35,0.3333,0.0,1.5,3.94
Hunter Bigge,Tampa Bay Rays,0,6.3,1.42,0.08,0.2,6.89,4.53
Jacob Latz,Texas Rangers,1,12.7,1.42,0.2174,0.0652,3.26,4.04
Graham Ashcraft,Cincinnati Reds,0,12.0,1.5,0.2979,0.1277,2.27,3.85
Bryce Elder,Atlanta Braves,5,30.0,1.5,0.2458,0.0763,3.14,3.69
Garrett Acton,Minnesota Twins,0,5.7,1.59,0.3043,0.1304,2.75,4.11
Brent Headrick,New York Yankees,0,11.3,1.59,0.2549,0.098,2.13,3.85
Kenley Jansen,Detroit Tigers,0,5.7,1.59,0.3182,0.0455,3.46,4.18
Anthony Nunez,Baltimore Orioles,0,11.3,1.59,0.3095,0.0476,3.63,4.13
Chase Shugart,Philadelphia Phillies,0,5.7,1.59,0.2609,0.087,4.34,4.26
Cristopher Sánchez,Philadelphia Phillies,5,28.3,1.59,0.3171,0.065,1.66,3.03
Taj Bradley,Minnesota Twins,5,27.7,1.63,0.2881,0.0847,1.95,3.19
Jimmy Herget,Colorado Rockies,2,11.0,1.64,0.186,0.0465,2.47,3.92
David Morgan,San Diego Padres,0,11.0,1.64,0.22,0.18,5.29,4.44
Hoby Milner,Chicago Cubs,0,10.7,1.69,0.0244,0.0488,5.26,4.43
Andrew Hoffmann,Arizona Diamondbacks,0,10.3,1.74,0.2558,0.1395,5.52,4.47
Carmen Mlodzinski,Pittsburgh Pirates,3,20.3,1.77,0.2299,0.092,2.46,3.64
Cooper Criswell,Seattle Mariners,0,10.0,1.8,0.2162,0.0811,5.0,4.38
Bryan King,Houston Astros,0,10.0,1.8,0.2667,0.0667,2.5,3.96
Wandy Peralta,San Diego Padres,0,10.0,1.8,0.2273,0.0682,3.3,4.09
Bryan Hudson,Chicago White Sox,0,9.7,1.86,0.2727,0.1364,2.79,4.02
Sam Moll,Cincinnati Reds,0,9.7,1.86,0.2195,0.1707,4.34,4.27
Justin Wrobleski,Los Angeles Dodgers,3,24.0,1.88,0.0978,0.0543,2.98,3.74
Jack Dreyer,Los Angeles Dodgers,0,9.3,1.93,0.3235,0.1176,2.03,3.9
Matt Gage,San Francisco Giants,0,9.3,1.93,0.2,0.1143,4.28,4.25
Ryan Helsley,Baltimore Orioles,0,9.3,1.93,0.35,0.125,1.71,3.85
Connor Phillips,Cincinnati Reds,0,14.0,1.93,0.2222,0.2222,5.25,4.48
Cam Schlittler,New York Yankees,5,27.7,1.95,0.3429,0.0286,1.5,2.98
Clay Holmes,New York Mets,4,23.0,1.96,0.172,0.0968,4.15,4.21
Eduardo Rodriguez,Arizona Diamondbacks,4,23.0,1.96,0.1458,0.0938,4.19,4.23
Kai-Wei Teng,Houston Astros,0,13.7,1.98,0.2642,0.0943,4.05,4.21
Kody Funderburk,Minnesota Twins,0,9.0,2.0,0.1905,0.1667,5.77,4.48
Garrett Whitlock,Boston Red Sox,0,9.0,2.0,0.3243,0.1351,3.55,4.14
Jovani Morán,Boston Red Sox,0,13.3,2.03,0.2778,0.1481,3.63,4.11
Mitch Farris,Los Angeles Angels,0,4.3,2.08,0.1579,0.1053,6.1,4.38
Chase Silseth,Los Angeles Angels,0,8.7,2.08,0.2632,0.1579,4.37,4.27
Tarik Skubal,Detroit Tigers,5,30.3,2.08,0.2797,0.0508,2.05,3.14
Gabe Speier,Seattle Mariners,0,8.7,2.08,0.25,0.0833,2.41,3.98
Dylan Cease,Toronto Blue Jays,5,25.7,2.1,0.3964,0.1261,1.5,3.07
Yoshinobu Yamamoto,Los Angeles Dodgers,4,25.7,2.1,0.2211,0.0316,3.45,3.91
Gavin Williams,Cleveland Guardians,5,29.7,2.12,0.3478,0.1478,3.88,4.07
Davis Martin,Chicago White Sox,4,25.0,2.16,0.2021,0.0638,3.46,3.92
