Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Spencer Strider,Atlanta Braves,2,9.3,2.89,0.35,0.175,8.18,3.74,4.17
Casey Mize,Detroit Tigers,6,31.0,2.9,0.2734,0.0859,8.15,2.84,3.52
Trevor McDonald,San Francisco Giants,2,12.3,2.92,0.24,0.04,8.64,3.99,4.2
Gabe Speier,Seattle Mariners,0,12.3,2.92,0.2143,0.0893,9.09,3.66,4.13
Nolan McLean,New York Mets,9,52.3,2.92,0.3153,0.0739,6.37,2.67,2.87
Jalen Beeks,Texas Rangers,0,18.3,2.95,0.2208,0.1039,8.36,3.97,4.16
Joey Cantillo,Cleveland Guardians,9,45.3,2.98,0.2181,0.1064,8.15,4.11,4.14
Grant Anderson,Milwaukee Brewers,0,18.0,3.0,0.2174,0.1014,8.11,4.04,4.19
Paul Gervase,Los Angeles Dodgers,0,3.0,3.0,0.3571,0.0714,8.96,1.5,4.11
Spencer Miles,Toronto Blue Jays,1,21.0,3.0,0.2093,0.0581,8.42,3.33,3.93
Alan Rangel,Philadelphia Phillies,0,3.0,3.0,0.4167,0.0,8.81,1.5,4.11
Blade Tidwell,San Francisco Giants,0,12.0,3.0,0.2128,0.0638,8.54,3.51,4.1
Ryan Weathers,New York Yankees,8,45.0,3.0,0.2983,0.0718,7.75,3.29,3.53
Robbie Ray,San Francisco Giants,9,50.3,3.04,0.2414,0.0985,7.27,4.92,4.81
Sean Newcomb,Chicago White Sox,0,23.7,3.04,0.23,0.08,8.63,2.42,3.53
Randy Vásquez,San Diego Padres,8,44.3,3.05,0.232,0.0718,8.15,3.39,3.61
Cade Smith,Cleveland Guardians,0,20.7,3.05,0.3494,0.0482,8.62,1.5,3.3
Calvin Faucher,Miami Marlins,0,17.7,3.06,0.2237,0.1711,8.01,3.38,3.99
Sam Moll,Cincinnati Reds,0,17.7,3.06,0.2078,0.1299,8.01,4.96,4.46
Chad Patrick,Milwaukee Brewers,5,35.3,3.06,0.1769,0.1156,8.27,3.8,3.99
Nick Mears,Kansas City Royals,0,14.7,3.07,0.1833,0.1167,8.3,3.91,4.17
Ryan Thompson,Arizona Diamondbacks,0,14.7,3.07,0.1667,0.1,8.3,4.93,4.42
Landen Roupp,San Francisco Giants,8,43.7,3.09,0.2881,0.1073,6.75,2.5,2.98
Sam Bachman,Los Angeles Angels,0,20.3,3.1,0.275,0.125,7.47,3.68,4.06
Scott Barlow,Athletics,0,20.3,3.1,0.2195,0.1098,7.17,4.52,4.34
Freddy Peralta,New York Mets,9,49.3,3.1,0.2381,0.0905,7.71,3.66,3.77
J.T. Ginn,Athletics,7,43.3,3.12,0.1943,0.0914,7.84,4.2,4.22
Kai-Wei Teng,Houston Astros,2,26.0,3.12,0.2212,0.0769,7.99,3.86,4.08
Caleb Thielbar,Chicago Cubs,0,8.7,3.12,0.2895,0.1316,8.43,5.29,4.4
Garrett Whitlock,Boston Red Sox,0,17.3,3.12,0.3099,0.0845,8.21,3.09,3.92
PJ Poulin,Washington Nationals,5,20.0,3.15,0.1724,0.1379,8.27,5.49,4.66
Connelly Early,Boston Red Sox,8,42.7,3.16,0.2203,0.1017,7.64,4.34,4.31
Drew Rasmussen,Tampa Bay Rays,8,42.7,3.16,0.2529,0.0412,7.34,3.7,3.86
Carter Baumler,Texas Rangers,0,5.7,3.18,0.2222,0.2222,8.57,6.98,4.51
Braydon Fisher,Toronto Blue Jays,1,22.7,3.18,0.2273,0.1023,7.88,3.36,3.91
Sonny Gray,Boston Red Sox,7,34.0,3.18,0.1511,0.0576,8.46,4.18,4.21
Erik Miller,San Francisco Giants,0,11.3,3.18,0.3542,0.125,8.34,1.68,3.76
Jovani Morán,Boston Red Sox,2,22.7,3.18,0.2316,0.1474,7.58,5.43,4.7
Emerson Hancock,Seattle Mariners,8,47.7,3.21,0.2703,0.0486,7.66,3.87,3.95
Max Meyer,Miami Marlins,9,47.7,3.21,0.266,0.0837,7.51,3.18,3.4
Max Fried,New York Yankees,10,61.7,3.21,0.2083,0.0792,6.28,2.7,2.7
Brad Lord,Washington Nationals,0,28.0,3.21,0.1765,0.0504,8.59,3.84,4.06
Shane Drohan,Milwaukee Brewers,1,16.7,3.24,0.2113,0.0845,8.46,2.37,3.73
Janson Junk,Miami Marlins,8,44.3,3.25,0.1823,0.0552,8.15,3.52,3.71
Tyler Wells,Baltimore Orioles,0,19.3,3.26,0.2346,0.0741,8.81,3.56,4.03
Tim Mayza,Philadelphia Phillies,1,22.0,3.27,0.2386,0.0795,7.67,4.05,4.18
Cole Sulser,Tampa Bay Rays,1,22.0,3.27,0.1684,0.0947,8.72,3.46,3.96
Jesse Scholtens,Tampa Bay Rays,2,27.3,3.29,0.1826,0.087,8.09,4.89,4.54
Walbert Ureña,Los Angeles Angels,5,27.3,3.29,0.2185,0.1429,8.09,4.01,4.14
Lucas Erceg,Kansas City Royals,0,16.3,3.31,0.209,0.1791,8.05,3.58,4.07
Jonathan Loáisiga,Arizona Diamondbacks,0,16.3,3.31,0.1818,0.0455,8.65,3.16,3.95
Connor Prielipp,Minnesota Twins,4,19.0,3.32,0.2658,0.0886,7.81,4.36,4.28
JR Ritchie,Atlanta Braves,4,21.7,3.32,0.1828,0.1613,8.02,6.14,4.93
Jack Anderson,Boston Red Sox,0,8.0,3.38,0.1875,0.0625,8.83,3.97,4.21
Coleman Crow,Milwaukee Brewers,1,5.3,3.38,0.1905,0.0476,8.62,2.16,4.06
Robert Garcia,Texas Rangers,0,8.0,3.38,0.1765,0.2059,8.38,4.22,4.25
Luis Mey,Cincinnati Reds,0,8.0,3.38,0.3611,0.1389,8.38,5.72,4.45
Bryce Miller,Seattle Mariners,1,5.3,3.38,0.12,0.04,9.22,4.97,4.31
Ryan Rolison,Chicago Cubs,0,10.7,3.38,0.2791,0.1163,8.59,3.47,4.11
Alex Vesia,Los Angeles Dodgers,0,13.3,3.38,0.3148,0.1296,7.89,2.12,3.78
Will Warren,New York Yankees,9,47.3,3.42,0.298,0.0606,8.31,3.07,3.32
Joe Ryan,Minnesota Twins,9,44.7,3.43,0.2486,0.0718,7.2,3.03,3.34
JoJo Romero,St. Louis Cardinals,0,21.0,3.43,0.2069,0.092,8.42,4.52,4.35
Dennis Santana,Pittsburgh Pirates,0,18.3,3.44,0.1299,0.1169,8.21,5.06,4.5
Didier Fuentes,Atlanta Braves,1,15.7,3.45,0.2969,0.0781,8.15,2.65,3.83
Jordan Hicks,Chicago White Sox,0,15.7,3.45,0.1622,0.1757,9.05,4.24,4.25
Christian Scott,New York Mets,4,15.7,3.45,0.2857,0.1286,8.45,3.67,4.1
Albert Suárez,Baltimore Orioles,0,15.7,3.45,0.1364,0.1364,8.15,6.16,4.75
Ryan Yarbrough,New York Yankees,0,15.7,3.45,0.2154,0.0769,8.15,3.48,4.05
Bailey Ober,Minnesota Twins,9,52.0,3.46,0.1866,0.0718,6.87,3.82,3.88
Clayton Beeter,Washington Nationals,0,10.3,3.48,0.1957,0.1739,8.03,6.48,4.63
David Bednar,New York Yankees,0,18.0,3.5,0.275,0.0625,9.01,2.37,3.69
Tyler Kinley,Atlanta Braves,0,18.0,3.5,0.2436,0.1154,8.41,4.82,4.42
George Soriano,St. Louis Cardinals,0,18.0,3.5,0.1948,0.1299,7.96,4.71,4.39
Tobias Myers,New York Mets,1,25.7,3.51,0.2079,0.0396,8.34,4.46,4.34
Foster Griffin,Washington Nationals,9,51.0,3.53,0.23,0.0845,7.32,4.45,4.42
Michael Soroka,Arizona Diamondbacks,8,43.3,3.53,0.2541,0.0649,9.19,3.16,3.47
Jeremiah Estrada,San Diego Padres,0,12.7,3.55,0.3265,0.1224,7.99,3.01,3.99
Bryan King,Houston Astros,0,17.7,3.57,0.1875,0.1,8.91,3.26,3.96
Mitch Keller,Pittsburgh Pirates,9,52.7,3.59,0.181,0.0714,7.38,3.3,3.42
