Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1585,229,0.3377,0.2044,120
,Los Angeles Dodgers,1573,206,0.3376,0.2079,120
,Tampa Bay Rays,1536,182,0.3119,0.1836,100
,Houston Astros,1612,197,0.3295,0.2066,114
,Chicago Cubs,1638,217,0.3336,0.2033,118
,Athletics,1545,176,0.317,0.2278,103
,Pittsburgh Pirates,1655,208,0.3198,0.2326,106
,Colorado Rockies,1572,175,0.312,0.2615,95
,Toronto Blue Jays,1546,169,0.3002,0.1837,93
,Miami Marlins,1547,176,0.31,0.2185,99
,Washington Nationals,1612,224,0.32,0.2184,107
,San Francisco Giants,1502,139,0.2857,0.213,83
,Detroit Tigers,1559,177,0.3165,0.2213,104
,Kansas City Royals,1547,171,0.3128,0.2204,100
,Milwaukee Brewers,1487,195,0.3038,0.2051,95
,New York Yankees,1614,223,0.3349,0.2342,118
,Philadelphia Phillies,1577,172,0.3046,0.2099,95
,Minnesota Twins,1584,194,0.3117,0.2285,100
,St. Louis Cardinals,1535,186,0.3094,0.2195,100
,Arizona Diamondbacks,1462,170,0.2992,0.2182,91
,Los Angeles Angels,1631,180,0.3122,0.2551,101
,Boston Red Sox,1527,156,0.2949,0.224,86
,Texas Rangers,1529,150,0.3014,0.2341,93
,Chicago White Sox,1534,171,0.311,0.2445,100
,Cleveland Guardians,1648,182,0.3054,0.1984,96
,Seattle Mariners,1582,170,0.3064,0.2446,100
,Baltimore Orioles,1596,184,0.3062,0.2469,97
,New York Mets,1489,141,0.278,0.2082,77
,San Diego Padres,1481,170,0.2919,0.2275,88
,Cincinnati Reds,1560,166,0.3015,0.2436,91
