Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,2051,282,0.3277,0.2092,114
,Tampa Bay Rays,1917,236,0.3173,0.1852,105
,Los Angeles Dodgers,2040,274,0.3364,0.2069,121
,Pittsburgh Pirates,2095,256,0.3168,0.2363,104
,Athletics,2050,232,0.3176,0.2229,104
,Arizona Diamondbacks,1924,239,0.3123,0.2037,101
,San Francisco Giants,1960,195,0.2957,0.2117,91
,Houston Astros,2038,233,0.3168,0.213,106
,Milwaukee Brewers,1934,246,0.3075,0.2032,99
,Miami Marlins,2012,231,0.308,0.2182,98
,Washington Nationals,2109,288,0.3201,0.2157,108
,Colorado Rockies,2015,219,0.3024,0.2417,89
,St. Louis Cardinals,1972,233,0.3135,0.2089,104
,Toronto Blue Jays,1978,214,0.2979,0.1916,92
,Boston Red Sox,1953,194,0.3019,0.2232,92
,Minnesota Twins,2022,248,0.3151,0.228,104
,Kansas City Royals,1980,207,0.3033,0.2162,94
,Chicago Cubs,2081,253,0.3191,0.2105,108
,Texas Rangers,1950,201,0.3053,0.2328,97
,New York Yankees,1988,254,0.3278,0.2369,114
,Detroit Tigers,2026,207,0.3024,0.228,95
,Chicago White Sox,1977,235,0.3161,0.2453,105
,Baltimore Orioles,1994,228,0.3076,0.2457,99
,Philadelphia Phillies,1988,213,0.2985,0.2233,91
,Cleveland Guardians,2063,232,0.3064,0.1987,98
,Cincinnati Reds,1977,229,0.3082,0.2403,97
,New York Mets,1975,206,0.2833,0.2137,82
,Los Angeles Angels,2033,217,0.3041,0.2538,95
,Seattle Mariners,2029,218,0.3056,0.2351,100
,San Diego Padres,1894,211,0.2902,0.2302,87
