Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Mason Black,Kansas City Royals,0,3.7,0.0,0.2778,0.1111,2.04,4.11
Matt Brash,Seattle Mariners,0,10.3,0.0,0.1714,0.0571,2.84,4.01
Gavin Collyer,Texas Rangers,0,3.3,0.0,0.2,0.2,5.83,4.34
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.13,4.18
Tim Herrin,Cleveland Guardians,0,5.7,0.0,0.1071,0.1429,4.72,4.29
Raisel Iglesias,Atlanta Braves,0,8.7,0.0,0.3548,0.0323,1.5,3.85
Corbin Martin,Chicago Cubs,0,4.0,0.0,0.1429,0.0714,2.88,4.16
Mason Miller,San Diego Padres,0,13.3,0.0,0.6136,0.0455,1.5,3.64
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.33,4.09
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,1.5,4.1
Ryan Rolison,Chicago Cubs,0,4.0,0.0,0.0769,0.0,2.63,4.14
Tyler Samaniego,Boston Red Sox,0,7.7,0.0,0.2759,0.1379,2.61,4.04
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.93,4.12
Burch Smith,Detroit Tigers,0,3.3,0.0,0.2857,0.1429,2.53,4.15
José Soriano,Los Angeles Angels,6,37.7,0.24,0.3071,0.0929,2.23,2.98
Shohei Ohtani,Los Angeles Dodgers,4,24.0,0.38,0.2717,0.0652,1.92,3.32
Antonio Senzatela,Colorado Rockies,0,18.0,0.5,0.2812,0.0625,1.8,3.51
Louis Varland,Toronto Blue Jays,0,14.0,0.64,0.3962,0.0755,1.5,3.61
Tyler Alexander,Texas Rangers,0,13.3,0.68,0.2222,0.0556,2.23,3.8
Tyler Rogers,Toronto Blue Jays,0,13.3,0.68,0.1132,0.0755,3.13,4.0
Dennis Santana,Pittsburgh Pirates,0,13.0,0.69,0.2,0.12,3.21,4.02
Kyle Finnegan,Detroit Tigers,0,12.7,0.71,0.1837,0.1633,4.63,4.33
Brock Burke,Cincinnati Reds,0,12.3,0.73,0.2857,0.0816,2.08,3.8
Bradgley Rodriguez,San Diego Padres,0,12.3,0.73,0.2449,0.0612,1.91,3.77
Rico Garcia,Baltimore Orioles,0,12.0,0.75,0.3171,0.0976,3.05,4.01
Caleb Kilian,San Francisco Giants,0,12.0,0.75,0.2979,0.1489,3.88,4.18
Robert Suarez,Atlanta Braves,0,11.7,0.77,0.2667,0.0444,1.59,3.73
Huascar Brazobán,New York Mets,0,11.3,0.79,0.2222,0.0444,3.04,4.02
Brennan Bernardino,Colorado Rockies,1,11.0,0.82,0.2273,0.0682,2.4,3.91
John King,Miami Marlins,0,11.0,0.82,0.2857,0.119,4.04,4.21
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.63,3.78
Daniel Lynch IV,Kansas City Royals,0,10.3,0.87,0.3421,0.0789,1.77,3.82
Seth Lugo,Kansas City Royals,5,31.3,1.15,0.2414,0.0862,2.3,3.23
Isaac Mattson,Pittsburgh Pirates,0,15.7,1.15,0.1719,0.1094,3.07,3.94
Aroldis Chapman,Boston Red Sox,0,7.7,1.17,0.2667,0.1,2.61,4.04
Jacob Latz,Texas Rangers,1,14.7,1.23,0.25,0.0577,2.86,3.91
Gordon Graceffo,St. Louis Cardinals,0,14.3,1.26,0.1509,0.1132,3.48,4.07
Riley O'Brien,St. Louis Cardinals,0,14.3,1.26,0.2963,0.0185,1.53,3.6
Graham Ashcraft,Cincinnati Reds,0,14.0,1.29,0.2727,0.1455,2.7,3.89
Jhoan Duran,Philadelphia Phillies,0,6.7,1.35,0.3333,0.0,1.5,3.94
Chase Shugart,Philadelphia Phillies,0,6.7,1.35,0.2069,0.069,5.08,4.34
Dylan Lee,Atlanta Braves,0,13.0,1.38,0.2766,0.0426,1.59,3.67
Anthony Nunez,Baltimore Orioles,0,12.3,1.46,0.3261,0.0435,3.29,4.05
Jalen Beeks,Texas Rangers,0,12.0,1.5,0.2553,0.0638,2.96,3.99
Jimmy Herget,Colorado Rockies,3,12.0,1.5,0.2391,0.0435,2.05,3.81
Tyler Kinley,Atlanta Braves,0,12.0,1.5,0.234,0.1277,3.05,4.01
Sam Moll,Cincinnati Reds,0,12.0,1.5,0.2,0.16,4.21,4.24
Payton Tolle,Boston Red Sox,1,6.0,1.5,0.5,0.0455,2.13,4.04
Bryan Hudson,Chicago White Sox,1,11.7,1.54,0.283,0.1509,2.87,3.98
Jason Adam,San Diego Padres,0,5.7,1.59,0.087,0.0435,3.48,4.18
Tyler Phillips,Miami Marlins,0,17.0,1.59,0.2432,0.1622,4.07,4.2
Eduard Bazardo,Seattle Mariners,0,11.0,1.64,0.2045,0.1136,2.86,3.99
Matt Gage,San Francisco Giants,0,11.0,1.64,0.1628,0.1395,4.68,4.33
Tim Hill,New York Yankees,0,11.0,1.64,0.1081,0.0,3.58,4.13
Parker Messick,Cleveland Guardians,5,30.7,1.76,0.2566,0.0708,2.54,3.38
Cam Schlittler,New York Yankees,6,35.7,1.77,0.3083,0.0301,1.53,2.63
Blade Tidwell,San Francisco Giants,0,10.0,1.8,0.2222,0.0556,3.73,4.16
Justin Wrobleski,Los Angeles Dodgers,3,24.0,1.88,0.0978,0.0543,3.0,3.75
Randy Vásquez,San Diego Padres,5,28.7,1.88,0.2632,0.0702,2.54,3.43
Braydon Fisher,Toronto Blue Jays,1,14.0,1.93,0.2549,0.0784,3.27,4.02
Alex Vesia,Los Angeles Dodgers,0,9.3,1.93,0.3056,0.1111,2.06,3.91
Bryce Elder,Atlanta Braves,6,37.0,1.95,0.2123,0.0685,3.13,3.56
Gregory Soto,Pittsburgh Pirates,0,13.7,1.98,0.3774,0.1132,2.69,3.89
Kody Funderburk,Minnesota Twins,0,9.0,2.0,0.1905,0.1667,5.8,4.48
Garrett Whitlock,Boston Red Sox,0,9.0,2.0,0.3243,0.1351,3.57,4.15
Davis Martin,Chicago White Sox,5,31.3,2.01,0.2203,0.0593,3.07,3.63
Jakob Junis,Texas Rangers,0,13.3,2.03,0.1154,0.0769,3.58,4.1
Yohan Ramírez,Pittsburgh Pirates,0,17.7,2.04,0.2639,0.125,3.41,4.0
Yennier Cano,Baltimore Orioles,0,8.7,2.08,0.2812,0.0312,2.9,4.05
Mitch Farris,Los Angeles Angels,0,4.3,2.08,0.1579,0.1053,6.13,4.39
Jose A. Ferrer,Seattle Mariners,0,13.0,2.08,0.1613,0.0484,2.75,3.92
