Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Robby Ahlstrom,Texas Rangers,0,3.3,0.0,0.1818,0.0,8.46,1.91,4.12
Logan Allen,Cleveland Guardians,0,4.0,0.0,0.3684,0.0526,8.96,1.5,4.07
Tanner Andrews,Toronto Blue Jays,0,3.0,0.0,0.0909,0.1818,8.51,4.44,4.26
Mason Barnett,Athletics,0,6.0,0.0,0.3478,0.1739,8.22,2.44,4.07
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.77,4.13
Cam Booser,Tampa Bay Rays,0,4.0,0.0,0.3571,0.0714,8.51,1.5,4.07
Carlos Cortes,Athletics,0,2.0,0.0,0.0,0.2222,8.66,6.11,4.31
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.82,4.16
Nick Davila,Seattle Mariners,0,7.3,0.0,0.1379,0.2069,8.17,4.47,4.28
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.11,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.25,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.11,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.11,4.17
Caleb Ferguson,Cincinnati Reds,0,7.3,0.0,0.2963,0.037,8.17,1.5,3.91
Alec Gamboa,Boston Red Sox,0,1.7,0.0,0.6,0.0,8.56,1.5,4.17
Joey Gerber,New York Mets,0,3.0,0.0,0.4167,0.0833,8.66,1.5,4.11
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.93,4.13
Josh Hader,Houston Astros,0,3.0,0.0,0.7,0.1,8.36,1.5,4.11
Sam Haggerty,Texas Rangers,0,1.0,0.0,0.0,0.0,8.65,6.11,4.28
Welinton Herrera,Colorado Rockies,0,2.3,0.0,0.2,0.1,8.76,2.68,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Tommy Kahnle,Boston Red Sox,0,3.0,0.0,0.1538,0.1538,8.96,3.77,4.23
William Kempner,Miami Marlins,0,4.7,0.0,0.2941,0.0,8.57,1.5,4.04
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.25,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.73,4.18
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.11,4.23
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.61,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.11,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.61,4.26
A.J. Minter,New York Mets,0,5.3,0.0,0.2857,0.0476,8.62,1.5,4.01
