Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1780,250,0.3339,0.2062,117
,Los Angeles Dodgers,1792,245,0.3393,0.2042,122
,Tampa Bay Rays,1717,207,0.3141,0.1875,102
,Athletics,1748,200,0.3198,0.2248,105
,Houston Astros,1822,212,0.3222,0.2102,109
,Pittsburgh Pirates,1849,229,0.3173,0.2331,104
,Miami Marlins,1762,201,0.3085,0.214,98
,Colorado Rockies,1730,193,0.3107,0.2514,94
,Chicago Cubs,1860,241,0.3288,0.2048,114
,Washington Nationals,1825,255,0.3216,0.2186,108
,Milwaukee Brewers,1707,218,0.3074,0.2056,98
,San Francisco Giants,1713,157,0.2883,0.2172,84
,Toronto Blue Jays,1717,188,0.2967,0.1811,90
,St. Louis Cardinals,1770,208,0.3106,0.2119,101
,Kansas City Royals,1768,189,0.3087,0.2138,97
,Detroit Tigers,1768,188,0.31,0.2268,99
,Arizona Diamondbacks,1635,191,0.3025,0.2086,93
,Chicago White Sox,1749,211,0.3218,0.2401,108
,Minnesota Twins,1792,219,0.3123,0.2299,100
,Philadelphia Phillies,1784,199,0.3041,0.218,94
,New York Yankees,1783,237,0.3303,0.235,115
,Boston Red Sox,1720,167,0.2956,0.2233,87
,Cleveland Guardians,1815,210,0.312,0.1978,101
,Baltimore Orioles,1763,205,0.3085,0.2467,99
,Seattle Mariners,1785,195,0.311,0.2381,103
,Los Angeles Angels,1762,186,0.3064,0.2588,96
,Texas Rangers,1709,171,0.2979,0.2341,91
,New York Mets,1711,176,0.2843,0.2075,82
,Cincinnati Reds,1785,204,0.3092,0.2403,96
,San Diego Padres,1650,187,0.29,0.2315,86
