Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Matt Brash,Seattle Mariners,0,7.3,0.0,0.1923,0.0769,2.57,4.04
Huascar Brazobán,New York Mets,0,10.7,0.0,0.2381,0.0476,1.8,3.81
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.11,4.17
Kyle Finnegan,Detroit Tigers,0,10.0,0.0,0.1,0.2,4.71,4.33
Tim Herrin,Cleveland Guardians,0,5.7,0.0,0.1071,0.1429,4.7,4.29
Raisel Iglesias,Atlanta Braves,0,8.7,0.0,0.3548,0.0323,1.5,3.85
Craig Kimbrel,New York Mets,0,3.7,0.0,0.2308,0.0769,2.29,4.13
Mason Miller,San Diego Padres,0,11.3,0.0,0.7105,0.0526,1.5,3.73
Riley O'Brien,St. Louis Cardinals,0,13.3,0.0,0.3333,0.0,1.5,3.64
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.31,4.09
Tyler Samaniego,Boston Red Sox,0,5.3,0.0,0.35,0.2,2.74,4.12
Tony Santillan,Cincinnati Reds,0,10.0,0.0,0.3243,0.1622,2.51,3.96
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.91,4.12
Louis Varland,Toronto Blue Jays,0,13.0,0.0,0.413,0.0652,1.5,3.65
Alex Vesia,Los Angeles Dodgers,0,8.7,0.0,0.3226,0.0968,1.84,3.9
Brandon Young,Baltimore Orioles,1,5.0,0.0,0.1111,0.1111,3.51,4.19
José Soriano,Los Angeles Angels,5,32.7,0.28,0.325,0.1083,2.32,3.2
Shohei Ohtani,Los Angeles Dodgers,3,18.0,0.5,0.2609,0.087,2.28,3.66
Tyler Phillips,Miami Marlins,0,15.0,0.6,0.2857,0.1429,2.71,3.87
Antonio Senzatela,Colorado Rockies,0,14.3,0.63,0.3269,0.0577,1.5,3.59
Braydon Fisher,Toronto Blue Jays,1,12.7,0.71,0.2791,0.0465,2.95,3.98
Bradgley Rodriguez,San Diego Padres,0,12.3,0.73,0.2449,0.0612,1.9,3.77
Tyler Rogers,Toronto Blue Jays,0,12.3,0.73,0.1,0.08,3.27,4.05
Rico Garcia,Baltimore Orioles,0,12.0,0.75,0.3171,0.0976,3.03,4.01
Gregory Soto,Pittsburgh Pirates,0,11.7,0.77,0.3636,0.1364,3.28,4.06
Tyler Alexander,Texas Rangers,0,11.3,0.79,0.2128,0.0638,2.41,3.9
Dennis Santana,Pittsburgh Pirates,0,11.0,0.82,0.1667,0.119,3.48,4.11
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.61,3.78
Gordon Graceffo,St. Louis Cardinals,0,10.7,0.84,0.15,0.15,3.96,4.2
Brennan Bernardino,Colorado Rockies,1,10.3,0.87,0.2381,0.0714,2.34,3.92
Brock Burke,Cincinnati Reds,0,10.3,0.87,0.3095,0.0952,1.76,3.82
Tim Hill,New York Yankees,0,10.0,0.9,0.0909,0.0,2.51,3.96
Caleb Kilian,San Francisco Giants,0,10.0,0.9,0.3684,0.1579,3.71,4.16
John King,Miami Marlins,0,10.0,0.9,0.2895,0.1053,4.01,4.21
Tyler Kinley,Atlanta Braves,0,10.0,0.9,0.2432,0.0811,2.51,3.96
Dylan Lee,Atlanta Braves,0,10.0,0.9,0.2432,0.0541,1.91,3.86
Tanner Scott,Los Angeles Dodgers,0,9.7,0.93,0.2647,0.0294,2.91,4.03
Robert Suarez,Atlanta Braves,0,9.7,0.93,0.3056,0.0278,1.5,3.81
Chad Patrick,Milwaukee Brewers,3,19.0,0.95,0.12,0.0933,3.95,4.16
Jalen Beeks,Texas Rangers,0,9.3,0.96,0.2105,0.0789,2.36,3.96
Daniel Lynch IV,Kansas City Royals,0,9.0,1.0,0.3529,0.0882,1.78,3.88
Michael Wacha,Kansas City Royals,4,27.0,1.0,0.2347,0.0816,3.37,3.85
Jaden Hill,Colorado Rockies,0,8.7,1.04,0.2105,0.1579,3.34,4.12
Eli Morgan,Kansas City Royals,0,8.0,1.13,0.2286,0.1714,4.99,4.35
Seth Lugo,Kansas City Royals,5,31.3,1.15,0.2414,0.0862,2.28,3.22
