Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Robby Ahlstrom,Texas Rangers,0,5.7,0.0,0.1579,0.0,8.42,2.04,4.04
Logan Allen,Cleveland Guardians,0,4.0,0.0,0.3684,0.0526,8.96,1.5,4.07
Tanner Andrews,Toronto Blue Jays,0,3.0,0.0,0.0909,0.1818,8.51,4.43,4.26
Mason Barnett,Athletics,0,8.0,0.0,0.4138,0.1379,7.93,1.6,3.9
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.77,4.13
Cam Booser,Tampa Bay Rays,0,4.0,0.0,0.3571,0.0714,8.51,1.5,4.07
Tyler Callihan,Pittsburgh Pirates,0,1.0,0.0,0.0,0.2,8.8,6.1,4.28
Carlos Cortes,Athletics,0,2.0,0.0,0.0,0.2222,8.66,6.1,4.31
Jeff Criswell,Colorado Rockies,0,1.0,0.0,0.2,0.2,8.8,4.1,4.25
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.82,4.16
Nick Davila,Seattle Mariners,0,9.7,0.0,0.1579,0.1579,7.98,4.03,4.21
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.1,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.24,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.1,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.1,4.17
Alec Gamboa,Boston Red Sox,0,1.7,0.0,0.6,0.0,8.56,1.5,4.17
Josh Hader,Houston Astros,0,4.0,0.0,0.5385,0.0769,8.21,1.5,4.07
Sam Haggerty,Texas Rangers,0,1.0,0.0,0.0,0.0,8.65,6.1,4.28
Welinton Herrera,Colorado Rockies,0,2.3,0.0,0.2,0.1,8.76,2.67,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Tommy Kahnle,Boston Red Sox,0,3.0,0.0,0.1538,0.1538,8.96,3.77,4.23
James Karinchak,Atlanta Braves,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
William Kempner,Miami Marlins,0,6.7,0.0,0.32,0.08,8.27,1.6,3.96
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.24,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.73,4.18
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.1,4.23
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.6,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
A.J. Minter,New York Mets,0,6.7,0.0,0.24,0.04,8.42,1.75,3.97
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
Samy Natera Jr.,Los Angeles Angels,0,2.7,0.0,0.4444,0.1111,8.41,1.5,4.13
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.6,4.19
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,2.0,0.0,0.1429,0.0,8.66,2.1,4.18
Dylan Smith,San Francisco Giants,0,4.0,0.0,0.2857,0.1429,8.21,2.6,4.14
Drew Sommers,Detroit Tigers,0,3.7,0.0,0.3125,0.1875,8.41,3.65,4.21
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.6,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
