Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Matt Brash,Seattle Mariners,0,6.0,0.0,0.1905,0.0476,2.29,4.05
Huascar Brazobán,New York Mets,0,9.0,0.0,0.2,0.0,1.57,3.85
Dylan Dodd,Atlanta Braves,0,3.0,0.0,0.2,0.0,1.79,4.13
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.12,4.17
Kyle Finnegan,Detroit Tigers,0,9.0,0.0,0.0833,0.2222,5.12,4.38
Rico Garcia,Baltimore Orioles,0,10.0,0.0,0.303,0.0909,2.02,3.88
Tanner Gordon,Colorado Rockies,0,4.0,0.0,0.2857,0.0714,1.87,4.09
Tim Herrin,Cleveland Guardians,0,4.0,0.0,0.1579,0.1579,3.87,4.22
Raisel Iglesias,Atlanta Braves,0,7.7,0.0,0.3846,0.0,1.5,3.9
Joel Kuhnel,Athletics,0,4.7,0.0,0.2,0.0,1.84,4.06
Riley Martin,Chicago Cubs,1,5.3,0.0,0.2778,0.0,1.5,4.01
Mason Miller,San Diego Padres,0,9.3,0.0,0.7667,0.0333,1.5,3.82
Riley O'Brien,St. Louis Cardinals,0,10.3,0.0,0.3143,0.0,1.5,3.78
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.32,4.09
JoJo Romero,St. Louis Cardinals,0,11.3,0.0,0.1395,0.0698,3.12,4.04
Tyler Samaniego,Boston Red Sox,0,3.7,0.0,0.2857,0.2143,3.39,4.2
Tony Santillan,Cincinnati Reds,0,9.0,0.0,0.2941,0.1765,2.9,4.05
Jesse Scholtens,Tampa Bay Rays,0,9.7,0.0,0.1944,0.0833,2.91,4.03
Antonio Senzatela,Colorado Rockies,0,12.3,0.0,0.3488,0.0698,1.5,3.68
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.92,4.12
Ryan Thompson,Arizona Diamondbacks,0,7.7,0.0,0.1786,0.1071,2.99,4.09
Blake Treinen,Los Angeles Dodgers,0,6.7,0.0,0.2308,0.1154,2.67,4.07
Louis Varland,Toronto Blue Jays,0,11.0,0.0,0.3902,0.0732,1.5,3.75
Alex Vesia,Los Angeles Dodgers,0,7.3,0.0,0.3333,0.1111,1.89,3.96
Brandon Young,Baltimore Orioles,1,5.0,0.0,0.1111,0.1111,3.52,4.19
José Soriano,Los Angeles Angels,5,32.7,0.28,0.325,0.1083,2.33,3.2
Shohei Ohtani,Los Angeles Dodgers,3,18.0,0.5,0.2609,0.087,2.29,3.66
Tyler Phillips,Miami Marlins,0,12.0,0.75,0.283,0.1509,2.87,3.97
Bryce Elder,Atlanta Braves,4,23.3,0.77,0.2527,0.0769,2.74,3.66
Dennis Santana,Pittsburgh Pirates,0,11.0,0.82,0.1667,0.119,3.49,4.11
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.62,3.78
Braydon Fisher,Toronto Blue Jays,1,10.7,0.84,0.3243,0.027,2.65,3.97
Bradgley Rodriguez,San Diego Padres,0,10.7,0.84,0.2326,0.0465,1.81,3.82
Gregory Soto,Pittsburgh Pirates,0,10.7,0.84,0.375,0.125,3.22,4.07
Tyler Alexander,Texas Rangers,0,10.3,0.87,0.2045,0.0682,2.54,3.96
