Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2661,373,0.3422,0.2007,122
,San Francisco Giants,2610,289,0.3142,0.208,102
,Tampa Bay Rays,2490,297,0.3178,0.1904,103
,Atlanta Braves,2578,350,0.326,0.2052,109
,Milwaukee Brewers,2586,352,0.3208,0.208,106
,Pittsburgh Pirates,2710,351,0.3255,0.2354,108
,Toronto Blue Jays,2574,281,0.3054,0.1946,95
,Colorado Rockies,2613,297,0.3134,0.2377,94
,Athletics,2624,298,0.321,0.2237,104
,Washington Nationals,2678,372,0.3232,0.2132,107
,Miami Marlins,2574,296,0.3098,0.2179,97
,St. Louis Cardinals,2528,298,0.3137,0.2108,101
,Boston Red Sox,2474,258,0.3029,0.2215,91
,New York Yankees,2539,342,0.3316,0.2292,114
,Chicago White Sox,2560,318,0.3232,0.2387,107
,Houston Astros,2650,315,0.3156,0.2211,102
,Baltimore Orioles,2662,331,0.3173,0.2344,103
,Chicago Cubs,2699,317,0.3185,0.213,105
,Arizona Diamondbacks,2516,289,0.3026,0.2051,92
,Kansas City Royals,2601,269,0.3034,0.2141,91
,Texas Rangers,2542,275,0.3091,0.2258,97
,Minnesota Twins,2643,318,0.3101,0.2263,97
,Seattle Mariners,2651,297,0.314,0.2278,104
,Detroit Tigers,2598,285,0.3118,0.2263,99
,Los Angeles Angels,2619,308,0.3089,0.2478,96
,Cincinnati Reds,2565,286,0.311,0.2441,96
,Cleveland Guardians,2630,283,0.3038,0.2068,94
,Philadelphia Phillies,2526,276,0.3008,0.2288,90
,New York Mets,2515,272,0.2888,0.2207,84
,San Diego Padres,2438,255,0.2863,0.2326,82
