Name,Team,GS,IP,ERA,K%,BB%,ERA_est
Mike Burrows,Houston Astros,4,22.0,6.55,0.1748,0.068,4.69
Emmet Sheehan,Los Angeles Dodgers,3,15.0,6.6,0.2154,0.0923,4.63
Zach Agnos,Colorado Rockies,0,9.3,6.75,0.2,0.1111,3.98
Matthew Boyd,Chicago Cubs,2,9.3,6.75,0.4595,0.0811,3.83
Hunter Harvey,Chicago Cubs,0,4.0,6.75,0.2222,0.0556,4.48
Zack Kelly,Boston Red Sox,0,5.3,6.75,0.1429,0.0476,4.27
Will Vest,Detroit Tigers,0,6.7,6.75,0.3103,0.1034,3.93
Ken Waldichuk,Washington Nationals,0,9.3,6.75,0.1951,0.1463,4.95
Ryan Weiss,Houston Astros,1,14.7,6.75,0.25,0.1389,4.71
Devin Williams,New York Mets,0,5.3,6.75,0.3077,0.1154,4.21
Brandon Sproat,Milwaukee Brewers,2,17.0,6.88,0.2162,0.1486,4.78
Shaun Anderson,Los Angeles Angels,0,10.3,6.97,0.1522,0.1087,4.73
Yoendrys Gómez,Tampa Bay Rays,0,10.3,6.97,0.125,0.1042,5.03
Dustin May,St. Louis Cardinals,4,19.3,6.98,0.1786,0.0476,4.09
Matt Festa,Cleveland Guardians,0,9.0,7.0,0.1951,0.0244,4.31
Luis Gil,New York Yankees,2,9.0,7.0,0.1707,0.122,4.92
Juan Mejia,Colorado Rockies,1,9.0,7.0,0.1628,0.093,4.27
Kevin Kelly,Tampa Bay Rays,0,7.7,7.04,0.2258,0.0968,4.25
Tommy Nance,Toronto Blue Jays,0,7.7,7.04,0.2432,0.1081,4.18
Kodai Senga,New York Mets,3,14.0,7.07,0.2969,0.1094,4.1
Ryan Borucki,San Francisco Giants,0,6.3,7.11,0.2069,0.069,4.42
Luis García,New York Mets,0,6.3,7.11,0.125,0.0625,4.05
Chris Martin,Texas Rangers,0,6.3,7.11,0.2414,0.0,4.12
John Schreiber,Kansas City Royals,0,6.3,7.11,0.1212,0.1818,4.71
Drew Anderson,Detroit Tigers,0,10.0,7.2,0.1915,0.1489,4.56
Jack Perkins,Athletics,0,5.0,7.2,0.2917,0.0417,3.98
Tyler Mahle,San Francisco Giants,4,18.7,7.23,0.2386,0.1364,5.07
Tatsuya Imai,Houston Astros,3,8.7,7.27,0.2955,0.25,4.21
Cionel Pérez,Washington Nationals,0,8.7,7.27,0.1795,0.1282,4.5
Ryan Feltner,Colorado Rockies,3,12.3,7.3,0.1607,0.1071,4.63
Camilo Doval,New York Yankees,0,7.3,7.36,0.2121,0.0303,4.1
Taijuan Walker,Philadelphia Phillies,3,14.7,7.36,0.169,0.0986,4.76
Ryan Watson,Boston Red Sox,0,11.0,7.36,0.1154,0.1346,4.85
Seranthony Domínguez,Chicago White Sox,0,6.0,7.5,0.2581,0.1613,4.56
Griffin Jax,Tampa Bay Rays,0,6.0,7.5,0.1613,0.1613,4.39
Yusei Kikuchi,Los Angeles Angels,4,18.0,7.5,0.2135,0.1124,4.4
Garrett Crochet,Boston Red Sox,4,19.0,7.58,0.2391,0.0761,4.33
Valente Bellozo,Colorado Rockies,0,10.7,7.59,0.1667,0.1458,5.05
Kyle Backhus,Philadelphia Phillies,0,4.7,7.71,0.3182,0.0455,4.37
Jake Bird,New York Yankees,0,7.0,7.71,0.2812,0.0312,4.09
J.P. France,Houston Astros,0,4.7,7.71,0.1304,0.1739,4.27
Adrian Morejon,San Diego Padres,0,9.3,7.71,0.1818,0.0227,3.82
AJ Blubaugh,Houston Astros,0,12.7,7.82,0.1667,0.1333,4.69
Eric Lauer,Toronto Blue Jays,3,12.7,7.82,0.2105,0.1579,4.68
Jesús Luzardo,Philadelphia Phillies,4,22.7,7.94,0.3061,0.051,3.7
Justin Bruihl,St. Louis Cardinals,0,9.0,8.0,0.1395,0.186,4.46
Javier Assad,Chicago Cubs,2,10.0,8.1,0.1333,0.0889,4.46
Michael Lorenzen,Colorado Rockies,4,16.7,8.1,0.1398,0.0538,4.74
Kyle Nicolas,Cincinnati Reds,0,3.3,8.1,0.0556,0.2778,4.47
Luke Weaver,New York Mets,0,6.7,8.1,0.1333,0.1,4.31
Mason Englert,Tampa Bay Rays,1,9.7,8.38,0.1489,0.0426,4.55
Jordan Romano,Los Angeles Angels,0,5.3,8.44,0.2692,0.1923,4.34
José Urquidy,Pittsburgh Pirates,0,6.3,8.53,0.1667,0.0556,4.2
Ryne Stanek,St. Louis Cardinals,0,7.3,8.59,0.2368,0.1316,4.24
Justin Lawrence,Pittsburgh Pirates,0,8.3,8.64,0.2857,0.119,4.6
José Suarez,Atlanta Braves,1,8.3,8.64,0.2683,0.0976,3.89
Luinder Avila,Kansas City Royals,1,6.0,9.0,0.1818,0.1212,4.31
Charlie Barnes,Chicago Cubs,0,3.0,9.0,0.0588,0.1765,4.31
Chris Bassitt,Baltimore Orioles,3,11.0,9.0,0.082,0.1148,4.55
Mark Leiter Jr.,Athletics,0,8.0,9.0,0.2,0.05,4.37
Andrés Muñoz,Seattle Mariners,0,6.7,9.45,0.303,0.1515,4.21
Max Scherzer,Toronto Blue Jays,3,10.3,9.58,0.1957,0.087,4.83
Ben Casparius,Los Angeles Dodgers,0,4.7,9.64,0.1739,0.1739,4.4
