Name,Team,GS,IP,ERA,K%,BB%,ERA_est
Jack Dreyer,Los Angeles Dodgers,0,6.3,2.84,0.28,0.12,4.0
Mitch Keller,Pittsburgh Pirates,4,22.0,2.86,0.1556,0.1,4.06
Michael Soroka,Arizona Diamondbacks,3,15.7,2.87,0.3433,0.0896,3.82
Jacob deGrom,Texas Rangers,3,15.7,2.87,0.3607,0.0656,4.04
Jakob Junis,Texas Rangers,0,9.3,2.89,0.1714,0.0571,3.98
Max Fried,New York Yankees,5,33.3,2.97,0.1811,0.063,3.56
Jack Anderson,Boston Red Sox,0,3.0,3.0,0.3636,0.0909,4.28
Lake Bachar,Miami Marlins,0,9.0,3.0,0.3889,0.1111,3.79
Paul Blackburn,New York Yankees,0,6.0,3.0,0.1333,0.0667,4.06
MacKenzie Gore,Texas Rangers,4,21.0,3.0,0.3529,0.1294,3.86
Brant Hurter,Detroit Tigers,0,6.0,3.0,0.16,0.12,4.33
Tim Mayza,Philadelphia Phillies,0,9.0,3.0,0.2857,0.0857,3.91
Juan Morillo,Arizona Diamondbacks,0,9.0,3.0,0.2222,0.1111,4.19
Andrew Morris,Minnesota Twins,0,3.0,3.0,0.1333,0.0,4.08
Caleb Thielbar,Chicago Cubs,0,6.0,3.0,0.2963,0.1481,4.24
Trevor Rogers,Baltimore Orioles,4,23.7,3.04,0.2041,0.0612,3.68
Foster Griffin,Washington Nationals,4,20.7,3.05,0.2184,0.0805,4.25
Ben Brown,Chicago Cubs,0,14.7,3.07,0.2456,0.0877,3.94
Kyle Harrison,Milwaukee Brewers,3,14.7,3.07,0.25,0.0667,4.17
Cole Winn,Texas Rangers,0,8.7,3.12,0.2432,0.1081,4.38
Martín Pérez,Atlanta Braves,2,14.3,3.14,0.1132,0.0755,4.16
Carter Baumler,Texas Rangers,0,5.7,3.18,0.2222,0.2222,4.47
Jose Franco,Cincinnati Reds,0,5.7,3.18,0.1481,0.1852,4.22
Aaron Ashby,Milwaukee Brewers,1,14.0,3.21,0.3729,0.1017,3.73
Keaton Winn,San Francisco Giants,0,8.3,3.24,0.3548,0.0645,3.83
George Kirby,Seattle Mariners,4,27.7,3.25,0.2136,0.0583,3.98
Chris Sale,Atlanta Braves,4,22.0,3.27,0.2472,0.0674,4.39
J.T. Ginn,Athletics,2,16.3,3.31,0.1746,0.1111,4.33
Keider Montero,Detroit Tigers,3,16.3,3.31,0.2381,0.0317,3.51
Chase Dollander,Colorado Rockies,0,19.0,3.32,0.2875,0.075,4.1
Grant Holmes,Atlanta Braves,4,21.7,3.32,0.1932,0.1136,4.18
Jacob Misiorowski,Milwaukee Brewers,4,21.7,3.32,0.375,0.1023,4.13
Erick Fedde,Chicago White Sox,2,16.0,3.38,0.1875,0.0469,4.2
Robert Garcia,Texas Rangers,0,8.0,3.38,0.1765,0.2059,4.21
Merrill Kelly,Arizona Diamondbacks,1,5.3,3.38,0.125,0.1667,4.42
Luis Medina,Athletics,0,8.0,3.38,0.2571,0.1429,4.22
Michael Petersen,Miami Marlins,0,8.0,3.38,0.2121,0.1212,4.24
Grant Wolfram,Baltimore Orioles,0,8.0,3.38,0.3939,0.0,3.84
Tobias Myers,New York Mets,0,13.0,3.46,0.1875,0.0208,4.15
Jack Kochanowicz,Los Angeles Angels,4,23.3,3.47,0.1818,0.1515,4.15
Sam Bachman,Los Angeles Angels,0,10.3,3.48,0.2558,0.186,4.05
Taylor Clarke,Arizona Diamondbacks,0,10.3,3.48,0.1622,0.0,4.08
Jordan Leasure,Chicago White Sox,1,10.3,3.48,0.225,0.1,4.35
Alex Lange,Kansas City Royals,0,7.7,3.52,0.3429,0.1429,3.96
Rhett Lowder,Cincinnati Reds,4,23.0,3.52,0.1596,0.0745,3.86
Nick Mears,Kansas City Royals,0,7.7,3.52,0.1875,0.125,4.06
Eric Orze,Minnesota Twins,0,7.7,3.52,0.1515,0.1212,4.1
Ryne Nelson,Arizona Diamondbacks,4,20.3,3.54,0.2209,0.093,4.47
Reid Detmers,Los Angeles Angels,4,22.7,3.57,0.2766,0.0638,3.55
Zac Gallen,Arizona Diamondbacks,4,20.0,3.6,0.1294,0.0824,4.26
Dean Kremer,Baltimore Orioles,1,5.0,3.6,0.4286,0.0,4.46
Colin Rea,Chicago Cubs,1,17.3,3.63,0.2174,0.0435,4.03
Bryan Baker,Tampa Bay Rays,0,7.3,3.68,0.2414,0.069,4.15
Pierce Johnson,Cincinnati Reds,0,7.3,3.68,0.25,0.0312,4.07
Richard Lovelady,New York Mets,0,7.3,3.68,0.1875,0.125,4.29
Zach Pop,Philadelphia Phillies,1,7.3,3.68,0.1935,0.0968,4.07
Taylor Rogers,Minnesota Twins,0,7.3,3.68,0.2121,0.0909,3.99
Lucas Sims,Chicago White Sox,0,7.3,3.68,0.2059,0.1471,4.14
Jake Woodford,Milwaukee Brewers,0,7.3,3.68,0.1613,0.0645,4.22
Grant Anderson,Milwaukee Brewers,0,9.7,3.72,0.2308,0.1282,3.98
Framber Valdez,Detroit Tigers,4,24.0,3.75,0.125,0.0673,3.74
Andrew Painter,Philadelphia Phillies,2,14.3,3.77,0.2623,0.0492,3.56
Cole Ragans,Kansas City Royals,4,16.7,3.78,0.2388,0.1493,4.52
Steven Matz,Tampa Bay Rays,4,21.3,3.8,0.2471,0.0706,3.9
Joe Ryan,Minnesota Twins,4,21.3,3.8,0.2588,0.0706,3.7
Clayton Beeter,Washington Nationals,0,9.3,3.86,0.1667,0.1905,4.68
Jonathan Bowlan,Philadelphia Phillies,0,7.0,3.86,0.2759,0.0345,3.88
Bubba Chandler,Pittsburgh Pirates,3,14.0,3.86,0.2222,0.1905,4.52
Spencer Miles,Toronto Blue Jays,0,9.3,3.86,0.2162,0.0811,4.35
Freddy Peralta,New York Mets,4,21.0,3.86,0.2809,0.0899,4.09
Ryan Walker,San Francisco Giants,0,7.0,3.86,0.2667,0.1,4.18
Noah Cameron,Kansas City Royals,3,16.0,3.94,0.209,0.0597,4.08
Casey Mize,Detroit Tigers,3,16.0,3.94,0.2535,0.0845,4.05
Shane McClanahan,Tampa Bay Rays,3,13.7,3.95,0.2203,0.1864,4.29
Kris Bubic,Kansas City Royals,4,22.7,3.97,0.2921,0.1124,3.86
Ron Marinaccio,San Diego Padres,0,11.3,3.97,0.2381,0.0476,4.2
Mick Abel,Minnesota Twins,3,20.3,3.98,0.2473,0.1075,3.72
Tyler Glasnow,Los Angeles Dodgers,3,18.0,4.0,0.3099,0.0563,3.78
Jonathan Loáisiga,Arizona Diamondbacks,0,9.0,4.0,0.1892,0.027,4.12
Steven Okert,Houston Astros,0,9.0,4.0,0.2424,0.1212,4.19
Paul Skenes,Pittsburgh Pirates,4,18.0,4.0,0.25,0.0972,4.16
Aaron Nola,Philadelphia Phillies,4,22.3,4.03,0.2581,0.0645,3.95
Jack Flaherty,Detroit Tigers,4,20.0,4.05,0.2386,0.1591,4.21
Matt Strahm,Kansas City Royals,0,6.7,4.05,0.2069,0.1034,4.3
Gus Varland,Washington Nationals,0,6.7,4.05,0.2414,0.1034,4.21
Max Meyer,Miami Marlins,4,19.7,4.12,0.2273,0.1023,4.07
Dietrich Enns,Baltimore Orioles,0,4.3,4.15,0.35,0.25,4.14
Orion Kerkering,Philadelphia Phillies,0,4.3,4.15,0.2222,0.0556,4.04
Justin Topa,Minnesota Twins,0,8.7,4.15,0.1282,0.1026,4.3
Logan Gilbert,Seattle Mariners,4,23.7,4.18,0.2747,0.044,3.58
Zack Littell,Washington Nationals,2,15.0,4.2,0.1515,0.0758,4.93
PJ Poulin,Washington Nationals,2,10.7,4.22,0.1522,0.1522,4.78
Cody Laweryson,Minnesota Twins,0,6.3,4.26,0.3077,0.0769,4.02
Cole Sands,Minnesota Twins,0,6.3,4.26,0.1786,0.1071,4.29
Matthew Liberatore,St. Louis Cardinals,4,21.0,4.29,0.1277,0.0851,4.91
Ryan Weathers,New York Yankees,4,21.0,4.29,0.3111,0.0778,4.11
Kumar Rocker,Texas Rangers,3,14.7,4.3,0.209,0.1045,4.31
Jeff Hoffman,Toronto Blue Jays,0,8.3,4.32,0.439,0.122,3.92
Janson Junk,Miami Marlins,3,16.7,4.32,0.1739,0.058,4.14
Brandon Woodruff,Milwaukee Brewers,3,16.7,4.32,0.2319,0.0435,4.22
Sean Newcomb,Chicago White Sox,0,12.3,4.38,0.2453,0.0943,3.8
Sean Burke,Chicago White Sox,3,20.3,4.43,0.1954,0.069,4.06
Sonny Gray,Boston Red Sox,4,20.3,4.43,0.125,0.0455,4.37
Calvin Faucher,Miami Marlins,0,6.0,4.5,0.3571,0.25,4.11
Nick Pivetta,San Diego Padres,4,16.0,4.5,0.3636,0.0909,3.48
Drew Pomeranz,Los Angeles Angels,0,8.0,4.5,0.1515,0.0909,4.31
Cade Smith,Cleveland Guardians,0,10.0,4.5,0.2444,0.0667,4.02
Walker Buehler,San Diego Padres,4,17.7,4.58,0.2466,0.0822,3.85
Cade Cavalli,Washington Nationals,4,15.7,4.6,0.1757,0.1622,4.24
Brad Lord,Washington Nationals,0,15.7,4.6,0.1791,0.0597,4.47
Patrick Corbin,Toronto Blue Jays,2,9.7,4.66,0.2195,0.0488,4.36
Justin Sterner,Athletics,0,9.7,4.66,0.2083,0.1042,4.16
David Bednar,New York Yankees,0,7.7,4.7,0.2632,0.1053,3.93
