Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2151,298,0.3415,0.2027,124
,Tampa Bay Rays,2035,246,0.3165,0.1862,104
,Atlanta Braves,2127,289,0.3262,0.2102,112
,Pittsburgh Pirates,2201,274,0.3188,0.2363,105
,Arizona Diamondbacks,2042,255,0.3118,0.2037,101
,Houston Astros,2160,253,0.3193,0.2111,107
,Milwaukee Brewers,2037,259,0.3084,0.2096,99
,Athletics,2156,236,0.3144,0.2226,102
,Washington Nationals,2224,306,0.3232,0.2158,110
,San Francisco Giants,2063,204,0.2954,0.2109,90
,Miami Marlins,2121,241,0.3071,0.2169,97
,Boston Red Sox,2032,208,0.305,0.22,94
,Toronto Blue Jays,2088,226,0.3,0.1944,93
,New York Yankees,2117,280,0.3339,0.231,118
,Colorado Rockies,2123,229,0.3008,0.2431,87
,Chicago Cubs,2196,265,0.32,0.2108,109
,St. Louis Cardinals,2072,235,0.3076,0.2114,99
,Baltimore Orioles,2118,254,0.3112,0.2417,101
,Chicago White Sox,2098,256,0.3187,0.244,106
,Minnesota Twins,2128,256,0.3105,0.2289,100
,Detroit Tigers,2103,217,0.3049,0.2282,96
,Kansas City Royals,2081,211,0.2997,0.2158,91
,Texas Rangers,2050,214,0.303,0.2302,95
,Seattle Mariners,2153,240,0.3093,0.2341,103
,Cleveland Guardians,2172,240,0.3061,0.1984,98
,Cincinnati Reds,2106,245,0.3106,0.2422,98
,Philadelphia Phillies,2090,223,0.2984,0.2191,91
,Los Angeles Angels,2108,227,0.3046,0.2543,95
,New York Mets,2079,214,0.283,0.216,81
,San Diego Padres,1997,214,0.2864,0.2344,84
