Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2780,386,0.342,0.2032,121
,San Francisco Giants,2716,296,0.3133,0.2058,101
,Tampa Bay Rays,2606,308,0.3172,0.1899,102
,Milwaukee Brewers,2701,370,0.3229,0.2062,107
,Atlanta Braves,2685,359,0.3231,0.2071,107
,Colorado Rockies,2740,329,0.3197,0.2354,98
,Pittsburgh Pirates,2822,359,0.324,0.2374,106
,Athletics,2746,320,0.3251,0.2203,106
,Toronto Blue Jays,2690,293,0.3075,0.1955,96
,Washington Nationals,2785,392,0.3241,0.2133,107
,Boston Red Sox,2585,278,0.3066,0.2201,93
,Miami Marlins,2693,310,0.3106,0.2191,97
,St. Louis Cardinals,2648,319,0.3163,0.2115,103
,Baltimore Orioles,2775,343,0.319,0.235,104
,Houston Astros,2765,333,0.3172,0.217,103
,New York Yankees,2657,358,0.3312,0.2285,113
,Kansas City Royals,2715,288,0.3052,0.2129,92
,Chicago White Sox,2663,333,0.3222,0.2385,106
,Minnesota Twins,2754,338,0.3148,0.2244,100
,Texas Rangers,2659,285,0.3089,0.2256,97
,Chicago Cubs,2812,329,0.3183,0.2144,104
,Arizona Diamondbacks,2639,300,0.3026,0.2035,91
,Seattle Mariners,2760,311,0.3131,0.225,102
,Los Angeles Angels,2739,323,0.3111,0.2486,97
,Detroit Tigers,2668,288,0.3099,0.2275,97
,Cleveland Guardians,2698,289,0.3041,0.2068,93
,New York Mets,2625,288,0.2919,0.2213,85
,Cincinnati Reds,2668,293,0.3096,0.244,94
,Philadelphia Phillies,2632,285,0.2981,0.2333,88
,San Diego Padres,2558,272,0.289,0.2299,83
