Team,TeamName,OBP,SLG,OPS,wRC+
,Los Angeles Dodgers,0.363,0.491,0.854,122
,Atlanta Braves,0.341,0.449,0.79,112
,Tampa Bay Rays,0.341,0.394,0.735,105
,Houston Astros,0.358,0.431,0.789,112
,Washington Nationals,0.338,0.411,0.749,107
,Miami Marlins,0.332,0.398,0.73,104
,Pittsburgh Pirates,0.342,0.393,0.735,105
,Chicago Cubs,0.341,0.386,0.727,103
,Detroit Tigers,0.329,0.382,0.711,101
,Toronto Blue Jays,0.311,0.37,0.681,97
,San Francisco Giants,0.286,0.347,0.633,90
,Baltimore Orioles,0.327,0.383,0.71,101
,San Diego Padres,0.314,0.392,0.706,100
,Boston Red Sox,0.322,0.355,0.677,96
,Milwaukee Brewers,0.339,0.38,0.719,102
,Arizona Diamondbacks,0.291,0.396,0.687,98
,Colorado Rockies,0.307,0.379,0.686,98
,Athletics,0.31,0.363,0.673,96
,Minnesota Twins,0.333,0.399,0.732,104
,Texas Rangers,0.308,0.385,0.693,99
,Cleveland Guardians,0.315,0.383,0.698,99
,St. Louis Cardinals,0.326,0.369,0.695,99
,Philadelphia Phillies,0.309,0.381,0.69,98
,Los Angeles Angels,0.333,0.406,0.739,105
,Kansas City Royals,0.304,0.346,0.65,92
,New York Mets,0.286,0.331,0.617,88
,New York Yankees,0.314,0.381,0.695,99
,Seattle Mariners,0.317,0.334,0.651,93
,Cincinnati Reds,0.299,0.333,0.632,90
,Chicago White Sox,0.286,0.316,0.602,86
