Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2292,315,0.341,0.2016,122
,Atlanta Braves,2289,316,0.3299,0.2066,114
,Tampa Bay Rays,2198,271,0.3201,0.187,106
,Pittsburgh Pirates,2361,301,0.3226,0.2351,107
,San Francisco Giants,2233,234,0.304,0.2087,96
,Athletics,2272,252,0.3175,0.2205,103
,Boston Red Sox,2196,231,0.307,0.2209,95
,Milwaukee Brewers,2195,284,0.3097,0.2087,99
,Colorado Rockies,2300,260,0.3087,0.24,92
,Washington Nationals,2370,327,0.3235,0.2127,109
,Toronto Blue Jays,2240,244,0.3023,0.1915,94
,Houston Astros,2306,271,0.3165,0.2129,104
,Arizona Diamondbacks,2187,268,0.307,0.2035,96
,Miami Marlins,2280,257,0.3069,0.2189,96
,New York Yankees,2242,305,0.3344,0.2288,117
,Chicago Cubs,2360,284,0.3192,0.2119,107
,Baltimore Orioles,2270,275,0.3141,0.2361,102
,Chicago White Sox,2275,281,0.3201,0.2404,106
,St. Louis Cardinals,2206,248,0.3056,0.2126,97
,Kansas City Royals,2243,230,0.3027,0.214,92
,Minnesota Twins,2312,284,0.3095,0.2323,98
,Texas Rangers,2239,239,0.3069,0.2278,97
,Seattle Mariners,2303,258,0.3131,0.2319,104
,Cleveland Guardians,2282,249,0.3058,0.2033,96
,Detroit Tigers,2289,233,0.3039,0.2285,94
,Los Angeles Angels,2310,263,0.3085,0.2485,97
,Cincinnati Reds,2251,258,0.3112,0.2448,97
,New York Mets,2226,241,0.2862,0.2174,83
,Philadelphia Phillies,2193,230,0.2947,0.2244,87
,San Diego Padres,2112,227,0.2888,0.232,85
