Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1660,237,0.3375,0.2066,120
,Los Angeles Dodgers,1645,212,0.3368,0.2049,120
,Tampa Bay Rays,1603,189,0.3112,0.1878,100
,Houston Astros,1727,206,0.3255,0.2079,111
,Athletics,1658,190,0.3201,0.225,105
,Pittsburgh Pirates,1741,220,0.321,0.2286,106
,Colorado Rockies,1657,188,0.313,0.2553,95
,Toronto Blue Jays,1615,180,0.3009,0.182,93
,Chicago Cubs,1717,219,0.3269,0.2073,113
,Milwaukee Brewers,1592,209,0.3082,0.2067,98
,Miami Marlins,1643,186,0.3062,0.2167,96
,San Francisco Giants,1574,145,0.2856,0.2166,82
,Washington Nationals,1709,236,0.3189,0.2212,106
,Detroit Tigers,1660,183,0.3149,0.2235,103
,Kansas City Royals,1632,180,0.311,0.22,98
,St. Louis Cardinals,1657,199,0.3117,0.2148,102
,Minnesota Twins,1688,211,0.314,0.2299,102
,Boston Red Sox,1600,160,0.2965,0.2244,87
,New York Yankees,1656,223,0.3312,0.2331,116
,Arizona Diamondbacks,1539,179,0.2996,0.2138,91
,Texas Rangers,1600,162,0.302,0.2356,94
,Chicago White Sox,1622,188,0.3161,0.2448,104
,Philadelphia Phillies,1647,175,0.3006,0.2155,92
,Seattle Mariners,1709,191,0.3129,0.2382,105
,Los Angeles Angels,1673,183,0.3107,0.2582,99
,Baltimore Orioles,1647,193,0.3066,0.2453,97
,Cleveland Guardians,1689,187,0.3045,0.1989,96
,New York Mets,1595,161,0.2828,0.2075,81
,Cincinnati Reds,1670,190,0.3078,0.2425,95
,San Diego Padres,1579,178,0.2892,0.2337,86
