Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,2.28,4.1
Matt Brash,Seattle Mariners,0,11.3,0.0,0.2105,0.0526,2.52,3.92
Gavin Collyer,Texas Rangers,0,7.3,0.0,0.2414,0.1034,3.68,4.18
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.14,4.18
Peyton Gray,Texas Rangers,0,6.0,0.0,0.1852,0.1852,3.97,4.22
Brenan Hanifee,Detroit Tigers,0,3.7,0.0,0.1429,0.0,2.05,4.12
Tim Herrin,Cleveland Guardians,0,10.3,0.0,0.1087,0.1304,4.2,4.24
Raisel Iglesias,Atlanta Braves,0,8.7,0.0,0.3548,0.0323,1.5,3.85
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.34,4.09
Orlando Ribalta,Washington Nationals,0,3.0,0.0,0.2222,0.0,1.8,4.13
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,1.5,4.1
Tyler Samaniego,Boston Red Sox,0,11.0,0.0,0.1778,0.1111,3.32,4.08
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.94,4.12
Louis Varland,Toronto Blue Jays,0,17.0,0.53,0.4308,0.0769,1.5,3.47
Kyle Finnegan,Detroit Tigers,0,16.7,0.54,0.197,0.1515,4.16,4.22
Tyler Rogers,Toronto Blue Jays,0,16.3,0.55,0.1613,0.0645,2.65,3.81
Caleb Kilian,San Francisco Giants,0,15.0,0.6,0.2667,0.1333,3.67,4.11
John King,Miami Marlins,0,15.0,0.6,0.2593,0.0926,3.54,4.07
Shohei Ohtani,Los Angeles Dodgers,5,30.0,0.6,0.2857,0.0756,1.97,3.11
Rico Garcia,Baltimore Orioles,0,14.7,0.61,0.3265,0.0816,2.66,3.86
Robert Suarez,Atlanta Braves,0,14.7,0.61,0.25,0.0357,1.64,3.61
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.64,3.79
Aroldis Chapman,Boston Red Sox,0,10.7,0.84,0.3171,0.0732,1.83,3.82
Chase Shugart,Philadelphia Phillies,0,10.7,0.84,0.2143,0.0476,3.79,4.17
José Soriano,Los Angeles Angels,7,42.7,0.84,0.3006,0.0982,2.88,3.28
Trey Yesavage,Toronto Blue Jays,2,9.3,0.96,0.225,0.075,2.17,3.93
Gordon Graceffo,St. Louis Cardinals,0,18.3,0.98,0.1493,0.1045,3.52,4.03
Jacob Latz,Texas Rangers,1,17.7,1.02,0.2419,0.0484,2.69,3.79
Dylan Lee,Atlanta Braves,0,16.7,1.08,0.3448,0.0345,1.5,3.49
Mason Miller,San Diego Padres,0,16.3,1.1,0.5517,0.0517,1.5,3.5
Graham Ashcraft,Cincinnati Reds,0,16.0,1.13,0.2698,0.1429,2.7,3.84
Bryan Hudson,Chicago White Sox,2,16.0,1.13,0.2899,0.1159,2.33,3.74
Huascar Brazobán,New York Mets,0,15.7,1.15,0.2203,0.0508,2.88,3.89
Eduard Bazardo,Seattle Mariners,0,15.0,1.2,0.1897,0.0862,2.67,3.86
Antonio Senzatela,Colorado Rockies,0,22.3,1.21,0.2439,0.0732,2.15,3.47
Justin Wrobleski,Los Angeles Dodgers,5,36.0,1.25,0.1049,0.0699,3.22,3.63
Tyler Phillips,Miami Marlins,0,21.3,1.27,0.2366,0.129,3.51,3.99
Matt Gage,San Francisco Giants,0,14.0,1.29,0.1607,0.1607,4.71,4.36
Kyle Hurt,Los Angeles Dodgers,0,7.0,1.29,0.36,0.0,1.5,3.93
Wilber Dotel,Pittsburgh Pirates,0,6.7,1.35,0.16,0.12,5.24,4.36
Jhoan Duran,Philadelphia Phillies,0,6.7,1.35,0.3333,0.0,1.5,3.94
Tim Hill,New York Yankees,0,13.0,1.38,0.0909,0.0455,3.98,4.19
Brooks Raley,New York Mets,0,12.7,1.42,0.3265,0.0816,2.59,3.9
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,3.64,4.19
Brant Hurter,Detroit Tigers,0,18.0,1.5,0.1765,0.0588,3.36,3.98
Cam Schlittler,New York Yankees,7,41.7,1.51,0.3141,0.0385,1.53,2.36
Alex Vesia,Los Angeles Dodgers,0,11.7,1.54,0.3333,0.1333,2.11,3.83
Yennier Cano,Baltimore Orioles,0,11.3,1.59,0.275,0.025,2.61,3.94
Ryan Fernandez,St. Louis Cardinals,0,5.7,1.59,0.3462,0.0769,1.5,3.99
Brent Headrick,New York Yankees,0,17.0,1.59,0.2329,0.0822,2.2,3.67
Gregory Soto,Pittsburgh Pirates,0,17.0,1.59,0.3651,0.0952,2.43,3.73
Clay Holmes,New York Mets,7,42.7,1.69,0.1845,0.0833,3.65,3.83
Nick Martinez,Tampa Bay Rays,6,37.0,1.7,0.1633,0.0612,3.62,3.86
Tyler Alexander,Texas Rangers,0,15.7,1.72,0.1791,0.0448,2.37,3.76
Jakob Junis,Texas Rangers,0,15.3,1.76,0.1034,0.069,3.53,4.07
Bradgley Rodriguez,San Diego Padres,0,15.3,1.76,0.1905,0.0794,2.55,3.82
Jake Bennett,Boston Red Sox,1,5.0,1.8,0.15,0.1,5.74,4.37
Griffin Canning,San Diego Padres,1,5.0,1.8,0.3684,0.1579,4.74,4.29
Colin Holderman,Cleveland Guardians,0,10.0,1.8,0.2051,0.0513,3.44,4.11
Tyler Kinley,Atlanta Braves,0,15.0,1.8,0.2581,0.1129,3.47,4.06
Ben Brown,Chicago Cubs,0,24.7,1.82,0.2396,0.0729,2.65,3.59
Jalen Beeks,Texas Rangers,0,14.7,1.84,0.2456,0.0526,3.62,4.09
Sam Moll,Cincinnati Reds,0,14.7,1.84,0.2222,0.1429,4.57,4.33
Bryce Elder,Atlanta Braves,7,43.0,1.88,0.2093,0.0756,3.11,3.44
DL Hall,Milwaukee Brewers,1,14.3,1.88,0.2787,0.1803,4.18,4.23
Tanner Scott,Los Angeles Dodgers,0,14.3,1.88,0.2885,0.0385,3.28,4.02
Davis Martin,Chicago White Sox,6,37.0,1.95,0.2292,0.0556,2.87,3.4
Spencer Arrighetti,Houston Astros,4,23.0,1.96,0.2475,0.1386,3.88,4.11
Daniel Lynch IV,Kansas City Royals,0,13.7,1.98,0.3529,0.0588,2.33,3.81
Jason Adam,San Diego Padres,0,9.0,2.0,0.1389,0.0556,4.47,4.28
Jacob deGrom,Texas Rangers,6,31.3,2.01,0.3252,0.0569,2.91,3.55
Brennan Bernardino,Colorado Rockies,2,13.3,2.03,0.2222,0.0556,3.21,4.02
Kody Funderburk,Minnesota Twins,0,13.3,2.03,0.1379,0.1724,5.61,4.55
Tobias Myers,New York Mets,1,22.0,2.05,0.1928,0.0482,3.41,3.94
Yohan Ramírez,Pittsburgh Pirates,0,21.7,2.08,0.2727,0.1136,3.05,3.82
Trevor Richards,Philadelphia Phillies,0,4.3,2.08,0.2632,0.1579,2.91,4.15
Austin Warren,New York Mets,0,4.3,2.08,0.2778,0.0556,4.52,4.27
Kyle Harrison,Milwaukee Brewers,6,29.7,2.12,0.2917,0.075,2.87,3.57
Orion Kerkering,Philadelphia Phillies,0,12.7,2.13,0.1667,0.1111,4.4,4.28
Joel Kuhnel,Athletics,0,12.7,2.13,0.102,0.0816,3.3,4.05
Luis Medina,Athletics,0,12.7,2.13,0.2037,0.1296,4.32,4.27
Chris Sale,Atlanta Braves,7,42.0,2.14,0.2988,0.0732,3.5,3.72
Riley Martin,Chicago Cubs,1,8.3,2.16,0.3226,0.0645,3.02,4.08
Burch Smith,Detroit Tigers,0,8.3,2.16,0.3143,0.0857,1.58,3.88
Chase Burns,Cincinnati Reds,7,41.0,2.2,0.2857,0.0807,3.43,3.69
Riley O'Brien,St. Louis Cardinals,0,16.3,2.2,0.2923,0.0154,1.5,3.5
Martín Pérez,Atlanta Braves,4,28.3,2.22,0.1696,0.0893,4.44,4.34
JT Brubaker,San Francisco Giants,0,16.0,2.25,0.1791,0.1343,4.14,4.22
Tyler Davis,Chicago White Sox,0,4.0,2.25,0.2308,0.1538,3.14,4.18
Dylan Dodd,Atlanta Braves,0,4.0,2.25,0.25,0.0625,1.89,4.09
Jake Eder,Los Angeles Dodgers,0,4.0,2.25,0.0667,0.0667,3.39,4.19
Mitch Farris,Los Angeles Angels,0,8.0,2.25,0.1818,0.1212,4.76,4.32
Julian Fernández,Washington Nationals,0,4.0,2.25,0.1667,0.1111,6.39,4.39
Hoby Milner,Chicago Cubs,0,16.0,2.25,0.0806,0.0645,5.26,4.52
Carlos Rodriguez,Milwaukee Brewers,0,4.0,2.25,0.2941,0.0,3.89,4.23
Foster Griffin,Washington Nationals,7,39.7,2.27,0.2025,0.0859,4.32,4.3
Jose A. Ferrer,Seattle Mariners,0,15.7,2.3,0.1644,0.0411,2.56,3.81
Juan Morillo,Arizona Diamondbacks,0,15.7,2.3,0.3115,0.0656,2.31,3.74
Nick Mears,Kansas City Royals,0,11.7,2.31,0.1915,0.1489,3.4,4.08
Jovani Morán,Boston Red Sox,0,19.3,2.33,0.2152,0.1392,4.59,4.36
Cooper Criswell,Seattle Mariners,0,15.3,2.35,0.25,0.0536,4.64,4.35
