Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2522,345,0.3399,0.2022,121
,Atlanta Braves,2496,344,0.3267,0.2067,111
,San Francisco Giants,2483,272,0.3096,0.2106,100
,Tampa Bay Rays,2378,283,0.3156,0.1909,102
,Pittsburgh Pirates,2595,333,0.3231,0.2347,107
,Milwaukee Brewers,2450,329,0.3177,0.2045,105
,Toronto Blue Jays,2466,272,0.306,0.191,96
,Boston Red Sox,2373,249,0.3056,0.2196,93
,Houston Astros,2533,307,0.3188,0.2163,105
,Colorado Rockies,2496,284,0.3094,0.2384,92
,Washington Nationals,2560,352,0.3228,0.2133,108
,Athletics,2495,273,0.3146,0.222,100
,Miami Marlins,2462,276,0.3076,0.223,96
,St. Louis Cardinals,2410,278,0.311,0.212,100
,Chicago White Sox,2485,310,0.3234,0.2406,108
,New York Yankees,2415,324,0.3312,0.2302,115
,Baltimore Orioles,2505,309,0.3162,0.2367,104
,Arizona Diamondbacks,2401,283,0.3034,0.2007,93
,Chicago Cubs,2586,303,0.3184,0.2127,106
,Kansas City Royals,2488,258,0.3022,0.2154,91
,Seattle Mariners,2501,278,0.3152,0.2311,105
,Minnesota Twins,2526,308,0.308,0.2284,96
,Texas Rangers,2419,262,0.3075,0.2278,97
,Detroit Tigers,2476,260,0.3065,0.2266,96
,Los Angeles Angels,2499,291,0.3089,0.2493,97
,Cleveland Guardians,2506,272,0.3043,0.2051,95
,Cincinnati Reds,2437,275,0.3103,0.2442,96
,New York Mets,2415,265,0.2902,0.2195,86
,Philadelphia Phillies,2412,262,0.3003,0.2264,91
,San Diego Padres,2317,241,0.2841,0.2335,81
