Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2882,396,0.3412,0.2037,120
,San Francisco Giants,2795,310,0.3152,0.2036,102
,Pittsburgh Pirates,2949,379,0.327,0.2357,108
,Tampa Bay Rays,2712,315,0.3143,0.1906,99
,Atlanta Braves,2764,366,0.3225,0.2084,106
,Milwaukee Brewers,2810,383,0.323,0.2078,107
,Colorado Rockies,2853,344,0.3197,0.2331,97
,Athletics,2899,345,0.3258,0.2218,107
,Toronto Blue Jays,2832,308,0.3069,0.1963,95
,Washington Nationals,2891,407,0.3239,0.21,107
,St. Louis Cardinals,2802,332,0.316,0.2066,102
,Kansas City Royals,2878,315,0.311,0.2099,96
,New York Yankees,2776,381,0.3353,0.228,116
,Miami Marlins,2810,324,0.3114,0.2221,97
,Boston Red Sox,2698,282,0.3053,0.2198,91
,Chicago Cubs,2987,360,0.3242,0.2106,108
,Houston Astros,2875,344,0.3178,0.2163,103
,Minnesota Twins,2877,363,0.3175,0.2235,102
,Baltimore Orioles,2877,349,0.3156,0.2377,101
,Chicago White Sox,2770,345,0.3212,0.2404,105
,Texas Rangers,2766,292,0.3079,0.226,96
,Arizona Diamondbacks,2745,312,0.3025,0.2,91
,Los Angeles Angels,2883,334,0.3116,0.2484,97
,Seattle Mariners,2860,320,0.3116,0.2262,101
,Detroit Tigers,2777,301,0.3099,0.2315,97
,New York Mets,2790,306,0.2945,0.2208,87
,Philadelphia Phillies,2782,308,0.2993,0.2326,88
,Cleveland Guardians,2808,298,0.3028,0.2105,92
,Cincinnati Reds,2777,311,0.3102,0.2445,94
,San Diego Padres,2660,280,0.2868,0.2308,81
