Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2443,331,0.3394,0.2014,121
,San Francisco Giants,2407,268,0.3129,0.209,102
,Atlanta Braves,2429,335,0.3287,0.2054,112
,Tampa Bay Rays,2307,279,0.3182,0.1877,104
,Pittsburgh Pirates,2521,328,0.3248,0.2344,108
,Boston Red Sox,2340,248,0.3071,0.2201,94
,Colorado Rockies,2426,279,0.311,0.2378,93
,Toronto Blue Jays,2394,260,0.3034,0.1921,94
,Milwaukee Brewers,2358,310,0.3115,0.207,100
,Washington Nationals,2490,345,0.3238,0.2133,109
,Houston Astros,2458,294,0.3179,0.2164,105
,Athletics,2417,266,0.3158,0.2205,101
,Arizona Diamondbacks,2334,277,0.3048,0.2027,94
,Baltimore Orioles,2434,301,0.3162,0.2346,104
,Miami Marlins,2393,268,0.3071,0.2215,96
,St. Louis Cardinals,2332,267,0.3095,0.2131,99
,New York Yankees,2380,318,0.3307,0.2294,114
,Chicago White Sox,2403,299,0.3222,0.2401,107
,Chicago Cubs,2507,299,0.3192,0.2122,106
,Minnesota Twins,2454,301,0.3097,0.229,98
,Detroit Tigers,2406,255,0.3083,0.2257,97
,Kansas City Royals,2410,249,0.3026,0.2137,92
,Seattle Mariners,2418,270,0.3148,0.2316,105
,Texas Rangers,2347,252,0.3055,0.2297,96
,Los Angeles Angels,2422,276,0.3081,0.2494,97
,Cleveland Guardians,2429,266,0.3053,0.2067,95
,Cincinnati Reds,2360,267,0.3099,0.2458,96
,Philadelphia Phillies,2335,250,0.2983,0.2236,89
,New York Mets,2337,256,0.2877,0.2195,84
,San Diego Padres,2249,235,0.2843,0.2348,81
