Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Bailey,Los Angeles Angels,0,4.0,0.0,0.1538,0.0,2.15,4.11
Tyler Danish,Chicago White Sox,1,5.0,0.0,0.2609,0.2609,4.35,4.26
Tyler Olson,Cleveland Indians,0,20.0,0.0,0.2338,0.0779,2.4,3.63
James Sherfy,Arizona Diamondbacks,0,10.7,0.0,0.2432,0.0541,2.02,3.85
Huston Street,Los Angeles Angels,0,4.0,0.0,0.2,0.0667,2.4,4.13
Austin Maddox,Boston Red Sox,0,17.3,0.52,0.209,0.0299,2.63,3.78
Ben Heller,New York Yankees,0,11.0,0.82,0.2093,0.1395,3.15,4.05
Zach Putnam,Chicago White Sox,0,8.7,1.04,0.3214,0.0357,1.5,3.85
Zac Curtis,Philadelphia Phillies,0,8.3,1.08,0.1667,0.0833,5.07,4.36
Jean Machi,Seattle Mariners,0,7.7,1.17,0.129,0.129,5.37,4.39
Akeel Morris,Atlanta Braves,0,7.3,1.23,0.2812,0.125,2.33,4.02
Kenley Jansen,Los Angeles Dodgers,0,68.3,1.32,0.4225,0.0271,1.5,1.5
Carson Smith,Boston Red Sox,0,6.7,1.35,0.2593,0.0741,1.95,3.99
Craig Kimbrel,Boston Red Sox,0,69.0,1.43,0.4961,0.0551,1.5,1.5
Andrew Miller,Cleveland Indians,0,62.7,1.44,0.3893,0.0861,1.98,1.98
Pat Neshek,Colorado Rockies,0,62.3,1.59,0.2936,0.0255,1.85,1.85
Matt Albers,Washington Nationals,0,61.0,1.62,0.2704,0.073,3.4,3.4
Felipe Vázquez,Pittsburgh Pirates,0,75.3,1.67,0.2933,0.0667,2.46,2.46
Víctor Arano,Philadelphia Phillies,0,10.7,1.69,0.3095,0.0952,1.84,3.82
Archie Bradley,Arizona Diamondbacks,0,73.0,1.73,0.2724,0.0724,2.6,2.6
Ryan Merritt,Cleveland Indians,4,20.7,1.74,0.0787,0.0449,3.05,3.84
Andrew Kittredge,Tampa Bay Rays,0,15.3,1.76,0.2121,0.0909,4.19,4.24
Corey Knebel,Milwaukee Brewers,0,76.0,1.78,0.4078,0.1294,2.52,2.52
Chad Green,New York Yankees,1,69.0,1.83,0.4071,0.0672,1.74,1.74
Ryan Madson,Washington Nationals,0,59.0,1.83,0.3059,0.0411,1.98,2.02
David Robertson,New York Yankees,0,68.3,1.84,0.3712,0.0871,2.56,2.56
Taylor Williams,Milwaukee Brewers,0,4.7,1.93,0.2,0.1,2.72,4.13
A.J. Schugel,Pittsburgh Pirates,0,32.0,1.97,0.1985,0.1029,3.99,4.11
Cory Gearrin,San Francisco Giants,0,68.0,1.99,0.2246,0.1228,3.88,3.88
Richard Bleier,Baltimore Orioles,0,63.3,1.99,0.0981,0.0491,4.37,4.37
Alan Busenitz,Minnesota Twins,0,31.7,1.99,0.1901,0.0744,4.19,4.22
Hoby Milner,Philadelphia Phillies,0,31.3,2.01,0.1583,0.1151,4.49,4.38
Steve Cishek,Tampa Bay Rays,0,44.7,2.01,0.2356,0.0805,3.33,3.56
Brandon Morrow,Los Angeles Dodgers,0,43.7,2.06,0.2941,0.0529,1.55,2.28
Josh Hader,Milwaukee Brewers,0,47.7,2.08,0.3617,0.117,3.02,3.28
Brad Hand,San Diego Padres,0,79.3,2.16,0.3344,0.0643,3.02,3.02
Corey Kluber,Cleveland Indians,29,203.7,2.25,0.3411,0.0463,2.49,2.49
Garrett Richards,Los Angeles Angels,6,27.7,2.28,0.25,0.0648,2.43,3.41
Ken Giles,Houston Astros,0,62.7,2.3,0.336,0.085,2.38,2.38
Wade Davis,Chicago Cubs,0,58.7,2.3,0.3264,0.1157,3.37,3.39
Nate Jones,Chicago White Sox,0,11.7,2.31,0.3061,0.1224,3.49,4.1
Clayton Kershaw,Los Angeles Dodgers,27,175.0,2.31,0.2975,0.0442,3.06,3.06
Anthony Swarzak,Milwaukee Brewers,0,77.3,2.33,0.3003,0.0726,2.74,2.74
Drew Steckenrider,Miami Marlins,0,34.7,2.34,0.3576,0.1192,3.09,3.58
Adam Warren,New York Yankees,0,57.3,2.35,0.2422,0.0673,3.01,3.06
Lucas Giolito,Chicago White Sox,7,45.3,2.38,0.1899,0.067,4.94,4.77
John Brebbia,St. Louis Cardinals,0,51.7,2.44,0.244,0.0526,4.12,4.14
Ryan Weber,Seattle Mariners,1,3.7,2.45,0.0,0.0,3.15,4.18
