Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Garrett Crochet,Chicago White Sox,0,6.0,0.0,0.3636,0.0,1.5,3.98
Joe Harvey,Colorado Rockies,0,3.3,0.0,0.1429,0.0,2.85,4.17
Alex McRae,Chicago White Sox,0,3.0,0.0,0.2,0.0,1.82,4.13
Mike Morin,Miami Marlins,0,4.0,0.0,0.1667,0.0833,2.9,4.16
Ryan Sherriff,Tampa Bay Rays,0,9.7,0.0,0.0588,0.0588,3.36,4.11
Pat Venditte,Miami Marlins,0,4.3,0.0,0.3333,0.0,2.23,4.1
Jacob Webb,Atlanta Braves,0,10.0,0.0,0.25,0.125,2.65,3.98
Mitch White,Los Angeles Dodgers,0,3.0,0.0,0.1818,0.0909,2.82,4.18
Devin Williams,Milwaukee Brewers,0,27.0,0.33,0.53,0.09,1.5,3.01
Jake Diekman,Oakland Athletics,0,21.3,0.42,0.369,0.1429,2.69,3.69
Jarlín García,San Francisco Giants,0,18.3,0.49,0.1918,0.0959,3.1,3.9
Jesse Hahn,Kansas City Royals,0,17.3,0.52,0.2923,0.1231,2.52,3.75
Tanner Houck,Boston Red Sox,3,17.0,0.53,0.3333,0.1429,3.21,3.96
Nick Anderson,Tampa Bay Rays,0,16.3,0.55,0.4483,0.0517,1.5,3.5
Yimi García,Miami Marlins,0,15.0,0.6,0.3167,0.0833,1.62,3.59
Erasmo Ramírez,New York Mets,0,14.3,0.63,0.1698,0.0755,3.64,4.1
Alex Colomé,Chicago White Sox,0,22.3,0.81,0.1778,0.0889,2.93,3.76
A.J. Minter,Atlanta Braves,0,21.7,0.83,0.2824,0.1059,2.79,3.72
Adam Kolarek,Los Angeles Dodgers,0,19.0,0.95,0.1806,0.0556,3.1,3.89
Aaron Bummer,Chicago White Sox,0,9.3,0.96,0.3684,0.1316,1.76,3.86
Chris Martin,Atlanta Braves,0,18.0,1.0,0.303,0.0455,2.32,3.67
Jesus Tinoco,Colorado Rockies,0,8.7,1.04,0.1875,0.2188,4.19,4.24
Matt Wisler,Minnesota Twins,4,25.3,1.07,0.3271,0.1308,3.31,3.85
Darren O'Day,Atlanta Braves,0,16.3,1.1,0.3284,0.0746,2.73,3.84
Nick Tropeano,Pittsburgh Pirates,0,15.7,1.15,0.2879,0.0606,2.52,3.8
Taylor Guilbeau,Seattle Mariners,0,7.7,1.17,0.0833,0.1667,4.72,4.31
Ben Braymer,Washington Nationals,1,7.3,1.23,0.2353,0.1471,3.02,4.1
James Hoyt,Miami Marlins,0,14.7,1.23,0.3226,0.129,3.15,3.98
Jordan Romano,Toronto Blue Jays,0,14.7,1.23,0.3684,0.0877,3.09,3.97
César Valdez,Baltimore Orioles,0,14.3,1.26,0.2264,0.0566,2.11,3.74
Miguel Yajure,New York Yankees,0,7.0,1.29,0.2759,0.1724,5.3,4.37
Tanner Scott,Baltimore Orioles,0,20.7,1.31,0.2674,0.1163,3.44,3.97
Victor González,Los Angeles Dodgers,1,20.3,1.33,0.2875,0.025,1.63,3.36
Sean Reid-Foley,Toronto Blue Jays,0,6.7,1.35,0.2,0.2,4.05,4.23
Jose Alvarez,Philadelphia Phillies,0,6.3,1.42,0.2222,0.1111,2.68,4.08
Drew Pomeranz,San Diego Padres,0,18.7,1.45,0.3973,0.137,2.35,3.66
Riley Smith,Arizona Diamondbacks,0,18.3,1.47,0.2571,0.0714,2.72,3.78
Rafael Dolis,Toronto Blue Jays,0,24.0,1.5,0.31,0.14,2.99,3.75
Patrick Murphy,Toronto Blue Jays,0,6.0,1.5,0.2,0.08,2.49,4.07
Codi Heuer,Chicago White Sox,0,23.7,1.52,0.2717,0.0978,2.73,3.65
Jeremy Jeffress,Chicago Cubs,0,23.3,1.54,0.1932,0.1364,4.05,4.17
Eric Yardley,Milwaukee Brewers,0,23.3,1.54,0.1959,0.1031,4.05,4.17
Kyle Zimmer,Kansas City Royals,1,23.0,1.57,0.2857,0.1099,2.33,3.51
Kyle Cody,Texas Rangers,5,22.7,1.59,0.1957,0.1413,3.86,4.1
Kyle Crick,Pittsburgh Pirates,0,5.7,1.59,0.2414,0.1379,2.8,4.11
T.J. Zeuch,Toronto Blue Jays,1,11.3,1.59,0.0638,0.0851,4.83,4.36
Kwang Hyun Kim,St. Louis Cardinals,7,39.0,1.62,0.1558,0.0779,3.85,3.99
Shane Bieber,Cleveland Indians,12,77.3,1.63,0.4108,0.0707,2.03,2.03
Diego Castillo,Tampa Bay Rays,0,21.7,1.66,0.2584,0.1236,4.49,4.34
Bryan Garcia,Detroit Tigers,0,21.7,1.66,0.129,0.1075,3.57,4.0
Yusmeiro Petit,Oakland Athletics,0,21.7,1.66,0.1932,0.0568,4.08,4.19
Trevor Bauer,Cincinnati Reds,11,73.0,1.73,0.3597,0.0612,2.84,2.84
Edwin Díaz,New York Mets,0,25.7,1.75,0.4545,0.1273,2.14,3.35
Liam Hendriks,Oakland Athletics,0,25.3,1.78,0.4022,0.0326,1.5,3.09
Shawn Armstrong,Baltimore Orioles,0,15.0,1.8,0.2456,0.0526,2.95,3.93
John Curtiss,Tampa Bay Rays,3,25.0,1.8,0.2525,0.0303,3.31,3.86
Sam Freeman,Washington Nationals,0,5.0,1.8,0.24,0.28,4.95,4.31
Joe Kelly,Los Angeles Dodgers,1,10.0,1.8,0.2143,0.1667,3.45,4.12
Branden Kline,Baltimore Orioles,0,5.0,1.8,0.35,0.15,2.15,4.08
Keury Mella,Arizona Diamondbacks,0,10.0,1.8,0.2381,0.0714,3.35,4.1
J.B. Wendelken,Oakland Athletics,0,25.0,1.8,0.2925,0.1038,3.03,3.74
Brett Martin,Texas Rangers,0,14.7,1.84,0.1311,0.1475,5.68,4.6
Austin Gomber,St. Louis Cardinals,4,29.0,1.86,0.2269,0.1261,3.5,3.89
Tyler Duffey,Minnesota Twins,0,24.0,1.88,0.337,0.0652,2.53,3.56
Zack Britton,New York Yankees,0,19.0,1.89,0.2105,0.0921,2.58,3.72
Trevor Rosenthal,San Diego Padres,0,23.7,1.9,0.4176,0.0879,2.18,3.43
Andre Scrubb,Houston Astros,0,23.7,1.9,0.2353,0.1961,4.21,4.23
Greg Holland,Kansas City Royals,0,28.3,1.91,0.2768,0.0625,2.48,3.42
Carl Edwards Jr.,Seattle Mariners,0,4.7,1.93,0.3529,0.0588,1.5,4.04
Rob Kaminsky,St. Louis Cardinals,0,4.7,1.93,0.1429,0.0952,3.15,4.16
Kodi Whitley,St. Louis Cardinals,0,4.7,1.93,0.2941,0.0588,4.44,4.26
Ian Anderson,Atlanta Braves,6,32.3,1.95,0.2971,0.1014,2.5,3.31
Dallas Keuchel,Chicago White Sox,11,63.3,1.99,0.1634,0.0661,3.04,3.04
Brandon Leibrandt,Miami Marlins,0,9.0,2.0,0.0833,0.1944,4.82,4.34
Oliver Pérez,Cleveland Indians,0,18.0,2.0,0.1944,0.0833,3.1,3.9
Yu Darvish,Chicago Cubs,12,76.0,2.01,0.3131,0.0471,2.19,2.19
Brad Hand,Cleveland Indians,0,22.0,2.05,0.3372,0.0465,1.5,3.24
Roberto Osuna,Houston Astros,0,4.3,2.08,0.1875,0.0,1.77,4.07
Josh Sborz,Los Angeles Dodgers,0,4.3,2.08,0.125,0.0625,5.92,4.37
Domingo Tapia,Boston Red Sox,0,4.3,2.08,0.2105,0.1053,5.69,4.35
Tyler Webb,St. Louis Cardinals,0,21.7,2.08,0.2184,0.0805,3.57,4.0
Dinelson Lamet,San Diego Padres,12,69.0,2.09,0.3483,0.0749,2.44,2.44
Mike Mayers,Los Angeles Angels,0,30.0,2.1,0.3554,0.0744,2.15,3.2
Corbin Burnes,Milwaukee Brewers,9,59.7,2.11,0.3667,0.1,2.0,2.01
Joely Rodríguez,Texas Rangers,0,12.7,2.13,0.3269,0.0962,1.65,3.7
Richard Bleier,Miami Marlins,0,16.7,2.16,0.1642,0.0597,2.73,3.83
Darwinzon Hernández,Boston Red Sox,0,8.3,2.16,0.325,0.2,3.27,4.11
Clayton Kershaw,Los Angeles Dodgers,10,58.3,2.16,0.2805,0.0362,3.27,3.3
Blake Taylor,Houston Astros,0,20.7,2.18,0.1954,0.1379,4.51,4.34
Matt Foster,Chicago White Sox,2,28.7,2.2,0.2844,0.0826,2.84,3.58
Brandon Kintzler,Miami Marlins,0,24.3,2.22,0.1386,0.1089,4.96,4.54
Demarcus Evans,Texas Rangers,0,4.0,2.25,0.2857,0.0,5.15,4.31
Max Fried,Atlanta Braves,11,56.0,2.25,0.2232,0.0848,3.06,3.14
Andrew Kittredge,Tampa Bay Rays,1,8.0,2.25,0.0968,0.0645,3.15,4.1
Cal Quantrill,Cleveland Indians,3,32.0,2.25,0.2296,0.0593,3.87,4.05
José Ruiz,Chicago White Sox,0,4.0,2.25,0.3571,0.0,3.9,4.23
Burch Smith,Oakland Athletics,0,12.0,2.25,0.2955,0.0227,2.32,3.86
Caleb Thielbar,Minnesota Twins,0,20.0,2.25,0.2683,0.1098,2.3,3.6
Zach Plesac,Cleveland Indians,8,55.3,2.28,0.2767,0.0291,3.35,3.42
Chris Bassitt,Oakland Athletics,11,63.0,2.29,0.2107,0.0651,3.55,3.55
Grant Dayton,Atlanta Braves,0,27.3,2.3,0.2735,0.094,4.03,4.15
