Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,2014,281,0.3295,0.209,115
,Tampa Bay Rays,1870,236,0.3184,0.1866,106
,Los Angeles Dodgers,1974,262,0.3359,0.2072,120
,Pittsburgh Pirates,2051,252,0.3163,0.235,104
,Athletics,1972,227,0.3174,0.2226,104
,Milwaukee Brewers,1882,245,0.3105,0.2003,101
,San Francisco Giants,1921,187,0.293,0.2129,89
,Houston Astros,2001,225,0.3155,0.2129,105
,Arizona Diamondbacks,1850,225,0.3088,0.2043,99
,Colorado Rockies,1943,214,0.3045,0.245,90
,Washington Nationals,2073,286,0.3213,0.2171,108
,Miami Marlins,1973,227,0.3068,0.2195,97
,Toronto Blue Jays,1940,213,0.2985,0.1912,92
,St. Louis Cardinals,1947,231,0.3142,0.209,104
,Boston Red Sox,1915,189,0.2997,0.224,91
,Minnesota Twins,1979,242,0.3139,0.2269,102
,Chicago Cubs,2032,248,0.3195,0.2126,108
,Texas Rangers,1879,198,0.3078,0.2272,99
,Kansas City Royals,1941,199,0.3023,0.2179,93
,Baltimore Orioles,1917,222,0.3113,0.2473,102
,New York Yankees,1959,252,0.3282,0.2374,114
,Detroit Tigers,1950,200,0.3046,0.2323,96
,Chicago White Sox,1938,230,0.3162,0.2461,105
,Philadelphia Phillies,1951,212,0.2993,0.2225,92
,Cincinnati Reds,1955,227,0.3088,0.2389,97
,New York Mets,1938,206,0.2843,0.2136,83
,Cleveland Guardians,2029,229,0.3062,0.1996,98
,Los Angeles Angels,1964,210,0.3055,0.2536,96
,Seattle Mariners,1988,212,0.3043,0.2374,99
,San Diego Padres,1822,207,0.2902,0.23,87
