Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,2.27,4.1
Matt Brash,Seattle Mariners,0,11.3,0.0,0.2105,0.0526,2.51,3.92
Gavin Collyer,Texas Rangers,0,7.3,0.0,0.2414,0.1034,3.67,4.18
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.13,4.18
Brandyn Garcia,Arizona Diamondbacks,0,3.0,0.0,0.4444,0.0,1.5,4.11
Peyton Gray,Texas Rangers,0,6.0,0.0,0.1852,0.1852,3.96,4.22
Brenan Hanifee,Detroit Tigers,0,6.7,0.0,0.16,0.04,2.38,4.04
Tim Herrin,Cleveland Guardians,0,10.3,0.0,0.1087,0.1304,4.19,4.24
Raisel Iglesias,Atlanta Braves,0,9.7,0.0,0.3714,0.0286,1.5,3.81
Ty Madden,Detroit Tigers,0,5.0,0.0,0.35,0.0,1.5,4.02
Daniel Palencia,Chicago Cubs,0,6.0,0.0,0.2174,0.087,2.46,4.07
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,1.5,4.1
Tyler Samaniego,Boston Red Sox,0,11.0,0.0,0.1778,0.1111,3.31,4.08
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.93,4.12
Louis Varland,Toronto Blue Jays,0,17.7,0.51,0.4328,0.0746,1.5,3.44
Kyle Finnegan,Detroit Tigers,0,16.7,0.54,0.197,0.1515,4.15,4.22
Rico Garcia,Baltimore Orioles,0,16.0,0.56,0.3333,0.0926,2.63,3.82
John King,Miami Marlins,0,15.7,0.57,0.25,0.0893,3.51,4.06
Robert Suarez,Atlanta Braves,0,15.7,0.57,0.2712,0.0339,1.5,3.53
Aroldis Chapman,Boston Red Sox,0,11.7,0.77,0.3182,0.0682,1.76,3.77
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.63,3.78
Chase Shugart,Philadelphia Phillies,0,10.7,0.84,0.2143,0.0476,3.78,4.17
Trey Yesavage,Toronto Blue Jays,2,9.3,0.96,0.225,0.075,2.16,3.93
Shohei Ohtani,Los Angeles Dodgers,6,37.0,0.97,0.2897,0.0621,2.53,3.19
Graham Ashcraft,Cincinnati Reds,0,17.7,1.02,0.2676,0.169,3.01,3.89
Jacob Latz,Texas Rangers,1,17.7,1.02,0.2419,0.0484,2.68,3.79
Dylan Lee,Atlanta Braves,0,17.7,1.02,0.377,0.0328,1.5,3.44
Bryan Hudson,Chicago White Sox,2,17.0,1.06,0.2778,0.1111,2.36,3.72
Huascar Brazobán,New York Mets,1,16.7,1.08,0.2063,0.0476,3.07,3.92
Mason Miller,San Diego Padres,0,16.3,1.1,0.5517,0.0517,1.5,3.5
Kyle Hurt,Los Angeles Dodgers,0,8.0,1.13,0.3793,0.0345,1.5,3.88
Caleb Kilian,San Francisco Giants,0,16.0,1.13,0.2812,0.125,4.19,4.23
Eduard Bazardo,Seattle Mariners,0,15.7,1.15,0.1967,0.082,2.55,3.81
Antonio Senzatela,Colorado Rockies,0,22.3,1.21,0.2439,0.0732,2.14,3.47
Justin Wrobleski,Los Angeles Dodgers,5,36.0,1.25,0.1049,0.0699,3.21,3.63
Tim Hill,New York Yankees,0,14.3,1.26,0.1176,0.0392,3.62,4.1
Tyler Phillips,Miami Marlins,0,21.3,1.27,0.2366,0.129,3.5,3.98
Matt Gage,San Francisco Giants,0,14.0,1.29,0.1607,0.1607,4.7,4.35
Trevor McDonald,San Francisco Giants,1,7.0,1.29,0.3333,0.0,3.13,4.12
Wilber Dotel,Pittsburgh Pirates,0,6.7,1.35,0.16,0.12,5.23,4.36
Brooks Raley,New York Mets,0,12.7,1.42,0.3265,0.0816,2.58,3.9
Alex Vesia,Los Angeles Dodgers,0,12.7,1.42,0.3333,0.125,2.02,3.78
Austin Warren,New York Mets,0,6.3,1.42,0.32,0.04,3.13,4.13
Brent Headrick,New York Yankees,0,18.3,1.47,0.2597,0.0779,1.93,3.54
Yennier Cano,Baltimore Orioles,0,12.0,1.5,0.2558,0.0233,2.63,3.93
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,3.63,4.19
Colin Holderman,Cleveland Guardians,0,12.0,1.5,0.2444,0.0444,2.88,3.98
Brant Hurter,Detroit Tigers,0,18.0,1.5,0.1765,0.0588,3.35,3.98
Cam Schlittler,New York Yankees,8,47.3,1.52,0.2928,0.0497,1.73,2.26
Ryan Fernandez,St. Louis Cardinals,0,5.7,1.59,0.3462,0.0769,1.5,3.99
Gregory Soto,Pittsburgh Pirates,0,17.0,1.59,0.3651,0.0952,2.42,3.73
Bradgley Rodriguez,San Diego Padres,0,16.7,1.62,0.1791,0.0746,2.59,3.79
Tyler Rogers,Toronto Blue Jays,0,16.7,1.62,0.1493,0.0597,2.65,3.8
Davis Martin,Chicago White Sox,7,44.0,1.64,0.2544,0.0473,2.45,2.93
Tyler Davis,Chicago White Sox,0,5.3,1.69,0.2353,0.1176,2.75,4.12
DL Hall,Milwaukee Brewers,1,16.0,1.69,0.2836,0.1642,3.82,4.13
Clay Holmes,New York Mets,7,42.7,1.69,0.1845,0.0833,3.64,3.82
Nick Martinez,Tampa Bay Rays,7,42.0,1.71,0.1667,0.0595,3.44,3.68
José Soriano,Los Angeles Angels,8,46.7,1.74,0.2903,0.1022,3.43,3.61
Burch Smith,Detroit Tigers,0,10.3,1.74,0.3571,0.0714,1.5,3.78
Jalen Beeks,Texas Rangers,0,15.3,1.76,0.2295,0.0656,3.78,4.13
Jakob Junis,Texas Rangers,0,15.3,1.76,0.1034,0.069,3.52,4.06
Jason Adam,San Diego Padres,0,10.0,1.8,0.1282,0.0513,4.33,4.26
Jake Bennett,Boston Red Sox,1,5.0,1.8,0.15,0.1,5.73,4.37
Griffin Canning,San Diego Padres,1,5.0,1.8,0.3684,0.1579,4.73,4.29
Daniel Lynch IV,Kansas City Royals,0,14.7,1.84,0.3273,0.0727,2.58,3.84
Sam Moll,Cincinnati Reds,0,14.7,1.84,0.2188,0.1406,4.56,4.33
Brennan Bernardino,Colorado Rockies,2,14.3,1.88,0.2105,0.0526,3.2,4.0
Tanner Scott,Los Angeles Dodgers,0,14.3,1.88,0.2885,0.0385,3.27,4.02
José Fermin,Los Angeles Angels,0,4.7,1.93,0.3333,0.0,4.63,4.28
Gordon Graceffo,St. Louis Cardinals,0,18.7,1.93,0.1408,0.0986,4.2,4.23
Spencer Arrighetti,Houston Astros,4,23.0,1.96,0.2475,0.1386,3.87,4.1
Jose A. Ferrer,Seattle Mariners,0,18.0,2.0,0.1852,0.037,2.29,3.66
Bryce Elder,Atlanta Braves,8,49.0,2.02,0.2308,0.0821,3.19,3.38
Kody Funderburk,Minnesota Twins,0,13.3,2.03,0.1379,0.1724,5.6,4.55
Payton Tolle,Boston Red Sox,3,17.7,2.04,0.3433,0.0896,2.45,3.72
Tobias Myers,New York Mets,1,22.0,2.05,0.1928,0.0482,3.4,3.94
Trevor Richards,Philadelphia Phillies,0,4.3,2.08,0.2632,0.1579,2.9,4.15
Evan Sisk,Pittsburgh Pirates,0,13.0,2.08,0.2909,0.0727,2.28,3.82
Ben Brown,Chicago Cubs,0,25.7,2.1,0.2376,0.0792,2.7,3.59
Riley O'Brien,St. Louis Cardinals,0,17.0,2.12,0.2836,0.0149,1.5,3.47
Kyle Harrison,Milwaukee Brewers,6,29.7,2.12,0.2917,0.075,2.86,3.56
Orion Kerkering,Philadelphia Phillies,0,12.7,2.13,0.1667,0.1111,4.39,4.28
Joel Kuhnel,Athletics,0,12.7,2.13,0.102,0.0816,3.29,4.05
Nick Mears,Kansas City Royals,0,12.7,2.13,0.2,0.14,3.21,4.03
Luis Medina,Athletics,0,12.7,2.13,0.2037,0.1296,4.31,4.26
Chris Sale,Atlanta Braves,7,42.0,2.14,0.2988,0.0732,3.49,3.71
Tyler Alexander,Texas Rangers,0,16.7,2.16,0.1667,0.0556,3.37,4.0
Riley Martin,Chicago Cubs,1,8.3,2.16,0.3226,0.0645,3.01,4.08
Hoby Milner,Chicago Cubs,0,16.7,2.16,0.0769,0.0769,5.35,4.55
Chase Burns,Cincinnati Reds,7,41.0,2.2,0.2857,0.0807,3.42,3.68
Martín Pérez,Atlanta Braves,4,28.3,2.22,0.1696,0.0893,4.43,4.34
Dylan Dodd,Atlanta Braves,0,4.0,2.25,0.25,0.0625,1.88,4.09
Jake Eder,Los Angeles Dodgers,0,4.0,2.25,0.0667,0.0667,3.38,4.19
Mitch Farris,Los Angeles Angels,0,12.0,2.25,0.1765,0.0784,3.71,4.14
Julian Fernández,Washington Nationals,0,4.0,2.25,0.1667,0.1111,6.38,4.39
Orlando Ribalta,Washington Nationals,0,4.0,2.25,0.2,0.1333,3.13,4.18
Carlos Rodriguez,Milwaukee Brewers,0,4.0,2.25,0.2941,0.0,3.88,4.23
Foster Griffin,Washington Nationals,7,39.7,2.27,0.2025,0.0859,4.31,4.29
Juan Morillo,Arizona Diamondbacks,0,15.7,2.3,0.3115,0.0656,2.3,3.74
Cooper Criswell,Seattle Mariners,0,15.3,2.35,0.25,0.0536,4.63,4.35
Jhoan Duran,Philadelphia Phillies,0,7.7,2.35,0.3226,0.0968,1.69,3.92
Kai-Wei Teng,Houston Astros,1,23.0,2.35,0.2472,0.0787,3.82,4.09
Will Warren,New York Yankees,7,37.7,2.39,0.3026,0.0526,2.78,3.33
Max Fried,New York Yankees,8,52.7,2.39,0.2139,0.0746,2.71,2.9
Shota Imanaga,Chicago Cubs,7,41.3,2.4,0.2704,0.0629,2.72,3.19
Parker Messick,Cleveland Guardians,7,41.3,2.4,0.2821,0.0641,3.06,3.43
Peter Lambert,Houston Astros,4,22.3,2.42,0.2473,0.1183,2.81,3.72
Cristopher Sánchez,Philadelphia Phillies,8,48.3,2.42,0.2871,0.067,2.38,2.75
Zach Eflin,Baltimore Orioles,1,3.7,2.45,0.4118,0.1176,4.49,4.26
Brian Fitzpatrick,Milwaukee Brewers,0,3.7,2.45,0.1111,0.1111,3.67,4.21
Cade Horton,Chicago Cubs,2,7.3,2.45,0.1538,0.0769,4.63,4.3
Erik Sabrowski,Cleveland Guardians,0,14.7,2.45,0.4211,0.1053,1.97,3.69
Zack Wheeler,Philadelphia Phillies,2,11.0,2.45,0.3256,0.1163,1.95,3.83
Keaton Winn,San Francisco Giants,0,14.7,2.45,0.2407,0.0926,2.38,3.79
Eduardo Rodriguez,Arizona Diamondbacks,7,39.7,2.5,0.1716,0.1124,4.41,4.36
Lake Bachar,Miami Marlins,0,18.0,2.5,0.2857,0.1,3.52,4.03
Richard Lovelady,Washington Nationals,0,14.3,2.51,0.2,0.1385,4.1,4.22
Michael McGreevy,St. Louis Cardinals,7,39.3,2.52,0.1633,0.0544,4.17,4.2
Ryan Helsley,Baltimore Orioles,0,10.7,2.53,0.3261,0.1522,2.28,3.9
Noah Schultz,Chicago White Sox,4,21.3,2.53,0.2353,0.1412,3.55,4.0
Tyler Glasnow,Los Angeles Dodgers,6,38.7,2.56,0.3264,0.0903,3.05,3.48
Aaron Ashby,Milwaukee Brewers,1,21.0,2.57,0.3696,0.1413,2.37,3.59
Emerson Hancock,Seattle Mariners,7,41.7,2.59,0.2893,0.0377,3.68,3.85
Eli Morgan,Kansas City Royals,0,10.3,2.61,0.2,0.1333,5.64,4.49
Bryan Baker,Tampa Bay Rays,0,13.7,2.63,0.283,0.0566,2.54,3.86
Fernando Cruz,New York Yankees,0,13.7,2.63,0.3226,0.1613,4.74,4.36
Joe Mantiply,Toronto Blue Jays,0,13.7,2.63,0.2807,0.0526,2.62,3.88
JT Brubaker,San Francisco Giants,0,17.0,2.65,0.1757,0.1486,4.3,4.27
Max Meyer,Miami Marlins,7,37.0,2.68,0.2597,0.0844,2.97,3.46
Seth Lugo,Kansas City Royals,7,43.7,2.68,0.2126,0.0747,2.62,3.07
Garrett Acton,Minnesota Twins,0,6.7,2.7,0.3214,0.1071,2.23,4.03
Nolan Hoffman,Philadelphia Phillies,0,3.3,2.7,0.1333,0.0667,2.83,4.17
Jack Perkins,Athletics,0,13.3,2.7,0.3091,0.0545,1.7,3.68
Tarik Skubal,Detroit Tigers,7,43.3,2.7,0.2711,0.0361,2.14,2.72
Grant Taylor,Chicago White Sox,4,16.7,2.7,0.3425,0.0822,1.5,3.49
Sean Burke,Chicago White Sox,5,39.7,2.72,0.2051,0.0513,3.18,3.54
Cole Sulser,Tampa Bay Rays,1,19.7,2.75,0.1765,0.0941,3.48,4.0
Taylor Clarke,Arizona Diamondbacks,0,16.3,2.76,0.127,0.0317,3.68,4.09
Paxton Schultz,Washington Nationals,0,13.0,2.77,0.2143,0.0357,3.97,4.19
Ranger Suarez,Boston Red Sox,7,39.0,2.77,0.2162,0.0676,3.26,3.6
Tyler Kinley,Atlanta Braves,0,16.0,2.81,0.2687,0.1194,4.19,4.23
Janson Junk,Miami Marlins,7,38.3,2.82,0.1742,0.0516,3.44,3.73
Jacob Misiorowski,Milwaukee Brewers,7,38.0,2.84,0.3806,0.0968,2.97,3.44
Mitch Keller,Pittsburgh Pirates,7,41.0,2.85,0.1902,0.0736,2.88,3.32
Taj Bradley,Minnesota Twins,8,47.0,2.87,0.2613,0.0854,3.51,3.67
