Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Andrew Alvarez,Washington Nationals,0,4.3,0.0,0.3125,0.0,1.5,4.05
Matt Brash,Seattle Mariners,0,9.3,0.0,0.1562,0.0625,2.69,4.01
Gavin Collyer,Texas Rangers,0,3.3,0.0,0.2,0.2,5.82,4.34
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,3.12,4.17
Tim Herrin,Cleveland Guardians,0,5.7,0.0,0.1071,0.1429,4.7,4.29
Raisel Iglesias,Atlanta Braves,0,8.7,0.0,0.3548,0.0323,1.5,3.85
Corbin Martin,Chicago Cubs,0,4.0,0.0,0.1429,0.0714,2.87,4.16
Mason Miller,San Diego Padres,0,12.3,0.0,0.6585,0.0488,1.5,3.68
Riley O'Brien,St. Louis Cardinals,0,13.3,0.0,0.3333,0.0,1.5,3.64
Daniel Palencia,Chicago Cubs,0,5.0,0.0,0.2632,0.1053,2.32,4.09
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,1.5,4.1
Ryan Rolison,Chicago Cubs,0,4.0,0.0,0.0769,0.0,2.62,4.14
Tyler Samaniego,Boston Red Sox,0,6.7,0.0,0.3077,0.1538,2.52,4.06
Justin Slaten,Boston Red Sox,0,3.3,0.0,0.3571,0.1429,1.92,4.12
Louis Varland,Toronto Blue Jays,0,13.0,0.0,0.413,0.0652,1.5,3.65
José Soriano,Los Angeles Angels,6,37.7,0.24,0.3071,0.0929,2.21,2.97
Shohei Ohtani,Los Angeles Dodgers,4,24.0,0.38,0.2717,0.0652,1.91,3.31
Antonio Senzatela,Colorado Rockies,0,18.0,0.5,0.2812,0.0625,1.78,3.51
Tyler Phillips,Miami Marlins,0,15.0,0.6,0.2857,0.1429,2.72,3.87
Gordon Graceffo,St. Louis Cardinals,0,13.7,0.66,0.16,0.12,3.48,4.08
Tyler Alexander,Texas Rangers,0,13.3,0.68,0.2222,0.0556,2.22,3.8
Kyle Finnegan,Detroit Tigers,0,12.7,0.71,0.1837,0.1633,4.62,4.33
Brock Burke,Cincinnati Reds,0,12.3,0.73,0.2857,0.0816,2.06,3.8
Bradgley Rodriguez,San Diego Padres,0,12.3,0.73,0.2449,0.0612,1.9,3.77
Tyler Rogers,Toronto Blue Jays,0,12.3,0.73,0.1,0.08,3.28,4.05
Rico Garcia,Baltimore Orioles,0,12.0,0.75,0.3171,0.0976,3.03,4.01
Caleb Kilian,San Francisco Giants,0,12.0,0.75,0.2979,0.1489,3.87,4.17
Dylan Lee,Atlanta Braves,0,12.0,0.75,0.2558,0.0465,1.78,3.76
Dennis Santana,Pittsburgh Pirates,0,12.0,0.75,0.2,0.1111,3.12,4.02
Robert Suarez,Atlanta Braves,0,11.7,0.77,0.2667,0.0444,1.57,3.73
Huascar Brazobán,New York Mets,0,11.3,0.79,0.2222,0.0444,3.03,4.02
Brennan Bernardino,Colorado Rockies,1,11.0,0.82,0.2273,0.0682,2.39,3.91
John King,Miami Marlins,0,11.0,0.82,0.2857,0.119,4.03,4.21
Tyler Kinley,Atlanta Braves,0,11.0,0.82,0.2381,0.119,2.93,4.01
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,1.62,3.78
Tim Hill,New York Yankees,0,10.0,0.9,0.0909,0.0,2.52,3.96
Daniel Lynch IV,Kansas City Royals,0,9.3,0.96,0.3714,0.0857,1.62,3.84
Seth Lugo,Kansas City Royals,5,31.3,1.15,0.2414,0.0862,2.29,3.22
Aroldis Chapman,Boston Red Sox,0,7.7,1.17,0.2667,0.1,2.59,4.04
Isaac Mattson,Pittsburgh Pirates,0,14.7,1.23,0.1803,0.1148,3.05,3.96
Jacob Latz,Texas Rangers,1,13.7,1.32,0.2449,0.0612,2.97,3.96
Jhoan Duran,Philadelphia Phillies,0,6.7,1.35,0.3333,0.0,1.5,3.94
Chase Shugart,Philadelphia Phillies,0,6.7,1.35,0.2069,0.069,5.07,4.34
Graham Ashcraft,Cincinnati Reds,0,13.0,1.38,0.2745,0.1373,2.58,3.89
Anthony Nunez,Baltimore Orioles,0,12.3,1.46,0.3261,0.0435,3.28,4.05
Bryce Elder,Atlanta Braves,5,30.0,1.5,0.2458,0.0763,3.15,3.7
Jimmy Herget,Colorado Rockies,3,12.0,1.5,0.2391,0.0435,2.03,3.81
Payton Tolle,Boston Red Sox,1,6.0,1.5,0.5,0.0455,2.12,4.04
Bryan Hudson,Chicago White Sox,1,11.7,1.54,0.283,0.1509,2.86,3.98
Garrett Acton,Minnesota Twins,0,5.7,1.59,0.3043,0.1304,2.76,4.11
Eduard Bazardo,Seattle Mariners,0,11.0,1.64,0.2045,0.1136,2.84,3.99
Jalen Beeks,Texas Rangers,0,11.0,1.64,0.25,0.0682,3.12,4.04
Cooper Criswell,Seattle Mariners,0,11.0,1.64,0.225,0.075,4.66,4.33
Sam Moll,Cincinnati Reds,0,11.0,1.64,0.1915,0.1489,4.21,4.24
Kai-Wei Teng,Houston Astros,0,16.3,1.65,0.2623,0.0984,3.85,4.14
Andrew Hoffmann,Arizona Diamondbacks,0,10.3,1.74,0.2558,0.1395,5.54,4.47
Parker Messick,Cleveland Guardians,5,30.7,1.76,0.2566,0.0708,2.53,3.37
Cam Schlittler,New York Yankees,6,35.7,1.77,0.3083,0.0301,1.52,2.63
Matt Gage,San Francisco Giants,0,10.0,1.8,0.1842,0.1316,4.52,4.29
Blade Tidwell,San Francisco Giants,0,10.0,1.8,0.2222,0.0556,3.72,4.16
Justin Wrobleski,Los Angeles Dodgers,3,24.0,1.88,0.0978,0.0543,2.99,3.75
Randy Vásquez,San Diego Padres,5,28.7,1.88,0.2632,0.0702,2.52,3.43
Jason Adam,San Diego Padres,0,4.7,1.93,0.1053,0.0526,3.54,4.2
Braydon Fisher,Toronto Blue Jays,1,14.0,1.93,0.2549,0.0784,3.26,4.02
Alex Vesia,Los Angeles Dodgers,0,9.3,1.93,0.3056,0.1111,2.04,3.91
Kody Funderburk,Minnesota Twins,0,9.0,2.0,0.1905,0.1667,5.78,4.48
Garrett Whitlock,Boston Red Sox,0,9.0,2.0,0.3243,0.1351,3.56,4.15
Davis Martin,Chicago White Sox,5,31.3,2.01,0.2203,0.0593,3.05,3.62
Yennier Cano,Baltimore Orioles,0,8.7,2.08,0.2812,0.0312,2.89,4.05
Mitch Farris,Los Angeles Angels,0,4.3,2.08,0.1579,0.1053,6.12,4.38
Brent Headrick,New York Yankees,0,13.0,2.08,0.2373,0.0847,2.12,3.79
Brooks Raley,New York Mets,0,8.7,2.08,0.2778,0.1111,3.69,4.17
Clay Holmes,New York Mets,5,30.0,2.1,0.1583,0.0833,4.25,4.25
Nick Martinez,Tampa Bay Rays,5,30.0,2.1,0.1639,0.0656,3.88,4.07
Dylan Cease,Toronto Blue Jays,5,25.7,2.1,0.3964,0.1261,1.5,3.07
Brent Suter,Los Angeles Angels,1,17.0,2.12,0.2615,0.1077,3.88,4.15
Juan Morillo,Arizona Diamondbacks,0,12.7,2.13,0.28,0.08,2.88,3.96
Gregory Soto,Pittsburgh Pirates,0,12.7,2.13,0.38,0.12,2.8,3.94
Jacob deGrom,Texas Rangers,5,25.3,2.13,0.3465,0.0693,3.23,3.82
Riley Martin,Chicago Cubs,1,8.3,2.16,0.3226,0.0645,3.0,4.08
Yohan Ramírez,Pittsburgh Pirates,0,16.7,2.16,0.2464,0.1304,3.66,4.09
Shota Imanaga,Chicago Cubs,5,29.0,2.17,0.2963,0.0556,2.87,3.59
Jakob Junis,Texas Rangers,0,12.3,2.19,0.125,0.0833,3.6,4.12
Hoby Milner,Chicago Cubs,0,12.3,2.19,0.0612,0.0816,5.14,4.43
Cade Povich,Baltimore Orioles,1,12.3,2.19,0.1458,0.0625,3.76,4.15
Dylan Dodd,Atlanta Braves,0,4.0,2.25,0.25,0.0625,1.87,4.09
Julian Fernández,Washington Nationals,0,4.0,2.25,0.1667,0.1111,6.37,4.39
Jovani Morán,Boston Red Sox,0,16.0,2.25,0.2462,0.1385,4.43,4.3
Connor Phillips,Cincinnati Reds,0,16.0,2.25,0.2113,0.1972,5.05,4.46
Carlos Rodriguez,Milwaukee Brewers,0,4.0,2.25,0.2941,0.0,3.87,4.22
JoJo Romero,St. Louis Cardinals,0,12.0,2.25,0.125,0.0833,4.45,4.29
Bryan Woo,Seattle Mariners,5,32.0,2.25,0.2114,0.0488,2.24,3.18
Michael King,San Diego Padres,5,27.7,2.28,0.2321,0.125,3.66,3.98
Landen Roupp,San Francisco Giants,5,27.7,2.28,0.2818,0.1091,2.39,3.39
Kyle Freeland,Colorado Rockies,3,15.7,2.3,0.194,0.0597,3.82,4.14
DL Hall,Milwaukee Brewers,1,11.7,2.31,0.2745,0.1961,4.66,4.33
Wandy Peralta,San Diego Padres,0,11.7,2.31,0.2245,0.0612,4.23,4.25
Tony Santillan,Cincinnati Reds,0,11.7,2.31,0.2889,0.1333,4.66,4.33
Hogan Harris,Athletics,0,15.3,2.35,0.2174,0.1739,4.55,4.33
