Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2813,390,0.3418,0.2041,121
,San Francisco Giants,2729,299,0.314,0.2056,101
,Tampa Bay Rays,2643,311,0.3173,0.1899,102
,Milwaukee Brewers,2715,371,0.3227,0.2055,107
,Atlanta Braves,2692,361,0.3239,0.2073,107
,Athletics,2787,331,0.3273,0.2199,108
,Colorado Rockies,2784,333,0.3185,0.2353,97
,Pittsburgh Pirates,2860,361,0.3235,0.2364,106
,Toronto Blue Jays,2715,297,0.3086,0.1959,96
,Washington Nationals,2846,402,0.3243,0.2108,107
,Boston Red Sox,2608,278,0.3064,0.2209,92
,St. Louis Cardinals,2693,324,0.3163,0.2094,102
,New York Yankees,2684,369,0.3336,0.2284,115
,Miami Marlins,2756,312,0.3088,0.2221,95
,Baltimore Orioles,2775,343,0.319,0.235,104
,Houston Astros,2807,336,0.3175,0.2177,103
,Kansas City Royals,2781,292,0.3047,0.2136,92
,Chicago Cubs,2866,336,0.3209,0.2139,106
,Chicago White Sox,2676,334,0.3214,0.2388,105
,Minnesota Twins,2796,344,0.3141,0.2257,99
,Texas Rangers,2698,287,0.3075,0.2257,96
,Arizona Diamondbacks,2674,304,0.3029,0.2019,91
,Los Angeles Angels,2775,326,0.3117,0.2479,98
,Seattle Mariners,2760,311,0.3131,0.225,102
,Detroit Tigers,2720,298,0.3127,0.2298,99
,Cleveland Guardians,2712,289,0.3033,0.2065,92
,New York Mets,2685,289,0.2915,0.2223,85
,Philadelphia Phillies,2699,300,0.3006,0.2308,90
,Cincinnati Reds,2724,309,0.3117,0.243,96
,San Diego Padres,2595,272,0.2855,0.2304,81
