Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Robby Ahlstrom,Texas Rangers,0,3.3,0.0,0.1818,0.0,8.46,1.9,4.12
Logan Allen,Cleveland Guardians,0,4.0,0.0,0.3684,0.0526,8.96,1.5,4.07
Tanner Andrews,Toronto Blue Jays,0,3.0,0.0,0.0909,0.1818,8.51,4.44,4.26
Mason Barnett,Athletics,0,6.0,0.0,0.3478,0.1739,8.22,2.44,4.07
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.77,4.13
Cam Booser,Tampa Bay Rays,0,3.0,0.0,0.3636,0.0909,8.51,1.5,4.11
Carlos Cortes,Athletics,0,2.0,0.0,0.0,0.2222,8.66,6.1,4.31
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.82,4.16
Nick Davila,Seattle Mariners,0,7.3,0.0,0.1379,0.2069,8.17,4.47,4.28
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.1,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.25,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.1,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.1,4.17
Caleb Ferguson,Cincinnati Reds,0,7.3,0.0,0.2963,0.037,8.17,1.5,3.91
Alec Gamboa,Boston Red Sox,0,1.0,0.0,0.6667,0.0,8.65,1.5,4.2
Joey Gerber,New York Mets,0,3.0,0.0,0.4167,0.0833,8.66,1.5,4.11
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.93,4.13
Josh Hader,Houston Astros,0,2.0,0.0,0.5714,0.1429,8.51,1.5,4.16
Sam Haggerty,Texas Rangers,0,1.0,0.0,0.0,0.0,8.65,6.1,4.28
Welinton Herrera,Colorado Rockies,0,2.3,0.0,0.2,0.1,8.76,2.68,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Tommy Kahnle,Boston Red Sox,0,2.0,0.0,0.1111,0.2222,8.81,5.1,4.28
William Kempner,Miami Marlins,0,4.7,0.0,0.2941,0.0,8.57,1.5,4.04
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.25,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.73,4.18
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.1,4.23
Zach McCambley,Cincinnati Reds,0,3.0,0.0,0.2857,0.1429,8.66,3.44,4.21
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.6,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
A.J. Minter,New York Mets,0,5.3,0.0,0.2857,0.0476,8.62,1.5,4.01
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
Samy Natera Jr.,Los Angeles Angels,0,2.0,0.0,0.4286,0.1429,8.51,1.6,4.16
Jonathan Pintaro,New York Mets,0,3.7,0.0,0.25,0.0833,8.26,2.29,4.13
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.6,4.19
Drew Rom,Milwaukee Brewers,0,1.0,0.0,0.5,0.0,8.8,1.5,4.2
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,2.0,0.0,0.1429,0.0,8.66,2.1,4.18
Dylan Smith,San Francisco Giants,0,2.7,0.0,0.3333,0.1111,8.41,1.98,4.15
Drew Sommers,Detroit Tigers,0,3.0,0.0,0.4167,0.1667,8.36,2.77,4.18
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.6,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
Logan VanWey,Houston Astros,0,3.0,0.0,0.5,0.0,8.51,1.5,4.11
Vince Velasquez,Chicago Cubs,0,2.3,0.0,0.125,0.0,8.61,2.25,4.17
Cameron Weston,Baltimore Orioles,0,1.0,0.0,0.3333,0.3333,8.65,4.1,4.25
Tyler Zuber,Miami Marlins,0,1.3,0.0,0.3333,0.1667,8.75,2.35,4.21
Louis Varland,Toronto Blue Jays,0,34.7,0.26,0.3409,0.0682,7.32,1.5,2.66
Aroldis Chapman,Boston Red Sox,0,19.7,0.46,0.3377,0.1169,7.27,1.99,3.51
Matt Brash,Seattle Mariners,0,16.0,0.56,0.2333,0.0833,7.65,2.67,3.83
Robert Suarez,Atlanta Braves,0,28.7,0.63,0.2315,0.0463,7.45,2.34,3.34
Brandyn Garcia,Arizona Diamondbacks,0,13.0,0.69,0.2391,0.0435,8.09,2.33,3.84
Shohei Ohtani,Los Angeles Dodgers,10,61.0,0.74,0.2876,0.0773,4.43,2.42,2.42
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,7.99,1.6,3.78
Raisel Iglesias,Atlanta Braves,0,20.7,0.87,0.3038,0.0506,8.17,1.5,3.3
Rico Garcia,Baltimore Orioles,0,27.0,1.0,0.3229,0.0938,6.04,2.77,3.58
Mason Miller,San Diego Padres,0,26.7,1.01,0.4904,0.1154,6.69,1.5,3.03
Wilber Dotel,Pittsburgh Pirates,0,16.7,1.08,0.2787,0.082,7.41,2.74,3.83
Alimber Santa,Houston Astros,0,8.0,1.13,0.2759,0.1379,7.78,2.6,4.03
Dylan Lee,Atlanta Braves,0,30.7,1.17,0.3423,0.045,6.4,1.54,2.86
Kendry Rojas,Minnesota Twins,1,14.3,1.26,0.2295,0.1639,8.35,3.45,4.06
Evan Sisk,Pittsburgh Pirates,0,28.0,1.29,0.3063,0.0901,7.69,2.53,3.45
Jhoan Duran,Philadelphia Phillies,0,20.7,1.31,0.4286,0.0649,7.57,1.5,3.3
Bryce Miller,Seattle Mariners,4,27.0,1.33,0.2929,0.0505,7.24,2.47,3.45
Brian Fitzpatrick,Milwaukee Brewers,0,6.7,1.35,0.1667,0.1,8.87,2.95,4.11
Dylan Dodd,Atlanta Braves,0,12.7,1.42,0.3404,0.0426,7.99,2.08,3.79
Yuki Matsui,San Diego Padres,0,18.7,1.45,0.2778,0.125,7.41,3.96,4.16
Cristopher Sánchez,Philadelphia Phillies,13,86.3,1.46,0.2951,0.0487,8.03,1.8,1.8
Brooks Raley,New York Mets,0,24.3,1.48,0.2816,0.1068,7.93,3.39,3.9
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,8.37,3.6,4.19
Jacob Misiorowski,Milwaukee Brewers,13,78.0,1.5,0.3841,0.0728,4.73,1.91,1.91
José A. Ferrer,Seattle Mariners,0,29.0,1.55,0.2016,0.0484,9.05,2.76,3.53
Orlando Ribalta,Washington Nationals,0,17.3,1.56,0.194,0.1045,7.76,2.82,3.84
Kyle Harrison,Milwaukee Brewers,11,57.3,1.57,0.3188,0.0699,6.84,2.46,2.54
Chase Silseth,Los Angeles Angels,0,22.7,1.59,0.2323,0.1515,8.03,3.77,4.07
Jason Adam,San Diego Padres,0,22.0,1.64,0.1429,0.0549,8.72,4.51,4.35
Adam Macko,Toronto Blue Jays,1,11.0,1.64,0.2444,0.0222,8.84,2.83,3.99
Taylor Clarke,Arizona Diamondbacks,0,27.0,1.67,0.1386,0.0396,7.09,3.22,3.78
Gordon Graceffo,St. Louis Cardinals,0,32.3,1.67,0.1322,0.0909,6.76,4.53,4.4
Yerry De los Santos,New York Yankees,0,5.3,1.69,0.2857,0.1429,8.62,4.98,4.31
Josh Ekness,Miami Marlins,0,5.3,1.69,0.2273,0.2273,8.32,4.04,4.23
Jakob Junis,Texas Rangers,1,26.7,1.69,0.1667,0.049,7.29,2.62,3.52
Trent Thornton,Chicago Cubs,0,16.0,1.69,0.0968,0.1129,7.95,5.29,4.53
Daniel Lynch IV,Kansas City Royals,0,26.3,1.71,0.271,0.0748,7.49,2.53,3.5
Erik Sabrowski,Cleveland Guardians,0,21.0,1.71,0.4699,0.1566,6.77,1.87,3.42
Ben Brown,Chicago Cubs,6,57.0,1.74,0.2636,0.0727,5.54,2.24,2.34
Troy Melton,Detroit Tigers,3,20.7,1.74,0.1139,0.0759,7.57,3.73,4.07
Brent Headrick,New York Yankees,0,30.3,1.78,0.2636,0.093,8.55,2.91,3.57
Paul Gervase,Los Angeles Dodgers,0,5.0,1.8,0.2381,0.0952,8.82,2.3,4.09
Bradgley Rodriguez,San Diego Padres,2,29.7,1.82,0.2231,0.0744,7.9,2.63,3.45
Mason Black,Kansas City Royals,0,9.7,1.86,0.2439,0.0732,8.88,3.31,4.1
Ryan Fernandez,St. Louis Cardinals,0,9.7,1.86,0.3953,0.1163,8.58,2.48,3.97
Jacob Latz,Texas Rangers,1,29.0,1.86,0.2736,0.0566,6.35,2.62,3.46
Cam Schlittler,New York Yankees,14,82.0,1.87,0.2808,0.0442,6.26,2.12,2.12
Grant Taylor,Chicago White Sox,4,32.7,1.93,0.3788,0.0682,7.76,1.5,2.75
Spencer Arrighetti,Houston Astros,9,51.0,1.94,0.212,0.1244,6.27,4.18,4.19
Fernando Cruz,New York Yankees,0,27.7,1.95,0.2895,0.1228,7.59,3.39,3.85
Colin Holderman,Cleveland Guardians,0,23.0,1.96,0.3103,0.069,7.23,2.1,3.43
Ethan Roberts,Chicago Cubs,0,18.3,1.96,0.1944,0.0972,8.06,3.76,4.1
Antonio Senzatela,Colorado Rockies,0,36.3,1.98,0.2143,0.0714,7.22,3.08,3.54
Gerrit Cole,New York Yankees,3,18.0,2.0,0.2059,0.0588,7.96,4.38,4.29
Austin Warren,New York Mets,1,22.3,2.01,0.2527,0.0989,7.92,3.55,3.99
DL Hall,Milwaukee Brewers,1,31.0,2.03,0.254,0.1905,6.35,3.88,4.06
Joe Mantiply,Toronto Blue Jays,0,17.7,2.04,0.2254,0.0563,8.61,2.88,3.85
Chase Burns,Cincinnati Reds,12,70.3,2.05,0.2967,0.0769,5.89,3.36,3.36
Sam Hentges,San Francisco Giants,0,8.7,2.08,0.2381,0.2619,8.28,4.6,4.3
Tyler Phillips,Miami Marlins,2,43.3,2.08,0.1905,0.1164,7.99,3.63,3.81
Tyler Rogers,Toronto Blue Jays,0,30.0,2.1,0.1513,0.084,7.55,2.9,3.58
Sam Bachman,Los Angeles Angels,0,29.7,2.12,0.2689,0.1176,7.0,3.44,3.85
Eduard Bazardo,Seattle Mariners,0,29.7,2.12,0.2097,0.0806,8.8,3.34,3.8
Kyle Finnegan,Detroit Tigers,0,29.7,2.12,0.1371,0.1613,8.2,4.86,4.55
Bryan Baker,Tampa Bay Rays,0,25.3,2.13,0.2843,0.1078,7.33,2.63,3.57
Riley Martin,Chicago Cubs,1,8.3,2.16,0.3226,0.0645,8.33,2.98,4.07
Gabe Speier,Seattle Mariners,0,16.7,2.16,0.2394,0.0845,8.61,3.28,3.98
Huascar Brazobán,New York Mets,6,33.0,2.18,0.197,0.1136,6.81,3.77,3.99
Cal Quantrill,Texas Rangers,0,24.7,2.19,0.17,0.09,8.03,3.59,3.98
Chase Shugart,Philadelphia Phillies,0,20.3,2.21,0.2911,0.0633,7.92,3.94,4.15
Orion Kerkering,Philadelphia Phillies,0,24.3,2.22,0.2571,0.1048,8.08,3.43,3.92
Jacob Webb,Chicago Cubs,0,28.3,2.22,0.2833,0.0833,8.54,3.14,3.73
Chris Sale,Atlanta Braves,12,72.7,2.23,0.2925,0.0646,6.94,2.88,2.88
Jake Eder,Los Angeles Dodgers,0,4.0,2.25,0.0667,0.0667,8.66,3.35,4.19
Julian Fernández,Washington Nationals,0,4.0,2.25,0.1667,0.1111,8.66,6.35,4.39
Chad Patrick,Milwaukee Brewers,6,51.7,2.26,0.1893,0.0971,7.37,3.26,3.4
Casey Mize,Detroit Tigers,9,47.7,2.27,0.2649,0.0649,6.91,2.41,2.79
Payton Tolle,Boston Red Sox,8,47.3,2.28,0.2727,0.0695,6.81,2.66,3.0
Nick Martinez,Tampa Bay Rays,12,70.7,2.29,0.1443,0.0447,9.04,3.66,3.66
Daniel Palencia,Chicago Cubs,0,15.7,2.3,0.25,0.0625,8.75,3.49,4.05
John King,Miami Marlins,1,27.3,2.3,0.198,0.0792,6.29,4.38,4.31
Zack Wheeler,Philadelphia Phillies,8,50.7,2.31,0.254,0.0635,5.87,3.52,3.63
Aaron Ashby,Milwaukee Brewers,1,38.3,2.35,0.3252,0.1166,7.98,2.32,3.02
Sean Newcomb,Chicago White Sox,0,38.3,2.35,0.2318,0.0596,7.53,2.71,3.27
Jared Shuster,St. Louis Cardinals,0,7.7,2.35,0.0625,0.0938,8.58,3.76,4.19
Tanner Scott,Los Angeles Dodgers,0,26.7,2.36,0.3131,0.0303,7.44,3.07,3.72
Wandy Peralta,San Diego Padres,0,30.3,2.37,0.1562,0.1094,8.55,4.65,4.45
Joel Peguero,San Francisco Giants,0,11.3,2.38,0.1042,0.0833,8.64,3.81,4.17
Clay Holmes,New York Mets,9,52.7,2.39,0.2093,0.0837,7.08,3.22,3.34
Hogan Harris,Athletics,0,30.0,2.4,0.2482,0.1606,7.85,4.1,4.18
Bryan Hudson,Chicago White Sox,3,30.0,2.4,0.2171,0.1008,8.45,2.84,3.54
Parker Messick,Cleveland Guardians,13,75.0,2.4,0.2644,0.0746,6.96,3.33,3.33
Keaton Winn,San Francisco Giants,0,30.0,2.4,0.2212,0.0796,7.1,3.2,3.73
Didier Fuentes,Atlanta Braves,1,26.0,2.42,0.2804,0.0841,7.84,2.57,3.52
Sam Aldegheri,Los Angeles Angels,1,11.0,2.45,0.1458,0.1042,8.69,4.38,4.27
Carlos Carrasco,Atlanta Braves,0,7.3,2.45,0.1379,0.0,8.62,4.2,4.24
Chad Dallas,Toronto Blue Jays,0,3.7,2.45,0.1333,0.1333,8.56,3.65,4.21
Zach Eflin,Baltimore Orioles,1,3.7,2.45,0.4118,0.1176,8.86,4.47,4.26
Cade Horton,Chicago Cubs,2,7.3,2.45,0.1538,0.0769,8.32,4.6,4.29
Gage Jump,Athletics,3,18.3,2.45,0.1781,0.0685,8.36,2.83,3.82
Will Klein,Los Angeles Dodgers,1,25.7,2.45,0.2523,0.0841,8.49,2.68,3.58
Brad Lord,Washington Nationals,0,40.3,2.45,0.2061,0.0606,7.38,3.75,3.91
Juan Morillo,Arizona Diamondbacks,0,25.7,2.45,0.3056,0.1019,7.59,2.56,3.53
Luke Weaver,New York Mets,0,29.0,2.48,0.2328,0.069,7.55,3.07,3.68
Ryan Rolison,Chicago Cubs,0,21.7,2.49,0.2414,0.1264,8.02,4.49,4.34
Christian Scott,New York Mets,8,36.0,2.5,0.2628,0.1154,7.87,3.1,3.56
Eduardo Rodriguez,Arizona Diamondbacks,13,78.7,2.52,0.1776,0.0841,7.55,3.84,3.84
Yennier Cano,Baltimore Orioles,0,21.3,2.53,0.1975,0.0494,7.77,2.92,3.78
Ryan Helsley,Baltimore Orioles,0,10.7,2.53,0.3261,0.1522,8.29,2.26,3.9
Ryan Thompson,Arizona Diamondbacks,0,21.3,2.53,0.1573,0.0787,8.52,4.14,4.21
Braydon Fisher,Toronto Blue Jays,4,35.3,2.55,0.2761,0.097,6.77,3.39,3.74
Seth Halvorsen,Colorado Rockies,0,14.0,2.57,0.2188,0.1562,8.55,3.25,4.02
Kyle Hurt,Los Angeles Dodgers,0,21.0,2.57,0.3253,0.0843,7.82,2.29,3.57
Kevin Kelly,Tampa Bay Rays,0,28.0,2.57,0.2039,0.0583,7.39,3.28,3.8
Ty Madden,Detroit Tigers,1,17.3,2.6,0.2676,0.0563,8.36,3.28,3.97
Davis Martin,Chicago White Sox,12,72.3,2.61,0.2535,0.059,7.84,2.45,2.45
Justin Wrobleski,Los Angeles Dodgers,10,68.7,2.62,0.1606,0.0511,7.21,3.28,3.28
Matt Gage,San Francisco Giants,0,24.0,2.63,0.1863,0.1275,7.98,4.77,4.46
Bryan King,Houston Astros,0,27.3,2.63,0.178,0.0932,8.54,3.58,3.94
Tyler Samaniego,Boston Red Sox,1,20.3,2.66,0.1889,0.0889,9.12,3.55,4.01
Bryce Elder,Atlanta Braves,14,84.7,2.66,0.2076,0.0731,6.8,3.46,3.46
Yoshinobu Yamamoto,Los Angeles Dodgers,12,77.3,2.68,0.2466,0.0507,6.52,3.43,3.43
Walbert Ureña,Los Angeles Angels,9,50.3,2.68,0.2202,0.1284,7.27,4.02,4.06
Garrett Acton,Minnesota Twins,0,6.7,2.7,0.3214,0.1071,8.42,2.2,4.02
Tarik Skubal,Detroit Tigers,7,43.3,2.7,0.2711,0.0361,7.69,2.11,2.71
Tyler Glasnow,Los Angeles Dodgers,7,39.7,2.72,0.3311,0.0878,5.98,3.26,3.59
Logan Henderson,Milwaukee Brewers,5,23.0,2.74,0.3333,0.0667,8.13,2.41,3.54
J.T. Ginn,Athletics,11,65.7,2.74,0.229,0.1031,6.03,4.08,4.08
Hunter Dobbins,St. Louis Cardinals,1,13.0,2.77,0.2642,0.1321,8.39,3.57,4.1
Jack Dreyer,Los Angeles Dodgers,0,26.0,2.77,0.2673,0.0594,7.69,3.33,3.85
Luis Medina,Athletics,1,26.0,2.77,0.2523,0.1081,8.29,3.45,3.9
Emerson Hancock,Seattle Mariners,12,70.7,2.8,0.2583,0.0554,6.62,3.73,3.73
Max Meyer,Miami Marlins,13,73.7,2.81,0.2691,0.0897,6.11,3.05,3.05
Cade Smith,Cleveland Guardians,0,28.7,2.83,0.3739,0.0435,8.5,1.5,2.94
Paul Skenes,Pittsburgh Pirates,13,70.0,2.83,0.295,0.0468,6.43,2.6,2.6
Kevin Ginkel,Arizona Diamondbacks,0,25.3,2.84,0.2929,0.0606,7.93,2.55,3.53
Brant Hurter,Detroit Tigers,0,25.3,2.84,0.1782,0.1188,7.33,3.74,4.03
John Schreiber,Kansas City Royals,0,25.3,2.84,0.1538,0.1058,8.23,5.31,4.7
Shane McClanahan,Tampa Bay Rays,12,60.0,2.85,0.2389,0.085,6.75,2.94,2.94
Gregory Soto,Pittsburgh Pirates,0,28.3,2.86,0.3063,0.1081,6.59,2.65,3.49
Carlos Rodón,New York Yankees,5,25.0,2.88,0.2596,0.1538,7.23,3.5,3.94
Paul Blackburn,New York Yankees,1,28.0,2.89,0.1652,0.0957,8.44,3.5,3.9
Tim Herrin,Cleveland Guardians,0,21.7,2.91,0.1939,0.1429,8.17,4.3,4.27
Alex Vesia,Los Angeles Dodgers,0,21.7,2.91,0.3409,0.1364,7.27,2.0,3.44
Mitch Farris,Los Angeles Angels,0,24.7,2.92,0.2358,0.1038,8.93,5.05,4.58
Edgardo Henriquez,Los Angeles Dodgers,0,24.7,2.92,0.2525,0.0909,7.43,3.06,3.76
Sam Moll,Cincinnati Reds,0,27.3,2.96,0.2458,0.1186,7.64,4.38,4.31
José Soriano,Los Angeles Angels,14,82.0,2.96,0.2551,0.1173,6.8,3.98,3.98
Michael McGreevy,St. Louis Cardinals,13,72.3,2.99,0.1719,0.0596,7.59,4.25,4.25
Tyler Alexander,Texas Rangers,1,27.0,3.0,0.1795,0.0684,9.19,3.62,3.97
JT Brubaker,San Francisco Giants,0,33.0,3.0,0.1679,0.1241,8.01,4.04,4.14
Enyel De Los Santos,Houston Astros,0,27.0,3.0,0.2523,0.0467,7.84,2.14,3.3
Jonathan Loáisiga,Arizona Diamondbacks,0,24.0,3.0,0.1633,0.0714,8.58,3.31,3.87
Jovani Morán,Boston Red Sox,3,33.0,3.0,0.2836,0.1119,6.96,4.23,4.24
Steven Okert,Houston Astros,1,30.0,3.0,0.2222,0.0855,7.1,3.87,4.06
Alan Rangel,Philadelphia Phillies,0,3.0,3.0,0.4167,0.0,8.81,1.5,4.11
