Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2413,330,0.3409,0.2002,122
,Atlanta Braves,2390,329,0.3282,0.2046,112
,Pittsburgh Pirates,2488,325,0.327,0.2347,110
,San Francisco Giants,2358,250,0.3074,0.2095,98
,Tampa Bay Rays,2263,273,0.3169,0.1887,103
,Boston Red Sox,2305,243,0.3077,0.22,95
,Milwaukee Brewers,2312,301,0.3121,0.2063,101
,Toronto Blue Jays,2360,257,0.304,0.1928,95
,Colorado Rockies,2380,272,0.3108,0.2391,93
,Athletics,2382,265,0.3165,0.2196,102
,Houston Astros,2425,289,0.3177,0.214,105
,Miami Marlins,2363,268,0.31,0.2184,98
,Washington Nationals,2438,331,0.3197,0.2149,106
,Arizona Diamondbacks,2299,276,0.3063,0.2027,95
,New York Yankees,2343,315,0.3306,0.2309,114
,Baltimore Orioles,2389,288,0.3148,0.2352,103
,St. Louis Cardinals,2286,257,0.3075,0.213,98
,Chicago Cubs,2468,296,0.319,0.2127,106
,Chicago White Sox,2364,293,0.3212,0.2415,107
,Minnesota Twins,2420,296,0.3093,0.2298,98
,Kansas City Royals,2374,246,0.3026,0.2152,92
,Texas Rangers,2317,249,0.3061,0.23,96
,Detroit Tigers,2371,248,0.3073,0.2248,97
,Seattle Mariners,2377,267,0.314,0.2318,105
,Los Angeles Angels,2389,276,0.3103,0.247,98
,Cleveland Guardians,2393,264,0.3058,0.2052,96
,Cincinnati Reds,2322,264,0.3102,0.2468,96
,New York Mets,2302,251,0.287,0.2194,83
,Philadelphia Phillies,2297,242,0.2966,0.2242,88
,San Diego Padres,2217,235,0.2866,0.2359,83
