Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2882,396,0.3412,0.2037,120
,San Francisco Giants,2795,310,0.3152,0.2036,102
,Milwaukee Brewers,2769,381,0.3236,0.2062,107
,Pittsburgh Pirates,2949,379,0.327,0.2357,108
,Tampa Bay Rays,2712,315,0.3143,0.1906,99
,Atlanta Braves,2764,366,0.3225,0.2084,106
,Colorado Rockies,2853,344,0.3197,0.2331,98
,Athletics,2863,340,0.3258,0.2228,107
,Toronto Blue Jays,2764,302,0.3073,0.1965,95
,Washington Nationals,2891,407,0.3239,0.21,107
,New York Yankees,2745,380,0.3362,0.227,116
,Miami Marlins,2810,324,0.3114,0.2221,97
,St. Louis Cardinals,2754,326,0.3151,0.2073,102
,Boston Red Sox,2666,279,0.306,0.2202,92
,Kansas City Royals,2834,301,0.3077,0.2114,94
,Houston Astros,2875,344,0.3178,0.2163,103
,Baltimore Orioles,2844,349,0.3174,0.2366,103
,Minnesota Twins,2835,354,0.3162,0.224,101
,Chicago Cubs,2932,344,0.3214,0.2132,106
,Chicago White Sox,2735,340,0.3216,0.2395,105
,Texas Rangers,2726,289,0.3067,0.2256,95
,Los Angeles Angels,2849,334,0.313,0.2475,98
,Arizona Diamondbacks,2745,312,0.3025,0.2,91
,Seattle Mariners,2829,317,0.3129,0.2252,102
,Detroit Tigers,2777,301,0.3099,0.2315,97
,New York Mets,2749,300,0.2934,0.2208,86
,Philadelphia Phillies,2744,304,0.2995,0.2321,89
,Cleveland Guardians,2766,294,0.3015,0.2104,91
,Cincinnati Reds,2777,311,0.3102,0.2445,95
,San Diego Padres,2660,280,0.2868,0.2308,81
