Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2926,402,0.3419,0.2051,120
,San Francisco Giants,2832,313,0.3149,0.2027,102
,Tampa Bay Rays,2745,320,0.315,0.1894,100
,Milwaukee Brewers,2850,385,0.323,0.2074,106
,Pittsburgh Pirates,2984,382,0.3263,0.2359,107
,Atlanta Braves,2796,369,0.3219,0.2096,105
,Colorado Rockies,2888,348,0.3204,0.231,98
,Athletics,2946,357,0.3286,0.2217,108
,Toronto Blue Jays,2832,308,0.3069,0.1963,95
,Kansas City Royals,2913,321,0.3117,0.2084,96
,St. Louis Cardinals,2838,337,0.316,0.2044,102
,Washington Nationals,2923,409,0.323,0.2101,106
,Miami Marlins,2847,328,0.3121,0.222,98
,New York Yankees,2816,387,0.336,0.2273,116
,Boston Red Sox,2733,288,0.3054,0.221,91
,Houston Astros,2914,353,0.3196,0.2172,104
,Chicago Cubs,2987,360,0.3242,0.2106,108
,Minnesota Twins,2916,368,0.3184,0.2226,102
,Texas Rangers,2808,301,0.3097,0.2244,97
,Baltimore Orioles,2911,354,0.3153,0.2384,101
,Arizona Diamondbacks,2786,321,0.3041,0.1999,92
,Chicago White Sox,2821,349,0.3207,0.2407,104
,Los Angeles Angels,2927,345,0.3137,0.2487,99
,Seattle Mariners,2893,322,0.3102,0.2264,100
,New York Mets,2790,306,0.2945,0.2208,87
,Detroit Tigers,2818,305,0.309,0.2321,96
,Philadelphia Phillies,2782,308,0.2993,0.2326,88
,Cleveland Guardians,2842,301,0.3022,0.2132,91
,Cincinnati Reds,2816,311,0.3083,0.2486,93
,San Diego Padres,2700,287,0.2879,0.2311,82
