Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Mason Barnett,Athletics,0,2.0,0.0,0.1111,0.2222,8.66,5.1,4.28
Tristan Beck,San Francisco Giants,0,3.0,0.0,0.0909,0.0,8.66,2.43,4.16
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.77,4.13
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,9.17,2.24,4.09
Matt Brash,Seattle Mariners,0,12.3,0.0,0.2381,0.0476,7.59,2.21,3.83
Carlos Carrasco,Atlanta Braves,0,2.3,0.0,0.25,0.0,8.61,1.5,4.14
Gerrit Cole,New York Yankees,1,5.0,0.0,0.0526,0.1579,8.37,4.5,4.27
Carlos Cortes,Athletics,0,1.0,0.0,0.0,0.2,8.8,6.1,4.28
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.81,4.16
Nick Davila,Seattle Mariners,0,6.3,0.0,0.125,0.1667,8.32,4.05,4.23
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.1,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.24,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.1,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.1,4.17
Alec Gamboa,Boston Red Sox,0,1.0,0.0,0.6667,0.0,8.65,1.5,4.2
Joey Gerber,New York Mets,0,2.0,0.0,0.5556,0.1111,8.81,1.5,4.16
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.92,4.12
Ryan Gusto,Miami Marlins,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Austin Hedges,Cleveland Guardians,0,0.3,0.0,0.0,0.0,8.75,3.1,4.24
Sam Hentges,San Francisco Giants,0,4.7,0.0,0.2632,0.2105,8.27,3.53,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Raisel Iglesias,Atlanta Braves,0,14.7,0.0,0.3396,0.0566,7.85,1.5,3.58
William Kempner,Miami Marlins,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.24,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.73,4.18
Adam Macko,Toronto Blue Jays,0,3.0,0.0,0.2727,0.0,8.66,1.5,4.11
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.1,4.23
Yuki Matsui,San Diego Padres,0,10.0,0.0,0.3077,0.1538,8.08,2.5,3.96
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.6,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.6,4.26
Nate Pearson,Houston Astros,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.6,4.19
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Justin Slaten,Boston Red Sox,0,8.0,0.0,0.3667,0.0667,8.23,1.5,3.88
Dylan Smith,San Francisco Giants,0,0.7,0.0,0.0,0.3333,8.7,7.6,4.29
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.6,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.1,4.23
