Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1267,185,0.3409,0.1957,120
,Los Angeles Dodgers,1233,169,0.3442,0.2068,123
,Houston Astros,1291,169,0.3396,0.196,119
,Chicago Cubs,1276,175,0.3404,0.2053,121
,Colorado Rockies,1248,143,0.3179,0.2476,97
,Arizona Diamondbacks,1142,146,0.3151,0.2215,100
,Miami Marlins,1209,140,0.3131,0.2175,99
,Toronto Blue Jays,1192,129,0.3021,0.1787,92
,Detroit Tigers,1252,146,0.3241,0.2141,107
,Tampa Bay Rays,1187,140,0.3099,0.1912,97
,Pittsburgh Pirates,1303,162,0.3167,0.2387,101
,Athletics,1233,136,0.314,0.2263,99
,San Francisco Giants,1161,104,0.2845,0.2196,80
,Milwaukee Brewers,1212,166,0.3117,0.2063,99
,St. Louis Cardinals,1246,162,0.321,0.2215,106
,Kansas City Royals,1209,133,0.3136,0.2192,98
,Washington Nationals,1294,176,0.3105,0.2257,98
,Texas Rangers,1202,125,0.3055,0.2446,94
,Minnesota Twins,1271,157,0.3141,0.2274,100
,Boston Red Sox,1196,126,0.2958,0.2191,85
,Baltimore Orioles,1207,147,0.3139,0.2452,101
,San Diego Padres,1159,141,0.3018,0.2183,93
,Seattle Mariners,1253,140,0.3131,0.2402,103
,Los Angeles Angels,1278,153,0.3174,0.2567,102
,New York Yankees,1210,160,0.3294,0.2372,112
,Cleveland Guardians,1227,131,0.3062,0.2095,95
,Philadelphia Phillies,1216,124,0.2991,0.213,89
,New York Mets,1181,110,0.2793,0.2108,76
,Chicago White Sox,1228,137,0.3096,0.2402,97
,Cincinnati Reds,1203,134,0.3026,0.2444,90
