Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1708,240,0.3352,0.2102,118
,Los Angeles Dodgers,1718,223,0.3369,0.2055,120
,Tampa Bay Rays,1638,196,0.3138,0.188,102
,Houston Astros,1760,208,0.3241,0.2091,111
,Athletics,1691,195,0.3213,0.2259,106
,Pittsburgh Pirates,1785,229,0.3222,0.2291,107
,Chicago Cubs,1773,230,0.3283,0.2064,114
,Colorado Rockies,1688,189,0.3105,0.2524,94
,Toronto Blue Jays,1646,182,0.2997,0.1823,92
,Milwaukee Brewers,1629,212,0.3069,0.2069,98
,Miami Marlins,1678,188,0.3049,0.2157,95
,St. Louis Cardinals,1704,204,0.3139,0.2154,103
,Detroit Tigers,1695,186,0.3141,0.2242,103
,Washington Nationals,1742,239,0.3179,0.2199,105
,San Francisco Giants,1646,149,0.2847,0.2175,82
,Kansas City Royals,1695,185,0.3087,0.2165,97
,Arizona Diamondbacks,1583,188,0.3017,0.211,93
,Minnesota Twins,1722,213,0.3127,0.2288,101
,New York Yankees,1697,228,0.3313,0.2339,116
,Philadelphia Phillies,1703,187,0.3026,0.2143,94
,Boston Red Sox,1648,163,0.2973,0.2257,88
,Chicago White Sox,1673,194,0.3175,0.2421,105
,Seattle Mariners,1746,191,0.3116,0.2383,104
,Baltimore Orioles,1686,195,0.3056,0.2456,97
,Texas Rangers,1631,162,0.2979,0.2348,91
,Cleveland Guardians,1732,193,0.3056,0.1975,97
,Los Angeles Angels,1707,183,0.3075,0.2595,97
,Cincinnati Reds,1711,197,0.3091,0.239,96
,New York Mets,1629,163,0.2816,0.2093,80
,San Diego Padres,1614,180,0.2885,0.233,85
