Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Tampa Bay Rays,2074,254,0.3189,0.1861,106
,Los Angeles Dodgers,2181,302,0.3417,0.2022,124
,Atlanta Braves,2212,307,0.329,0.2089,114
,Pittsburgh Pirates,2277,282,0.3188,0.2376,105
,Arizona Diamondbacks,2090,261,0.313,0.2024,101
,San Francisco Giants,2106,210,0.2967,0.2099,91
,Athletics,2192,238,0.3143,0.2208,101
,Washington Nationals,2266,311,0.3239,0.2154,110
,Miami Marlins,2165,248,0.3079,0.2166,98
,Boston Red Sox,2107,213,0.3044,0.2212,94
,Houston Astros,2235,262,0.3175,0.2112,106
,Milwaukee Brewers,2077,264,0.3076,0.2099,98
,Toronto Blue Jays,2162,234,0.3015,0.1924,94
,New York Yankees,2159,288,0.3351,0.2293,119
,Colorado Rockies,2166,237,0.3036,0.2419,89
,Chicago Cubs,2278,277,0.3197,0.2129,108
,St. Louis Cardinals,2107,241,0.3093,0.2103,100
,Baltimore Orioles,2192,260,0.3114,0.2386,101
,Chicago White Sox,2184,268,0.3184,0.2413,106
,Minnesota Twins,2199,263,0.3085,0.2306,98
,Kansas City Royals,2116,212,0.2988,0.2146,90
,Seattle Mariners,2193,247,0.3118,0.2339,104
,Cleveland Guardians,2205,244,0.3057,0.1986,97
,Texas Rangers,2124,224,0.304,0.2307,96
,Detroit Tigers,2187,222,0.3022,0.2291,94
,Cincinnati Reds,2143,248,0.3111,0.2431,98
,Los Angeles Angels,2186,239,0.3056,0.2543,96
,New York Mets,2119,223,0.2835,0.2161,82
,Philadelphia Phillies,2121,225,0.296,0.2211,89
,San Diego Padres,2040,221,0.2877,0.2319,85
