Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Mason Barnett,Athletics,0,2.0,0.0,0.1111,0.2222,8.66,5.09,4.28
Tristan Beck,San Francisco Giants,0,3.0,0.0,0.0909,0.0,8.66,2.43,4.16
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.76,4.13
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,9.17,2.23,4.09
Matt Brash,Seattle Mariners,0,13.3,0.0,0.234,0.0426,7.74,2.12,3.78
Carlos Carrasco,Atlanta Braves,0,2.3,0.0,0.25,0.0,8.61,1.5,4.14
Gerrit Cole,New York Yankees,1,6.0,0.0,0.0909,0.1364,8.22,3.93,4.22
Carlos Cortes,Athletics,0,1.0,0.0,0.0,0.2,8.8,6.09,4.28
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.81,4.15
Nick Davila,Seattle Mariners,0,7.3,0.0,0.1379,0.2069,8.17,4.46,4.28
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.09,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.23,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.09,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.09,4.17
Alec Gamboa,Boston Red Sox,0,1.0,0.0,0.6667,0.0,8.65,1.5,4.2
Joey Gerber,New York Mets,0,2.0,0.0,0.5556,0.1111,8.81,1.5,4.16
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.92,4.12
Tyron Guerrero,Boston Red Sox,0,1.0,0.0,0.25,0.25,8.65,4.09,4.25
Ryan Gusto,Miami Marlins,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Austin Hedges,Cleveland Guardians,0,0.3,0.0,0.0,0.0,8.75,3.09,4.24
Sam Hentges,San Francisco Giants,0,5.7,0.0,0.3043,0.2174,8.12,3.27,4.16
Jonathan Hernández,Los Angeles Dodgers,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Raisel Iglesias,Atlanta Braves,0,15.7,0.0,0.3393,0.0536,7.7,1.5,3.53
William Kempner,Miami Marlins,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.23,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.72,4.18
Adam Macko,Toronto Blue Jays,0,3.3,0.0,0.2308,0.0,8.61,2.19,4.14
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.09,4.23
Yuki Matsui,San Diego Padres,0,10.0,0.0,0.3077,0.1538,8.08,2.49,3.96
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.59,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.59,4.26
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.59,4.26
Nate Pearson,Houston Astros,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Jonathan Pintaro,New York Mets,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.59,4.19
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Dylan Smith,San Francisco Giants,0,0.7,0.0,0.0,0.3333,8.7,7.59,4.29
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.59,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.09,4.23
Brett Sullivan,Colorado Rockies,0,1.0,0.0,0.0,0.3333,8.65,6.09,4.28
Tyler Tolbert,Kansas City Royals,0,0.7,0.0,0.0,0.0,8.85,3.09,4.24
Jonah Tong,New York Mets,0,3.0,0.0,0.2222,0.1111,8.36,2.76,4.18
Logan VanWey,Houston Astros,0,2.0,0.0,0.4286,0.0,8.66,1.5,4.16
Vince Velasquez,Chicago Cubs,0,2.3,0.0,0.125,0.0,8.61,2.23,4.17
Aroldis Chapman,Boston Red Sox,0,17.7,0.51,0.3382,0.1029,7.41,1.85,3.54
Kyle Hurt,Los Angeles Dodgers,0,14.0,0.64,0.3269,0.0385,8.1,1.5,3.61
Louis Varland,Toronto Blue Jays,0,27.7,0.65,0.367,0.0826,7.89,1.5,2.98
Shohei Ohtani,Los Angeles Dodgers,8,49.0,0.73,0.2842,0.0684,5.81,2.4,2.74
Mason Miller,San Diego Padres,0,22.7,0.79,0.5172,0.1034,6.98,1.5,3.21
Ethan Roberts,Chicago Cubs,0,11.3,0.79,0.1667,0.1429,7.74,3.97,4.2
Robert Suarez,Atlanta Braves,0,22.3,0.81,0.2326,0.0581,7.77,2.55,3.62
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,7.99,1.59,3.78
Rico Garcia,Baltimore Orioles,0,21.3,0.84,0.3467,0.0933,6.42,2.25,3.54
Joel Peguero,San Francisco Giants,0,9.0,1.0,0.0909,0.0606,8.23,3.76,4.18
Tyler Samaniego,Boston Red Sox,0,17.3,1.04,0.1806,0.0972,8.21,3.9,4.15
Trey Yesavage,Toronto Blue Jays,5,25.3,1.07,0.2871,0.0792,7.93,1.87,3.24
Jason Adam,San Diego Padres,0,16.7,1.08,0.1061,0.0758,8.01,4.11,4.21
Dylan Lee,Atlanta Braves,0,24.3,1.11,0.3295,0.0341,7.03,1.5,3.13
Dylan Dodd,Atlanta Braves,0,8.0,1.13,0.3,0.0333,8.38,1.5,3.88
Antonio Senzatela,Colorado Rockies,0,32.0,1.13,0.2203,0.0678,6.66,2.72,3.43
Brandyn Garcia,Arizona Diamondbacks,0,7.7,1.17,0.2414,0.069,8.43,2.44,4.02
Tyler Phillips,Miami Marlins,0,30.0,1.2,0.2109,0.125,7.7,3.43,3.84
Kendry Rojas,Minnesota Twins,1,14.3,1.26,0.2295,0.1639,8.35,3.44,4.06
Spencer Arrighetti,Houston Astros,7,41.0,1.32,0.2286,0.1429,6.39,3.73,3.89
Tanner Scott,Los Angeles Dodgers,0,19.7,1.37,0.2857,0.0429,7.27,2.84,3.79
Zebby Matthews,Minnesota Twins,2,13.0,1.38,0.2292,0.0208,8.24,2.63,3.9
Brooks Raley,New York Mets,0,19.3,1.4,0.2875,0.1,7.91,2.78,3.78
Yennier Cano,Baltimore Orioles,0,19.0,1.42,0.2273,0.0455,7.06,2.83,3.8
Bryan Hudson,Chicago White Sox,3,24.3,1.48,0.233,0.0971,8.38,2.72,3.63
Bradgley Rodriguez,San Diego Padres,2,24.3,1.48,0.2083,0.0625,7.78,2.19,3.41
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,8.37,3.59,4.18
Kyle Finnegan,Detroit Tigers,0,24.0,1.5,0.15,0.18,8.13,5.18,4.62
Colin Holderman,Cleveland Guardians,0,18.0,1.5,0.3088,0.0588,7.51,2.15,3.62
Cam Schlittler,New York Yankees,11,66.0,1.5,0.2964,0.0514,6.0,1.8,1.8
Nick Martinez,Tampa Bay Rays,10,59.7,1.51,0.1488,0.0496,8.15,3.46,3.47
Chase Shugart,Philadelphia Phillies,0,17.7,1.53,0.2647,0.0588,8.01,3.71,4.09
DL Hall,Milwaukee Brewers,1,23.3,1.54,0.2766,0.1809,6.88,3.73,4.05
Tyler Rogers,Toronto Blue Jays,0,23.3,1.54,0.1596,0.0851,7.93,2.83,3.7
Ryan Fernandez,St. Louis Cardinals,0,5.7,1.59,0.3462,0.0769,9.02,1.5,3.99
Brian Fitzpatrick,Milwaukee Brewers,0,5.7,1.59,0.1481,0.1111,9.02,3.27,4.16
Evan Sisk,Pittsburgh Pirates,0,22.3,1.61,0.2955,0.0795,7.92,2.69,3.67
Cristopher Sánchez,Philadelphia Phillies,11,72.3,1.62,0.2905,0.0541,8.34,1.96,1.96
Bryce Miller,Seattle Mariners,2,11.0,1.64,0.2273,0.0455,8.54,3.0,4.02
Tim Herrin,Cleveland Guardians,0,16.3,1.65,0.1579,0.1447,8.5,4.81,4.4
Zack Wheeler,Philadelphia Phillies,6,37.7,1.67,0.2553,0.0567,6.73,2.24,2.99
Yerry De los Santos,New York Yankees,0,5.3,1.69,0.2857,0.1429,8.62,4.97,4.31
Josh Ekness,Miami Marlins,0,5.3,1.69,0.2273,0.2273,8.32,4.03,4.23
Gordon Graceffo,St. Louis Cardinals,0,26.7,1.69,0.11,0.1,6.99,4.59,4.4
Jakob Junis,Texas Rangers,1,21.0,1.71,0.1139,0.0633,7.22,3.23,3.89
Daniel Lynch IV,Kansas City Royals,0,21.0,1.71,0.3059,0.0824,7.52,2.52,3.64
Erik Sabrowski,Cleveland Guardians,0,21.0,1.71,0.4699,0.1566,6.77,1.85,3.41
Austin Warren,New York Mets,0,15.7,1.72,0.25,0.1094,8.3,3.22,3.98
Matt Gage,San Francisco Giants,0,20.7,1.74,0.2024,0.131,7.72,4.3,4.27
Kyle Harrison,Milwaukee Brewers,9,45.7,1.77,0.3224,0.0765,7.35,2.48,2.9
Huascar Brazobán,New York Mets,3,25.3,1.78,0.1919,0.101,7.03,3.41,3.89
Grant Taylor,Chicago White Sox,4,25.3,1.78,0.3619,0.0762,8.23,1.5,3.09
