Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Los Angeles Dodgers,2332,321,0.3409,0.2024,122
,Atlanta Braves,2353,327,0.3303,0.2053,114
,Tampa Bay Rays,2263,273,0.3169,0.1887,103
,Pittsburgh Pirates,2418,311,0.3248,0.2353,109
,San Francisco Giants,2298,238,0.3042,0.2115,96
,Boston Red Sox,2268,241,0.3091,0.22,96
,Colorado Rockies,2343,268,0.3111,0.239,94
,Athletics,2323,256,0.3158,0.22,102
,Milwaukee Brewers,2255,292,0.3096,0.2075,99
,Arizona Diamondbacks,2231,273,0.308,0.2013,97
,Toronto Blue Jays,2305,249,0.3018,0.1922,93
,Houston Astros,2360,279,0.3163,0.2131,104
,Miami Marlins,2363,268,0.3096,0.2184,98
,Washington Nationals,2438,331,0.3197,0.2149,106
,New York Yankees,2305,312,0.3329,0.2308,116
,Baltimore Orioles,2339,280,0.3146,0.2369,103
,St. Louis Cardinals,2270,255,0.3076,0.2132,98
,Chicago Cubs,2408,289,0.3195,0.2114,107
,Chicago White Sox,2364,293,0.3212,0.2415,107
,Minnesota Twins,2382,290,0.3078,0.2305,97
,Texas Rangers,2297,247,0.3058,0.2307,96
,Detroit Tigers,2371,248,0.3073,0.2248,97
,Kansas City Royals,2318,235,0.3002,0.2166,90
,Seattle Mariners,2377,267,0.314,0.2318,105
,Cleveland Guardians,2352,262,0.3079,0.2045,98
,Los Angeles Angels,2346,265,0.3081,0.2481,97
,Cincinnati Reds,2314,264,0.3099,0.2463,96
,New York Mets,2302,251,0.287,0.2194,83
,Philadelphia Phillies,2260,236,0.2959,0.2235,88
,San Diego Padres,2182,231,0.287,0.2351,83
