Team,TeamName,PA,R,wOBA,K_pct,wRC+
,Atlanta Braves,1619,233,0.3391,0.2051,121
,Los Angeles Dodgers,1610,208,0.336,0.2081,119
,Tampa Bay Rays,1577,186,0.3108,0.1871,100
,Houston Astros,1646,199,0.3265,0.2096,112
,Pittsburgh Pirates,1687,212,0.3212,0.23,107
,Athletics,1581,180,0.3165,0.2271,103
,Toronto Blue Jays,1592,175,0.3003,0.1834,93
,Chicago Cubs,1668,217,0.3298,0.2038,115
,Colorado Rockies,1597,176,0.3101,0.2592,93
,Washington Nationals,1653,232,0.323,0.2202,109
,San Francisco Giants,1540,145,0.2874,0.2149,84
,Miami Marlins,1572,178,0.3075,0.2169,97
,Detroit Tigers,1598,179,0.316,0.2228,104
,Milwaukee Brewers,1520,201,0.3062,0.2046,97
,Kansas City Royals,1579,174,0.3107,0.2191,98
,St. Louis Cardinals,1577,192,0.3095,0.2194,100
,Minnesota Twins,1617,198,0.3126,0.2282,101
,Boston Red Sox,1563,158,0.2962,0.2233,87
,New York Yankees,1656,223,0.3312,0.2331,116
,Texas Rangers,1564,156,0.3023,0.2347,94
,Philadelphia Phillies,1605,173,0.302,0.2118,93
,Arizona Diamondbacks,1495,174,0.2984,0.2161,90
,Chicago White Sox,1572,179,0.3142,0.2462,103
,Los Angeles Angels,1673,183,0.3107,0.2582,99
,Seattle Mariners,1625,181,0.3109,0.24,103
,Baltimore Orioles,1647,193,0.3066,0.2453,97
,Cleveland Guardians,1689,187,0.3045,0.1989,96
,New York Mets,1532,150,0.2797,0.2089,79
,San Diego Padres,1516,174,0.2924,0.2309,88
,Cincinnati Reds,1605,174,0.3031,0.2442,92
