Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Tristan Beck,San Francisco Giants,0,3.0,0.0,0.0909,0.0,8.66,2.42,4.16
Mason Black,Kansas City Royals,0,4.7,0.0,0.2273,0.0909,9.17,2.23,4.09
Matt Brash,Seattle Mariners,0,11.3,0.0,0.2105,0.0526,7.59,2.47,3.91
Nick Davila,Seattle Mariners,0,5.3,0.0,0.1,0.1,8.47,3.46,4.18
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.08,4.17
Brandyn Garcia,Arizona Diamondbacks,0,5.7,0.0,0.3529,0.0,8.12,1.5,3.99
Domingo Gonzalez,Seattle Mariners,0,3.0,0.0,0.2308,0.1538,8.66,3.08,4.19
Raisel Iglesias,Atlanta Braves,0,13.7,0.0,0.3469,0.0612,7.85,1.5,3.62
Alek Manoah,Los Angeles Angels,0,6.0,0.0,0.12,0.2,8.22,4.58,4.28
Yuki Matsui,San Diego Padres,0,6.7,0.0,0.32,0.08,8.42,1.58,3.95
Zebby Matthews,Minnesota Twins,1,7.0,0.0,0.2,0.04,8.37,2.08,4.0
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Ethan Roberts,Chicago Cubs,0,5.7,0.0,0.0952,0.1429,8.12,5.02,4.32
Justin Slaten,Boston Red Sox,0,6.0,0.0,0.2917,0.0833,8.52,1.75,4.0
Trent Thornton,Chicago Cubs,0,5.0,0.0,0.1667,0.0556,8.52,2.48,4.1
Josh Walker,Baltimore Orioles,0,3.0,0.0,0.4,0.1,8.51,1.5,4.11
Louis Varland,Toronto Blue Jays,0,21.7,0.42,0.3678,0.1034,8.17,1.5,3.26
Robert Suarez,Atlanta Braves,0,19.3,0.47,0.2568,0.0541,7.91,1.74,3.44
Rico Garcia,Baltimore Orioles,0,19.0,0.47,0.3438,0.1094,6.16,2.56,3.71
Aroldis Chapman,Boston Red Sox,0,14.7,0.61,0.3818,0.0909,7.7,1.5,3.58
Austin Warren,New York Mets,0,12.7,0.71,0.2941,0.1176,8.14,3.16,4.02
Kyle Hurt,Los Angeles Dodgers,0,12.0,0.75,0.3556,0.0444,7.94,1.5,3.7
Shohei Ohtani,Los Angeles Dodgers,7,44.0,0.82,0.2924,0.0643,6.1,2.36,2.86
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,7.99,1.58,3.78
Dylan Lee,Atlanta Braves,0,21.3,0.84,0.3514,0.027,6.87,1.5,3.27
Mason Miller,San Diego Padres,0,21.0,0.86,0.557,0.0759,7.22,1.5,3.29
Peyton Gray,Texas Rangers,0,10.3,0.87,0.1818,0.1364,8.33,3.28,4.08
Tim Hill,New York Yankees,0,18.0,1.0,0.1077,0.0308,7.96,3.36,3.98
Brooks Raley,New York Mets,0,17.0,1.06,0.303,0.0909,7.81,2.55,3.77
Tyler Phillips,Miami Marlins,0,25.0,1.08,0.2358,0.1226,7.83,3.28,3.85
Yennier Cano,Baltimore Orioles,0,16.0,1.13,0.1964,0.0357,7.5,2.9,3.89
